Time,Hx,Hy,Hz,Ax,Ay,Az,Heading,PID_Output,Integral,Setpoint
0,-0.2791667,-0.4268333,0.4375,-0.01,-0.15,0.95,78.93789,0,0,148,0
0.05,-0.2658334,-0.4429167,0.4430833,-0.04,-0.15,0.95,158.614,0,0,148,0
0.1,-0.2708333,-0.45375,0.4291667,-0.02,-0.16,0.94,238.3367,0,-1.0614,148,-10.614
0.15,-0.2826667,-0.4420833,0.5043333,-0.06,-0.13,0.9599999,238.5339,0,-1.0614,148,-10.614
0.2,-0.2818333,-0.4343333,0.4583333,0.1,-0.15,0.9599999,237.8647,0,-10.11479,148,-90.53386
0.25,-0.2851667,-0.4343333,0.4443334,0.13,-0.13,0.93,237.0463,0,-19.10126,148,-89.86475
0.3,-0.2729167,-0.4355833,0.43375,0.03,-0.02,1.02,237.2214,0,-28.0234,148,-89.22142
0.35,-0.2370833,-0.4179167,0.44725,0.18,-0.3,0.78,238.359,0,-28.0234,148,-89.22142
0.4,-0.2564167,-0.4393333,0.455,-0.16,-0.35,1.02,239.3649,0,-37.05931,148,-90.35902
0.45,-0.28725,-0.4376667,0.4880833,-0.23,-0.37,1.02,238.9621,0,-37.05931,148,-90.35902
0.5,-0.2514167,-0.4155833,0.45,-0.01,-0.33,0.77,238.4265,0,-46.15551,148,-90.96205
0.5500001,-0.2704167,-0.44375,0.4320833,0.27,0.15,0.9,238.0639,0,-55.16191,148,-90.06392
0.6000001,-0.2720833,-0.4079166,0.3966667,-0.02,-0.33,1.25,237.922,0,-55.16191,148,-90.06392
0.6500001,-0.2641666,-0.4229167,0.46225,0.16,0.16,0.75,237.6495,0,-64.15411,148,-89.92198
0.7000001,-0.2641666,-0.4239167,0.4516666,-0.47,-0.2,0.81,237.459,0,-64.15411,148,-89.92198
0.7500001,-0.2851667,-0.4130834,0.4635,-0.19,-0.37,1.06,237.1539,0,-73.10001,148,-89.45897
0.8000001,-0.2679167,-0.4333333,0.435,0.24,-0.25,1.1,237.2416,0,-82.0154,148,-89.15392
0.8500002,-0.24375,-0.4179167,0.4158333,0.24,-0.17,1.06,237.8004,0,-82.0154,148,-89.15392
0.9000002,-0.2589167,-0.4091667,0.4354167,-0.02,-0.09,1.05,238.5649,0,-90.99543,148,-89.80037
0.9500002,-0.27,-0.4229167,0.435,-0.41,-0.33,1.05,238.2889,0,-90.99543,148,-89.80037
1.0,-0.27375,-0.4420833,0.44225,-0.42,-0.47,0.9,237.7843,0,-100.0243,300,-90.28894
