x,y,z,heading1,heading2,heading3
-0.1695,0.40875,0.09908334,-22.52275,76.374,149.691,0.7599996
-0.1278333,0.425,0.07658336,-16.74046,79.78513,149.0747,0.7699996
-0.03683333,0.4423333,0.05575001,-4.760068,82.81653,123.4522,0.7799995
0.008166671,0.4525,0.05158335,1.033956,83.49656,81.0036,0.7899995
0.09650001,0.4565,0.02641669,11.93609,86.6881,15.30954,0.7999995
0.1300833,0.4508334,0.004333347,16.09495,89.4493,1.907936,0.8099996
0.22525,0.40775,-0.02716666,28.91722,93.81174,-6.877039,0.8199995
0.29925,0.345,-0.05966663,40.93808,99.81206,-11.27617,0.8299995
0.3288333,0.31,-0.07341665,46.68863,103.3237,-12.58568,0.8399995
0.394,0.2466667,-0.1059167,57.95106,113.2383,-15.04676,0.8499995
0.4006667,0.2054167,-0.1210833,62.85636,120.5173,-16.81506,0.8599995
0.428,0.1279167,-0.16025,73.36014,141.402,-20.5267,0.8699995
0.423,0.09875,-0.1725833,76.85956,150.2224,-22.19538,0.8799994
0.4373333,0.0625,-0.1823334,81.86684,161.0794,-22.63227,0.8899995
0.4438333,0.03066668,-0.1850833,86.04742,170.5921,-22.63667,0.8999994
0.4325834,-0.01333332,-0.1855,91.76543,-175.8888,-23.21057,0.9099995
0.4294167,-0.06975,-0.1963334,99.22595,-160.4417,-24.57032,0.9199994
0.428,-0.08766666,-0.18925,101.5757,-155.1449,-23.85371,0.9299994
0.4069167,-0.145,-0.18925,109.6129,-142.5413,-24.94233,0.9399994
0.4155,-0.1743333,-0.19675,112.7617,-138.457,-25.33876,0.9499994
0.3823334,-0.2135,-0.1971667,119.1796,-132.7224,-27.27985,0.9599994
0.3773333,-0.2293333,-0.1988334,121.2901,-130.9255,-27.7867,0.9699994
0.3535834,-0.2695833,-0.1996667,127.3231,-126.5255,-29.45319,0.9799994
0.33025,-0.28725,-0.1906667,131.0166,-123.5748,-29.99958,0.9899994
0.3119167,-0.3114166,-0.1785833,134.954,-119.8323,-29.79266,0.9999993
0.2894167,-0.3203333,-0.1610833,137.9026,-116.6961,-29.09941,1.009999
0.2705,-0.3489166,-0.1360833,142.2151,-111.3066,-26.70608,1.019999
