Time,Hx,Hy,Hz,Ax,Ay,Az,PID_Output,Integral,Setpoint,XY-Heading,YZ-Heading,ZX-Heading
0,0.07350001,0.015,-0.2735,0.0,-0.04,0.9599999,0,0,230,0,20.53462,273.1392,164.9578
0.05,0.07891667,0.01791667,-0.2704167,-0.29,0.15,1.03,1300,12.56792,230,209.4654,21.79119,273.7906,163.731
0.1,0.02,-0.005833335,-0.2475,-0.08,-0.16,0.93,1300,25.06045,230,208.2088,352.7398,268.6498,175.3801
0.15,0.01141666,-0.0785,-0.1579167,0.11,-0.09,0.9700001,0,17.69607,230,-122.7398,287.2748,243.5681,175.865
0.2,-0.02275001,-0.07208334,-0.3554167,0.13,-0.09,0.91,0,14.25958,230,-57.27481,261.4839,258.5352,183.6625
0.25,-0.07541668,-0.111,-0.2605834,-0.22,0.1,1.04,99.95996,11.11118,230,-31.48395,244.8067,246.9276,196.1412
0.3,-0.1385833,-0.1239167,-0.2866667,-0.07,-0.13,1.06,346.847,10.22278,230,-14.80667,230.802,246.6227,205.8005
0.35,-0.251,-0.09058333,-0.3033333,-0.17,-0.18,0.76,596.0428,10.17466,230,-0.8020477,208.844,253.373,219.6068
0.4,-0.3205833,-0.01416667,-0.2814167,0.01,-0.32,0.87,1067.449,11.44402,230,21.15601,191.5303,267.1181,228.7225
0.45,-0.35975,0.07791667,-0.2825,-0.13,-0.04,0.98,1300,13.75221,230,38.46973,176.7793,285.4195,231.8586
0.5,-0.35725,0.16725,-0.2475,0.03,-0.57,1.11,1300,16.94545,230,53.2207,163.9129,304.0492,235.2861
0.5500001,-0.3018333,0.2729167,-0.2858333,-0.08,-0.01,0.94,1300,20.91067,230,66.0871,146.8802,313.6757,226.5596
0.6000001,-0.2041667,0.3304167,-0.2326667,-0.06,-0.06,0.79,1300,25.89786,230,83.11978,130.7122,324.8483,221.2672
0.6500001,-0.04625,0.3476666,-0.23225,-0.23,-0.52,0.66,1300,31.85513,230,99.28781,106.5775,326.2561,191.2625
0.7000001,0.04391666,0.2504167,-0.23975,-0.09,-0.53,0.82,1300,39.26048,230,123.4225,89.05294,316.2466,169.6198
0.7500001,0.1051667,0.12375,-0.2633333,-0.32,-0.19,0.66,1300,47.71729,230,140.9471,58.64106,295.1706,158.2298
0.8000001,0.05874999,-0.03308333,-0.3033333,-0.02,0.05,0.85,1300,57.99883,230,171.3589,339.6152,263.7756,169.0386
0.8500002,-0.02691667,-0.08141666,-0.296,0.09,-0.52,1.17,1112.24,51.42191,230,-109.6152,260.7059,254.6208,185.1959
0.9000002,-0.1631667,-0.111,-0.3104167,-0.3,-0.47,0.61,1300,49.57954,230,-30.70593,223.2269,250.3238,207.7281
0.9500002,-0.2766667,-0.05958333,-0.28625,0.05,-0.67,0.94,1300,49.98592,230,6.773087,201.1537,258.2417,224.0247
1.0,-0.3479167,0.0365,-0.2980833,-0.02,-0.08,1.03,1300,51.71671,230,28.84631,183.011,276.9811,229.4111
1.05,-0.3580833,0.1375,-0.25,-0.17,-0.2,0.64,1300,55.77617,230,62.00624,167.9938,298.8108,235.0787
1.1,-0.3145833,0.2476667,-0.2555833,-0.05,-0.64,0.91,1300,59.84068,230,79.21281,150.7872,314.0988,230.9079
1.15,-0.235,0.3225,-0.2530833,-0.02,-0.41,1.1,1300,64.90759,230,94.91986,135.0801,321.8768,222.8782
1.2,-0.13025,0.3405833,-0.27225,-0.15,-0.22,1.04,1300,70.90582,230,110.0715,119.9285,321.3624,205.5674
1.25,-0.009166673,0.3143333,-0.24375,-0.21,-0.05,0.98,1300,77.89527,230,129.3296,100.6704,322.2082,182.1537
1.3,0.07683334,0.2066667,-0.28225,-0.35,-0.01,1.05,1300,86.09634,230,151.3938,78.60616,306.212,164.7721
1.35,0.1114167,0.06166666,-0.2743333,-0.09,-0.02,1.12,1300,95.17997,230,151.3938,37.96355,282.6688,157.8961
1.4,0.04433332,-0.05041666,-0.2675,-0.11,-0.51,1.05,1300,106.7022,230,192.0364,320.3264,259.3265,170.5898
1.45,-0.04666667,-0.1283333,-0.2495833,-0.2,-0.42,0.84,1300,101.2826,230,-90.32642,259.0169,242.7882,190.5908
1.5,-0.1558333,-0.105,-0.2866667,-0.17,-0.31,0.84,1300,99.54156,230,-29.01691,222.972,249.8833,208.5287
1.55,-0.275,-0.08583334,-0.2704167,-0.11,-0.18,0.81,1300,99.96326,230,7.02803,206.3343,252.39,225.4815
1.6,-0.3335,-0.002083331,-0.2780833,-0.16,-0.02,0.94,1300,101.3832,230,23.66574,189.3579,269.5708,230.1776
1.65,-0.3766667,0.09066667,-0.2670834,0.0,0.07,1.07,1300,103.8217,230,40.64207,175.4659,288.7508,234.6607
1.699999,-0.3833333,0.15725,-0.2785,0.27,-0.09,1.22,1300,107.0938,230,54.53409,166.6957,299.4505,234.0008
1.749999,-0.31,0.2680833,-0.2645833,0.24,-0.34,1.06,1300,110.892,230,63.30431,148.1472,315.3765,229.5194
1.799999,-0.2180833,0.3264167,-0.2479167,0.02,-0.26,0.73,1300,115.8032,230,81.85275,132.7474,322.783,221.3369
1.849999,-0.1116667,0.3293333,-0.2518333,0.0,-0.02,0.95,1300,121.6383,230,97.25259,117.7302,322.5957,203.9132
1.899999,0.06766666,0.2601666,-0.2385,-0.04,-0.1,1.16,1300,132.8653,230,112.2698,84.42097,317.4879,164.1604
1.949999,0.09041667,0.1608333,-0.23975,-0.22,-0.38,0.8,1300,141.6001,230,145.579,69.65634,303.8552,159.3371
1.999999,0.08141666,0.04608333,-0.2351667,-0.12,0.07,0.9700001,1300,151.2207,230,160.3437,38.51066,281.0872,160.9037
2.049999,0.02374999,-0.06125,-0.2904167,0.26,-0.21,1.18,1300,162.7101,230,191.4893,300.1941,258.0906,175.3248
2.099999,-0.045,-0.1066667,-0.2920833,0.04,-0.13,0.7,1300,158.4984,230,-70.19406,256.1263,249.9382,188.7585
2.149999,-0.1694167,-0.12475,-0.2895833,-0.03,-0.29,1.13,1300,156.9308,230,-26.12634,225.3661,246.694,210.3292
2.199999,-0.25725,-0.08058333,-0.2543334,-0.26,-0.14,0.84,1300,157.681,230,23.60687,206.3931,252.4196,225.3267
2.249999,-0.3014167,-0.008916669,-0.2670834,0.06,-0.19,1.21,1300,159.4114,230,39.30554,190.6945,268.0879,228.4561
2.299999,-0.3454167,0.08375,-0.2785,-0.17,-0.14,0.84,1300,162.0762,230,54.62898,175.371,286.737,231.1217
2.349999,-0.31375,0.1639167,-0.2645833,-0.19,-0.3,0.85,1300,165.3539,230,54.62898,161.4155,301.7794,229.8593
2.399999,-0.3145833,0.2408333,-0.2576667,-0.01,-0.07,1.17,1300,169.469,230,68.58453,151.5637,313.066,230.68
2.449999,-0.2716667,0.3083333,-0.2695833,-0.11,-0.3,0.83,1300,174.1752,230,78.43634,140.3827,318.836,225.2205
2.499999,-0.1781667,0.3529167,-0.2389167,0.08,0.09,1.12,1300,179.5522,230,89.61734,125.7865,325.9029,216.7129
2.549999,-0.08791667,0.3514167,-0.26625,0.26,-0.37,1.05,1300,185.805,230,104.2135,113.0458,322.8507,198.2734
2.599999,0.004749999,0.3155833,-0.2445833,0.0,0.0,0.9700001,1300,192.8223,230,116.9542,98.13767,322.2236,178.8874
2.649999,0.06458333,0.2376667,-0.265,0.07,-0.45,1.05,1300,200.734,230,131.8623,83.79759,311.8875,166.3034
2.699999,0.1135,0.1129167,-0.276,-0.34,-0.05,0.92,1300,209.5062,230,146.2024,53.85238,292.2504,157.646
2.749999,0.09541666,0.03791666,-0.2818333,-0.02,-0.33,1.09,1300,220.075,230,176.1476,30.67188,277.6623,161.2961
2.799999,0.05958332,-0.03183334,-0.265,-0.16,0.08,0.9,1300,232.0347,230,199.3281,340.8859,263.1501,167.3282
2.849998,-0.04083334,-0.1043333,-0.2764167,-0.25,0.07,0.9,1300,225.3815,230,-110.8859,257.6259,249.321,188.4032
2.899998,-0.07500001,-0.1114167,-0.25,0.08,-0.2,1.17,1300,223.724,230,-27.62595,245.0536,245.9791,196.6992
2.949998,-0.1608333,-0.1255833,-0.2726667,-0.1,0.1,0.88,1300,222.8208,230,-15.05357,226.9837,245.2704,210.5344
