Time,Hx,Hy,Hz,Ax,Ay,Az,PID_Output,Integral,Setpoint,XY-Heading,YZ-Heading,ZX-Heading
0,0.2818333,0.05458333,-0.3601667,-0.03,-0.15,0.9599999,0,0,275,0,-70.03909,278.6176,141.9565
0.05,0.3008333,0.06933332,-0.3691667,-0.03,-0.16,0.93,0,0,275,0,-68.02161,280.6368,140.8235
0.1,0.2808333,0.03083333,-0.3679167,-0.25,-0.15,0.94,1000,34.30216,275,343.0216,-74.73446,274.7905,142.6452
0.15,0.2795833,0.03683333,-0.3916667,-0.22,-0.15,1.05,1000,34.30216,275,343.0216,-73.49487,275.3724,144.4796
0.2,0.2514167,-0.02808333,-0.3985,-0.17,-0.2,1.0,1000,69.15165,275,348.4949,272.6265,265.9689,147.7519
0.25,0.1830833,-0.12725,-0.4251667,0.08,-0.15,0.92,0,69.389,275,2.373535,244.1992,253.3379,156.7025
0.3,0.14975,-0.15625,-0.3479167,-0.03,-0.09,1.06,569.1605,72.46908,275,30.80078,232.7831,245.8151,156.712
0.35,0.07141667,-0.1679167,-0.4179167,-0.09,-0.22,0.89,569.1605,72.46908,275,30.80078,212.0405,248.11,170.3025
0.4,0.05375,-0.1791667,-0.406,0.13,-0.22,0.9599999,979.9718,78.76502,275,62.95947,205.6992,246.1883,172.4585
0.45,-0.01833333,-0.16875,-0.3925,0.05,-0.1,1.02,979.9718,78.76502,275,62.95947,182.7996,246.7354,182.6743
0.5,-0.05141666,-0.161,-0.4520833,0.11,-0.2,0.99,1000,87.98506,275,92.20041,171.2887,250.3977,186.4885
0.5500001,-0.1004167,-0.14225,-0.44475,0.04,-0.23,1.06,1000,98.35619,275,103.7113,153.7811,252.2635,192.7231
0.6000001,-0.1118333,-0.10125,-0.4285,0.01,-0.21,1.06,1000,98.35619,275,103.7113,141.1566,256.7055,194.6272
0.6500001,-0.1455833,-0.03933333,-0.42225,-0.06,-0.41,0.95,1000,111.7405,275,133.8434,114.1191,264.6782,199.0232
0.7000001,-0.1358333,-0.005166667,-0.42475,-0.13,-0.27,0.77,1000,111.7405,275,133.8434,101.1783,269.3031,197.7341
0.7500001,-0.1539167,0.046,-0.3729167,-0.15,-0.3,0.94,1000,129.1227,275,173.8217,82.36053,277.032,202.4278
0.8000001,-0.1275,0.1025,-0.361,-0.16,-0.04,0.85,1000,148.3866,275,192.6395,60.20345,285.851,199.4525
0.8500002,-0.14975,0.1591667,-0.3776667,-0.09,-0.16,0.91,1000,148.3866,275,192.6395,52.254,292.8529,201.629
0.9000002,-0.10125,0.2041667,-0.3670833,0.04,-0.34,1.05,1000,170.6612,275,222.746,35.37765,299.0822,195.4201
0.9500002,-0.02041667,0.2479167,-0.3341667,0.03,-0.04,0.9700001,1000,170.6612,275,222.746,13.70784,306.5715,183.4963
1.0,0.055,0.2764167,-0.3541667,0.09,-0.15,1.03,1000,196.7905,275,261.2922,-2.253456,307.971,171.1728
1.05,0.1258333,0.2720833,-0.3414166,-0.06,-0.48,1.0,1000,224.5158,275,277.2534,-15.81964,308.5522,159.768
1.1,0.2143333,0.2254167,-0.3254167,-0.25,-0.43,0.8,1000,224.5158,275,277.2534,-34.55624,304.7104,146.6294
1.15,0.2420833,0.1804167,-0.3230834,0.01,0.03,1.03,1000,255.4714,275,309.5562,-44.30406,299.1799,143.1561
1.2,0.2641666,0.12,-0.3843333,0.05,-0.52,1.04,1000,288.6284,275,331.5697,-56.56966,287.3399,145.4978
1.25,0.2939167,0.03291667,-0.3741667,-0.09,-0.11,0.89,1000,288.6284,275,331.5697,-74.60989,275.0276,141.8495
1.3,0.2658334,-0.06266666,-0.36475,-0.3,-0.41,0.77,1000,323.5894,275,349.6099,265.7354,260.2513,143.9151
1.35,0.165,-0.1176667,-0.4120833,0.13,-0.4,1.14,1000,323.5894,275,349.6099,243.5061,254.0638,158.1786
1.4,0.1283333,-0.1583333,-0.4354167,0.16,-0.05,1.05,0,326.7388,275,31.49387,228.0257,250.0169,163.5778
1.45,0.01266667,-0.1545833,-0.43125,0.25,-0.1,1.1,789.1487,331.4362,275,46.9743,193.6844,250.2796,178.3176
1.5,-0.09333333,-0.17,-0.4141666,0.04,-0.05,0.91,789.1487,331.4362,275,46.9743,160.2324,247.6837,192.6996
1.55,-0.09208334,-0.09433334,-0.3839167,0.07,-0.44,1.23,1000,342.913,275,114.7676,144.6915,256.1952,193.4877
1.6,-0.1366667,-0.0325,-0.4116667,-0.17,-0.02,0.99,1000,342.913,275,114.7676,112.3768,265.486,198.3653
1.65,-0.1564167,0.03041667,-0.4158333,-0.27,-0.18,0.65,1000,359.1753,275,162.6232,87.99564,274.1835,200.6139
