Time,Hx,Hy,Hz,Ax,Ay,Az,Heading,PID_Output,Integral,Setpoint
0,0.2095833,-0.4480834,0.3545833,-0.02,-0.1,0.9599999,98.35568,0,0,148
0.05,0.21725,-0.4493333,0.3780833,-0.02,-0.1,0.95,196.9568,0,0,148
0.1,0.2151667,-0.4593333,0.4280833,-0.15,-0.03,0.83,295.3235,0,-4.895685,148
0.15,0.2135,-0.455,0.36875,-0.04,-0.08,0.9599999,295.3469,0,-4.895685,148
0.2,0.2345833,-0.445,0.34625,-0.06,-0.12,0.89,296.0111,0,-19.63038,148
0.25,0.2316667,-0.4566667,0.3908334,-0.0,-0.04,1.07,296.6107,0,-34.43149,148
0.3,0.24125,-0.4554167,0.3870833,0.09,-0.03,1.11,297.5355,0,-34.43149,148
0.35,0.1901667,-0.4654167,0.3380833,0.11,-0.13,0.95,295.6783,0,-49.38504,148
0.4,0.2433333,-0.4641667,0.3916667,-0.02,0.05,1.32,295.9338,0,-64.15288,148
0.45,0.2264167,-0.4601666,0.3508333,-0.03,-0.25,0.64,295.3628,0,-64.15288,148
0.5,0.2041667,-0.46975,0.3780833,-0.14,0.0,1.28,295.785,0,-78.88916,148
0.5500001,0.1991667,-0.4689167,0.381,0.09,0.13,0.94,294.2342,0,-93.51258,148
0.6000001,0.2391667,-0.4779167,0.3295834,0.12,0.09,0.74,294.363,0,-93.51258,148
0.6500001,0.2075,-0.4795833,0.3504167,0.1,0.14,1.13,294.3315,0,-108.1489,148
0.7000001,0.1868333,-0.4883333,0.37125,0.1,-0.0,1.26,293.6394,0,-108.1489,148
0.7500001,0.18475,-0.4955833,0.3793334,-0.2,-0.26,1.17,291.5927,0,-122.7128,148
0.8000001,0.1983333,-0.5039167,0.3920834,-0.18,-0.21,0.77,290.9552,0,-137.0083,148
0.8500002,0.22475,-0.5184999,0.3555833,0.38,0.06,1.01,291.7879,0,-137.0083,148
0.9000002,0.2083333,-0.4991667,0.381,-0.49,-0.21,0.9599999,292.5242,0,-151.3871,148
0.9500002,0.2118333,-0.5004167,0.3426666,0.39,0.08,0.81,293.0108,0,-151.3871,148
1.0,0.18725,-0.5025,0.3870833,-0.4,-0.3,1.0,292.0116,0,-165.8882,148
1.05,0.16375,-0.5008333,0.35125,0.17,0.14,1.02,290.4954,0,-180.1378,148
1.1,0.1814167,-0.5080833,0.36475,0.2,0.14,0.65,289.3974,0,-180.1378,148
1.15,0.1901667,-0.5289166,0.3725,-0.3,-0.39,0.8,289.1768,0,-194.2775,148
1.2,0.19625,-0.5176666,0.3801667,-0.21,-0.54,1.17,290.0624,0,-194.2775,148
1.25,0.1733333,-0.5125,0.3695833,0.03,-0.42,1.27,289.7412,0,-208.4837,148
1.3,0.1608333,-0.526,0.3679167,0.21,-0.15,1.24,288.8167,0,-208.4837,148
1.35,0.1830833,-0.5180833,0.3495833,-0.52,-0.32,0.92,288.3836,0,-222.5654,148
1.4,0.2,-0.5204167,0.3533333,-0.59,-0.32,0.87,289.1623,0,-236.6038,148
1.45,0.1843333,-0.5430833,0.3329167,-0.51,-0.3,0.88,289.7444,0,-236.6038,148
1.5,0.1780833,-0.5180833,0.3589167,-0.35,-0.21,0.89,289.58,0,-250.7782,148
1.55,0.1979167,-0.5064167,0.3691667,0.24,-0.18,0.76,289.6881,0,-264.947,148
1.6,0.2164167,-0.51975,0.3776667,0.28,0.37,0.86,290.9741,0,-264.947,148
1.65,0.2226667,-0.5,0.35725,0.08,0.07,1.21,292.6526,0,-279.2444,148
1.699999,0.1818333,-0.5258333,0.3333333,-0.13,-0.65,1.2,291.8955,0,-279.2444,148
1.749999,0.1864167,-0.5095834,0.3826667,-0.47,0.06,0.69,291.058,0,-293.634,148
1.799999,0.2214167,-0.5030833,0.37,0.4,0.28,1.03,290.9748,0,-293.634,148
1.849999,0.2058333,-0.5080833,0.3458333,-0.03,-0.33,1.09,291.9675,0,-307.9315,148
1.899999,0.2020833,-0.5204167,0.3695833,-0.59,-0.1,0.83,292.3435,0,-322.3282,148
1.949999,0.2143333,-0.5116667,0.3704167,0.51,0.17,0.9599999,292.0013,0,-322.3282,148
1.999999,0.2235,-0.4943333,0.3568333,-0.37,-0.32,0.86,292.7597,0,-336.7284,148
2.049999,0.2045833,-0.5004167,0.3993333,0.29,0.36,1.06,293.0978,0,-351.2382,148
2.099999,0.205,-0.5,0.3585,-0.26,-0.63,0.81,292.9529,0,-351.2382,148
2.149999,0.2126667,-0.5091667,0.3826667,0.3,0.35,1.0,292.3996,0,-365.7335,148
2.199999,0.21,-0.51,0.361,-0.38,-0.73,0.81,292.4476,0,-365.7335,148
2.249999,0.2029167,-0.4979167,0.4014167,0.28,0.23,0.9700001,292.4072,0,-380.1782,148
2.299999,0.2255833,-0.4968333,0.3589167,-0.48,-0.48,0.86,292.9909,0,-380.1782,148
2.349999,0.2041667,-0.4835,0.37725,0.51,0.23,0.98,293.1618,0,-394.6773,148
2.399999,0.2126667,-0.49475,0.3580833,-0.43,-0.36,1.02,293.5244,0,-409.1935,148
2.449999,0.2114167,-0.496,0.38475,0.24,0.26,0.9599999,293.0796,0,-409.1935,148
2.499999,0.1945833,-0.4926667,0.3618333,-0.11,-0.37,0.63,292.6327,0,-423.7014,148
2.549999,0.2291667,-0.4826667,0.3329167,0.28,-0.42,1.3,293.3453,0,-423.7014,148
2.599999,0.1954167,-0.49725,0.3895833,0.24,0.51,1.06,292.8015,0,-438.236,148
2.649999,0.2239167,-0.4701666,0.3351667,-0.41,0.23,0.83,294.1062,0,-452.7161,148
2.699999,0.2029167,-0.4775,0.3883333,-0.35,-0.57,1.13,293.3147,0,-467.3268,148
2.749999,0.19625,-0.4783333,0.3614167,0.27,0.35,0.82,293.5989,0,-467.3268,148
2.799999,0.22875,-0.4658333,0.3491667,-0.24,-0.05,0.78,293.8281,0,-481.8867,148
2.849998,0.21475,-0.4955833,0.3758333,0.08,-0.58,1.35,293.9631,0,-481.8867,148
2.899998,0.20125,-0.49225,0.3508333,-0.22,0.34,0.66,293.9395,0,-496.483,148
2.949998,0.2243333,-0.4843333,0.3414166,-0.47,-0.32,0.82,293.5059,0,-511.0769,148
2.999998,0.2070833,-0.4904167,0.3958333,0.22,-0.03,1.0,293.3272,0,-511.0769,148
3.049998,0.1941667,-0.48875,0.3491667,0.34,0.28,0.81,293.1372,0,-525.6097,148
3.099998,0.2235,-0.49225,0.3380833,-0.29,-0.73,0.86,292.9929,0,-525.6097,148
3.149998,0.20625,-0.4908333,0.3925,0.1,-0.58,1.3,292.9596,0,-540.1089,148
3.199998,0.2114167,-0.4983334,0.3776667,0.25,0.3,1.1,293.4004,0,-554.6049,148
3.249998,0.20875,-0.48,0.3675,-0.32,0.04,0.77,293.0951,0,-554.6049,148
3.299998,0.216,-0.48,0.3764167,-0.34,0.09,0.86,293.5736,0,-569.1144,148
3.349998,0.24125,-0.47225,0.3675,-0.47,-0.71,1.01,294.9307,0,-569.1144,148
3.399998,0.1889167,-0.4916667,0.40225,-0.16,-0.43,1.26,294.1023,0,-583.8075,148
3.449998,0.2020833,-0.49,0.375,0.27,0.31,1.1,293.497,0,-598.4177,148
3.499998,0.19625,-0.4795833,0.3708333,-0.1,0.29,0.77,291.8951,0,-598.4177,148
3.549998,0.2226667,-0.4683333,0.3789167,-0.52,-0.33,0.83,293.3651,0,-612.8073,148
3.599998,0.21725,-0.47875,0.381,-0.2,-0.21,1.09,294.0304,0,-612.8073,148
3.649998,0.1851667,-0.48625,0.3839167,0.42,0.32,0.9599999,293.5612,0,-627.4103,148
3.699998,0.1979167,-0.4879167,0.3630833,0.17,0.49,0.71,292.4448,0,-641.9664,148
3.749998,0.2025,-0.48225,0.3554167,-0.41,-0.15,0.67,291.9014,0,-641.9664,148
3.799998,0.2151667,-0.48,0.3814167,-0.05,-0.56,0.98,293.0007,0,-656.3565,148
3.849998,0.21725,-0.5016666,0.37725,0.38,-0.31,1.03,293.446,0,-656.3565,148
3.899998,0.1954167,-0.5133333,0.37725,0.51,0.38,0.9599999,292.8004,0,-670.9011,148
3.949997,0.2025,-0.4975,0.35,0.08,0.29,0.7,292.1348,0,-685.3812,148
3.999997,0.2016667,-0.4866667,0.3580833,0.12,0.5,0.7,291.8324,0,-685.3812,148
4.049997,0.24125,-0.475,0.3351667,-0.42,0.22,0.66,293.8607,0,-699.7644,148
4.099998,0.23,-0.4908333,0.356,-0.55,-0.3,0.81,294.8471,0,-699.7644,148
4.149998,0.2083333,-0.5004167,0.3555833,-0.13,-0.1,1.07,294.8787,0,-714.4491,148
4.199998,0.20625,-0.5080833,0.37125,0.18,0.2,0.99,293.2681,0,-729.137,148
4.249998,0.2070833,-0.4814167,0.3533333,0.17,0.49,0.87,292.6574,0,-729.137,148
4.299998,0.2,-0.4839167,0.3651667,-0.32,0.29,0.64,292.6081,0,-743.6027,148
4.349998,0.22725,-0.4675,0.35375,-0.54,-0.2,0.78,293.8848,0,-743.6027,148
4.399999,0.2230833,-0.4795833,0.3870833,-0.26,-0.22,1.08,294.4417,0,-758.1912,148
4.449999,0.2264167,-0.4904167,0.37625,0.02,0.21,1.07,295.2174,0,-772.8354,148
4.499999,0.18975,-0.4875,0.3904166,0.23,0.51,1.01,293.6652,0,-772.8354,148
4.549999,0.1983333,-0.47625,0.3533333,-0.03,0.44,0.65,292.8862,0,-787.4019,148
4.599999,0.2180833,-0.4689167,0.3555833,-0.4,-0.13,0.69,292.9396,0,-787.4019,148
4.65,0.2243333,-0.4770833,0.3230834,-0.18,0.13,0.86,294.2451,0,-801.8959,148
4.7,0.2308333,-0.4770833,0.3533333,-0.35,-0.35,0.95,295.3152,0,-816.5204,148
4.75,0.2083333,-0.4726667,0.3925,-0.29,-0.86,1.06,294.9298,0,-816.5204,148
4.8,0.20375,-0.4739167,0.37725,0.18,-0.64,1.29,294.29,0,-831.2134,148
4.85,0.2033333,-0.49875,0.3533333,0.46,-0.23,1.21,293.0768,0,-831.2134,148
4.900001,0.2164167,-0.4951667,0.3283334,0.27,0.23,1.03,293.0175,0,-845.7211,148
4.950001,0.21725,-0.4843333,0.3491667,0.11,0.21,0.75,293.3157,0,-860.2228,148
5.000001,0.2379167,-0.465,0.3491667,-0.13,-0.56,0.67,294.9545,0,-860.2228,148
5.050001,0.2333333,-0.45975,0.3655833,-0.25,-0.79,0.98,296.0547,0,-874.9183,148
5.100001,0.2404167,-0.4766666,0.3741667,0.02,-0.52,1.04,296.9234,0,-874.9183,148
5.150002,0.2205833,-0.50475,0.3589167,0.25,-0.09,1.0,295.76,0,-889.8106,148
5.200002,0.2168333,-0.48,0.3801667,0.43,0.42,0.92,294.8938,0,-904.5866,148
5.250002,0.1930833,-0.4818334,0.3704167,0.19,0.66,0.73,293.2513,0,-904.5866,148
5.300002,0.21725,-0.4775,0.356,0.14,0.57,0.93,293.5373,0,-919.1118,148
5.350002,0.2139167,-0.4818334,0.3495833,-0.12,0.17,0.87,293.4137,0,-933.6655,148
5.400002,0.2295833,-0.4705833,0.3593333,-0.45,-0.34,0.9,294.8034,0,-933.6655,148
5.450003,0.2441667,-0.4758333,0.3635,-0.31,-0.78,1.06,295.7033,0,-948.3458,148
5.500003,0.2114167,-0.4683333,0.3891666,-0.03,-0.81,1.25,295.8219,0,-963.128,148
5.550003,0.2295833,-0.48225,0.37,0.28,-0.35,1.26,295.639,0,-963.128,148
5.600003,0.2058333,-0.4758333,0.3691667,0.47,0.16,1.03,294.3817,0,-977.8919,148
5.650003,0.2118333,-0.4670834,0.3635,0.43,0.55,0.8,294.415,0,-977.8919,148
5.700004,0.2130833,-0.4835,0.34475,-0.01,0.16,0.61,293.857,0,-992.5334,148
5.750004,0.2108333,-0.4645833,0.3585,-0.31,0.06,0.68,294.196,0,-992.5334,148
5.800004,0.23125,-0.4779167,0.36625,-0.35,-0.09,0.75,294.6712,0,-1007.153,148
5.850004,0.235,-0.4689167,0.366,-0.26,-0.19,0.98,295.616,0,-1021.82,148
5.900004,0.2316667,-0.4693333,0.3708333,-0.16,-0.02,1.14,296.2368,0,-1021.82,148
5.950005,0.1905833,-0.46975,0.3785,-0.28,-0.93,1.07,294.9908,0,-1036.644,148
6.000005,0.1966667,-0.465,0.38475,-0.09,-0.79,1.19,293.7599,0,-1051.22,148
6.050005,0.2054167,-0.46875,0.3679167,0.16,-0.31,1.22,292.8908,0,-1051.22,148
6.100005,0.21975,-0.4670834,0.3626667,0.53,0.16,1.09,293.9284,0,-1065.709,148
6.150005,0.2308333,-0.4730834,0.35375,0.44,0.6,0.84,294.9564,0,-1065.709,148
6.200006,0.2445833,-0.4633333,0.345,0.18,0.59,0.71,296.3445,0,-1080.405,148
6.250006,0.2375,-0.4614167,0.3764167,-0.33,0.47,0.69,297.0245,0,-1080.405,148
6.300006,0.2341667,-0.4758333,0.37625,-0.44,-0.06,0.82,297.089,0,-1095.307,148
6.350006,0.20875,-0.4835,0.37975,-0.43,-0.56,1.06,295.5969,0,-1110.216,148
6.400006,0.20875,-0.4730834,0.37375,-0.31,-0.14,1.3,294.4549,0,-1110.216,148
6.450006,0.1901667,-0.4683333,0.3826667,0.14,-0.07,1.33,293.0872,0,-1124.862,148
6.500007,0.2164167,-0.46625,0.356,0.3,-0.05,1.18,293.6028,0,-1124.862,148
6.550007,0.21225,-0.4633333,0.361,0.2,0.05,1.04,293.8703,0,-1139.422,148
6.600007,0.2029167,-0.48,0.35375,0.12,0.09,0.87,294.1424,0,-1154.009,148
6.650007,0.2251667,-0.445,0.3651667,0.3,0.41,0.92,294.7891,0,-1154.009,148
6.700007,0.2535,-0.48225,0.375,0.17,0.62,0.77,295.828,0,-1168.688,148
6.750008,0.2118333,-0.4818334,0.3818333,-0.04,0.23,0.71,296.1002,0,-1183.498,148
6.800008,0.2291667,-0.47225,0.3691667,-0.25,0.31,0.78,295.7823,0,-1183.498,148
6.850008,0.2041667,-0.4745833,0.35725,-0.38,-0.64,0.9,294.2985,0,-1198.276,148
6.900008,0.2104167,-0.48225,0.3529167,-0.31,-0.9,1.01,294.2453,0,-1198.276,148
6.950008,0.2176667,-0.4541667,0.3491667,0.02,-0.84,1.25,294.1523,0,-1212.901,148
7.000009,0.2268333,-0.4670834,0.35725,0.32,-0.45,1.24,295.0275,0,-1212.901,148
7.050009,0.2370833,-0.4558333,0.3630833,0.46,-0.08,1.09,296.3297,0,-1227.603,148
7.100009,0.2155833,-0.4770833,0.3745833,0.45,0.61,0.9599999,295.8998,0,-1242.436,148
7.150009,0.20125,-0.4726667,0.4083333,0.19,0.81,0.78,294.9532,0,-1242.436,148
7.200009,0.22725,-0.4714167,0.39,-0.21,0.61,0.69,294.3723,0,-1257.132,148
7.25001,0.216,-0.481,0.3655833,-0.48,0.01,0.78,294.3277,0,-1257.132,148
7.30001,0.2130833,-0.46625,0.37375,0.04,0.11,0.91,294.827,0,-1271.765,148
7.35001,0.1991667,-0.4645833,0.3733333,-0.1,-0.07,0.82,293.983,0,-1286.447,148
7.40001,0.1941667,-0.4670834,0.3785,-0.25,-0.23,0.75,293.4462,0,-1286.447,148
7.45001,0.22225,-0.46375,0.3670833,-0.38,-0.79,0.7,293.7944,0,-1300.992,148
7.50001,0.2304167,-0.4545834,0.3555833,-0.08,-0.66,0.99,295.0193,0,-1315.694,148
7.550011,0.2341667,-0.4683333,0.3720833,-0.22,-0.29,1.06,296.3501,0,-1315.694,148
7.600011,0.1995833,-0.48625,0.3758333,0.25,0.14,0.99,295.2534,0,-1330.529,148
7.650011,0.1954167,-0.4835,0.3985,0.3,0.45,1.0,293.6294,0,-1330.529,148
7.700011,0.2083333,-0.4851666,0.37725,0.05,0.57,0.74,292.5207,0,-1345.092,148
7.750011,0.2180833,-0.4735,0.35,-0.16,0.44,0.76,293.3253,0,-1345.092,148
7.800012,0.2320833,-0.4689167,0.3258333,-0.33,0.07,0.85,294.767,0,-1359.624,148
7.850012,0.22475,-0.4679167,0.34875,-0.36,-0.83,0.95,295.5727,0,-1374.301,148
7.900012,0.2243333,-0.48875,0.3368333,-0.12,-0.89,1.05,295.5477,0,-1374.301,148
7.950012,0.2564167,-0.4601666,0.3704167,-0.27,-0.41,0.82,296.4795,0,-1389.056,148
8.000012,0.2291667,-0.4758333,0.3643333,-0.15,-0.22,1.0,296.4995,0,-1403.904,148
8.050013,0.20875,-0.4791667,0.3958333,0.0,0.07,1.08,296.1281,0,-1403.904,148
8.100013,0.2114167,-0.4766666,0.3818333,0.27,0.44,0.95,294.3918,0,-1418.717,148
8.150013,0.2075,-0.46375,0.3630833,0.27,0.55,0.94,293.8549,0,-1433.356,148
8.200013,0.1991667,-0.4614167,0.3708333,-0.19,0.39,0.7,293.7905,0,-1433.356,148
8.250013,0.2176667,-0.4605833,0.37125,-0.35,0.11,0.79,294.2492,0,-1447.935,148
8.300014,0.2329167,-0.4566667,0.3470833,-0.39,-0.84,0.91,295.2217,0,-1447.935,148
8.350014,0.2370833,-0.4701666,0.3376667,-0.23,-0.9599999,1.17,296.3593,0,-1462.657,148
8.400014,0.2441667,-0.4589167,0.3643333,0.1,-0.77,1.15,297.2661,0,-1477.493,148
8.450014,0.2118333,-0.4879167,0.36225,0.36,-0.39,1.21,296.0811,0,-1477.493,148
8.500014,0.2139167,-0.4739167,0.3725,0.49,0.27,1.1,295.2591,0,-1492.301,148
8.550014,0.20125,-0.4766666,0.3868333,0.42,0.65,0.76,293.5505,0,-1492.301,148
8.600015,0.1966667,-0.4830833,0.3741667,0.23,0.17,1.08,293.1116,0,-1506.856,148
8.650015,0.2104167,-0.4818334,0.361,-0.08,0.48,0.69,292.8774,0,-1521.367,148
8.700015,0.2201667,-0.4705833,0.356,-0.3,0.2,0.7,293.6052,0,-1521.367,148
8.750015,0.2151667,-0.451,0.3683333,-0.43,-0.57,0.82,294.7231,0,-1535.928,148
8.800015,0.23625,-0.4525,0.356,-0.41,-0.95,1.1,296.0491,0,-1535.928,148
8.850016,0.2441667,-0.4714167,0.381,-0.18,-1.02,1.24,296.8186,0,-1550.733,148
8.900016,0.2185,-0.47875,0.3835,0.19,-0.61,1.26,296.4941,0,-1565.615,148
8.950016,0.2214167,-0.4670834,0.3691667,0.39,-0.21,1.13,295.7588,0,-1565.615,148
9.000016,0.2193333,-0.465,0.3655833,0.42,0.27,0.95,295.0491,0,-1580.39,148
9.050016,0.2020833,-0.4743333,0.37725,0.36,0.13,0.72,294.5637,0,-1580.39,148
9.100017,0.1933333,-0.4666667,0.356,-0.09,0.13,0.64,293.6106,0,-1595.047,148
9.150017,0.2189167,-0.4904167,0.33975,-0.35,0.14,0.65,293.2116,0,-1609.608,148
9.200017,0.2295833,-0.4589167,0.3376667,-0.38,-0.49,0.8,294.3789,0,-1609.608,148
9.250017,0.2341667,-0.4645833,0.3580833,-0.46,-0.23,0.82,295.7943,0,-1624.246,148
9.300017,0.2551667,-0.4666667,0.3639167,-0.35,-0.63,0.93,297.3322,0,-1624.246,148
9.350018,0.23,-0.4679167,0.3793334,-0.25,-0.85,1.1,297.1983,0,-1639.179,148
9.400018,0.21725,-0.46975,0.37725,-0.01,-0.82,1.23,296.5549,0,-1654.099,148
9.450018,0.2235,-0.4801667,0.37375,0.21,-0.33,1.21,295.3186,0,-1654.099,148
9.500018,0.2083333,-0.4851666,0.37975,0.53,0.16,1.06,294.3396,0,-1668.831,148
9.550018,0.2118333,-0.4726667,0.3541667,0.47,0.58,0.87,294.1132,0,-1668.831,148
9.600019,0.2341667,-0.4735,0.35125,0.25,0.65,0.71,294.5645,0,-1683.442,148
9.650019,0.2226667,-0.4735,0.3651667,-0.21,0.6,0.65,295.2134,0,-1698.098,148
9.700019,0.216,-0.4735,0.37,-0.45,0.15,0.77,295.3405,0,-1698.098,148
9.750019,0.23375,-0.4489167,0.3666667,-0.46,-0.22,0.95,295.7376,0,-1712.832,148
9.800019,0.2408333,-0.4614167,0.3651667,-0.26,-0.3,1.17,296.5298,0,-1712.832,148
9.850019,0.2164167,-0.4718333,0.3801667,-0.11,-0.41,1.29,296.5692,0,-1727.685,148
9.90002,0.2193333,-0.4666667,0.3904166,-0.24,-0.83,1.06,295.7917,0,-1742.542,148
9.95002,0.2104167,-0.4601666,0.3716667,-0.07,-0.55,1.1,294.7953,0,-1742.542,148
10.00002,0.2041667,-0.4766666,0.36875,0.38,-0.26,1.13,294.3109,0,-1757.222,148
10.05002,0.2201667,-0.46875,0.345,0.44,0.16,1.03,294.3061,0,-1757.222,148
10.10002,0.22225,-0.4770833,0.345,0.29,0.81,0.88,294.4413,0,-1771.853,148
10.15002,0.2185,-0.4683333,0.3675,-0.04,0.7,0.69,295.0496,0,-1786.497,148
10.20002,0.21725,-0.4566667,0.3741667,-0.37,0.23,0.71,295.1439,0,-1786.497,148
10.25002,0.2379167,-0.47225,0.3691667,-0.48,-0.31,0.82,295.7306,0,-1801.211,148
10.30002,0.2276667,-0.4693333,0.3793334,-0.45,-0.74,1.13,296.0193,0,-1801.211,148
10.35002,0.2118333,-0.48475,0.3868333,-0.27,-0.92,1.33,295.407,0,-1816.013,148
10.40002,0.20875,-0.4689167,0.3875,-0.0,-0.32,1.28,294.4933,0,-1830.754,148
10.45002,0.20125,-0.48225,0.3655833,0.31,-0.24,1.23,293.418,0,-1830.754,148
10.50002,0.2139167,-0.4758333,0.3520833,0.3,0.28,1.02,293.6186,0,-1845.295,148
10.55002,0.2176667,-0.4633333,0.3585,-0.04,0.05,0.83,294.0072,0,-1845.295,148
10.60002,0.2235,-0.4683333,0.3193333,0.26,0.62,0.95,294.9606,0,-1859.896,148
10.65002,0.2420833,-0.4614167,0.3545833,0.26,0.55,0.93,296.1196,0,-1874.592,148
10.70002,0.2345833,-0.46975,0.3916667,-0.18,0.37,0.89,296.5774,0,-1889.45,148
10.75002,0.2025,-0.475,0.3883333,-0.1,0.13,0.91,295.7699,0,-1889.45,148
10.80002,0.2185,-0.4843333,0.37125,-0.4,-0.34,0.89,294.6359,0,-1904.227,148
10.85002,0.2004167,-0.4818334,0.3708333,-0.29,-0.71,1.02,293.3186,0,-1904.227,148
