Time,Hx,Hy,Hz,Ax,Ay,Az,PID_Output,Integral,Setpoint,XY-Heading,YZ-Heading,ZX-Heading
0,0.2729167,0.1320833,-0.3655833,-0.06,-0.12,0.9700001,0,0,264,0,34.82556,289.8645,143.2578
0.05,0.28975,0.13725,-0.3601667,-0.21,-0.05,1.17,0,0,264,0,34.34618,290.8605,141.1837
0.1,0.2180833,0.13725,-0.3341667,-0.18,-0.03,0.79,1000,22.96538,264,229.6538,41.18412,292.3291,146.8708
0.15,0.2695833,0.09041667,-0.3651667,-0.32,-0.11,0.98,1000,22.96538,264,229.6538,27.54115,283.907,143.5635
0.2,0.28975,0.02208333,-0.3695833,-0.22,-0.21,0.93,1000,46.61127,264,236.4588,13.35838,273.4195,141.9039
0.25,0.22225,-0.11125,-0.3875,-0.01,-0.38,0.88,1000,71.67543,264,250.6416,342.4092,253.9814,150.1636
0.3,0.16375,-0.15625,-0.375,-0.15,-0.28,1.07,0,63.83451,264,-78.40918,325.3426,247.3801,156.4107
0.35,0.07766667,-0.1820833,-0.3920834,0.02,-0.36,0.83,0,63.83451,264,-78.40918,302.1004,245.0899,168.7955
0.4,-0.008083333,-0.1735,-0.41125,0.04,-0.29,0.93,0,60.02447,264,-38.1004,276.3325,247.1259,181.126
0.45,-0.05791667,-0.1535,-0.4391666,-0.17,-0.06,1.0,0,60.02447,264,-38.1004,258.3282,250.7342,187.5127
0.5,-0.095,-0.09391666,-0.42725,-0.06,-0.01,1.1,143.4168,60.59166,264,5.671844,233.6714,257.6026,192.5359
0.5500001,-0.1254167,-0.06833333,-0.38225,0.01,0.01,1.11,531.4403,63.62451,264,30.32855,217.5838,259.8645,198.1647
0.6000001,-0.1245833,0.00225,-0.3904166,-0.1,0.02,1.09,531.4403,63.62451,264,30.32855,187.9653,270.3302,197.6981
0.6500001,-0.1551667,0.02208333,-0.4116667,-0.31,-0.1,0.9,1000,71.22798,264,76.03467,180.9,273.0706,200.6526
0.7000001,-0.1414167,0.09125,-0.3708333,-0.2,-0.08,0.81,1000,71.22798,264,76.03467,156.1676,283.824,200.8743
0.7500001,-0.1604167,0.1104167,-0.39975,0.1,-0.12,1.07,1000,82.01122,264,107.8324,154.4599,285.4409,201.8652
0.8000001,-0.1205833,0.16225,-0.3525,0.11,-0.16,0.98,1000,92.96523,264,109.5401,135.6195,294.7159,198.8848
0.8500002,-0.055,0.2125,-0.356,-0.15,-0.31,1.1,1000,92.96523,264,109.5401,113.511,300.8334,188.7825
0.9000002,-0.004333333,0.2568333,-0.35,-0.26,-0.13,0.9599999,1000,108.0141,264,150.489,99.96661,306.2716,180.7094
0.9500002,0.02625,0.25475,-0.3720833,-0.08,-0.36,0.92,1000,108.0141,264,150.489,93.11687,304.3978,175.9645
1.0,0.07225,0.2625,-0.3295834,0.08,-0.38,1.01,1000,125.1024,264,170.8831,83.61106,308.5359,167.6354
1.05,0.1966667,0.24,-0.3164167,0.11,-0.31,0.98,1000,143.1413,264,180.3889,59.66728,307.1801,148.1373
1.1,0.2180833,0.1976667,-0.3193333,0.06,-0.06,0.94,1000,143.1413,264,180.3889,51.18857,301.7574,145.6695
1.15,0.2783333,0.1418333,-0.3230834,0.02,-0.12,1.2,1000,164.4225,264,212.8114,36.00252,293.7014,139.2554
1.2,0.31125,0.04725,-0.3329167,-0.1,-0.36,0.99,1000,189.0593,264,246.368,17.63201,278.0779,136.9264
1.25,0.2935,-0.03433333,-0.3504167,-0.07,-0.03,1.15,1000,189.0593,264,246.368,362.3279,264.4041,140.0513
1.3,0.256,-0.1141667,-0.3525,-0.09,-0.3,0.9,0,179.2265,264,-98.32791,344.9649,252.054,144.0113
1.35,0.17,-0.1579167,-0.3920834,-0.12,-0.43,1.13,0,179.2265,264,-98.32791,326.1103,248.0623,156.5593
1.4,0.0975,-0.1695833,-0.4268333,-0.32,-0.22,0.7,0,173.0154,264,-62.11032,308.8963,248.3318,167.1329
1.45,-0.0001666667,-0.1735,-0.3980833,0.07,-0.29,1.05,0,168.5258,264,-44.89627,278.9449,246.4506,180.024
1.5,-0.02833333,-0.1605833,-0.4418334,-0.05,-0.02,0.95,0,168.5258,264,-44.89627,268.9937,250.0264,183.6692
1.55,-0.07058334,-0.1245833,-0.3980833,-0.17,-0.52,0.91,0,168.0264,264,-4.993713,249.4661,252.6221,190.0545
1.6,-0.08791667,-0.05933333,-0.4366667,0.08,0.1,1.07,0,168.0264,264,-4.993713,223.0147,262.2622,191.3835
1.65,-0.1329167,-0.02958333,-0.3835,0.25,-0.23,1.15,739.4493,172.125,264,40.98532,201.5478,265.5889,199.1157
1.699999,-0.1505833,0.00625,-0.401,0.17,0.04,1.07,1000,178.3702,264,62.45218,186.6233,270.8929,200.5822
1.749999,-0.1576667,0.05058333,-0.381,0.18,0.06,1.21,1000,178.3702,264,62.45218,171.2125,277.5626,202.4809
1.799999,-0.1375,0.09183332,-0.3843333,0.12,-0.23,1.06,1000,187.6489,264,92.78752,155.2619,283.4384,199.6853
1.849999,-0.14,0.1433333,-0.3639167,0.19,0.05,1.2,1000,187.6489,264,92.78752,143.326,291.4977,201.0419
1.899999,-0.10975,0.17,-0.3580833,0.02,-0.07,0.83,1000,199.7163,264,120.674,131.8458,295.396,197.0399
1.949999,-0.05225,0.231,-0.3764167,-0.24,-0.1,0.82,1000,212.9318,264,132.1542,111.7453,301.5367,187.9027
1.999999,0.02041667,0.2495833,-0.3655833,-0.36,-0.58,0.65,1000,229.8994,264,169.6766,94.32344,304.3213,176.8035
2.049999,0.03975,0.2518333,-0.3385,-0.08,-0.51,1.13,1000,229.8994,264,169.6766,90.03029,306.6481,173.3024
2.099999,0.1020833,0.2530833,-0.356,0.29,-0.27,1.04,1000,247.2964,264,173.9697,77.03289,305.4093,163.9997
2.149999,0.1616667,0.24475,-0.356,-0.02,-0.32,0.93,1000,247.2964,264,173.9697,65.55373,304.5085,155.5762
