Time,Hx,Hy,Hz,Ax,Ay,Az,Heading,PID_Output,Integral,Setpoint
0,0.08916666,-0.6370833,0.2241667,-0.02,-0.12,0.9599999,92.6558,0,0,148,0
0.05,0.09708333,-0.63625,0.2425,-0.06,-0.13,0.86,185.5477,0,0,148,0
0.1,0.04891667,-0.63875,0.2220833,0.07,-0.14,1.05,277.0074,0,-3.754768,148,-37.54768
0.15,0.1391667,-0.6105833,0.26625,-0.05,-0.1,0.93,278.6316,0,-3.754768,148,-37.54768
0.2,0.116,-0.65875,0.2955833,-0.06,-0.19,0.73,279.0686,0,-16.81792,148,-130.6316
0.25,0.106,-0.6483333,0.2330833,-0.1,-0.14,1.23,280.704,0,-29.92479,148,-131.0686
0.3,0.08183333,-0.6189167,0.25975,-0.18,-0.16,0.78,278.9348,0,-43.19519,148,-132.704
0.35,0.07766667,-0.6591667,0.2704167,-0.0,-0.06,1.1,277.8458,0,-43.19519,148,-132.704
0.4,0.0625,-0.6426666,0.2568333,0.25,-0.04,0.73,276.6022,0,-56.17977,148,-129.8458
0.45,0.0785,-0.6335,0.2605834,0.09,-0.13,0.77,276.4461,0,-56.17977,148,-129.8458
0.5,0.06291667,-0.65225,0.261,0.18,0.26,0.65,276.0427,0,-69.02438,148,-128.4461
0.5500001,0.04725,-0.6530833,0.2555833,0.26,0.04,1.1,275.5705,0,-81.82866,148,-128.0427
0.6000001,0.04933333,-0.6785,0.2704167,-0.07,0.32,0.75,274.6022,0,-81.82866,148,-128.0427
0.6500001,0.0275,-0.6616667,0.2364167,-0.23,-0.68,0.98,273.5589,0,-94.48888,148,-126.6022
0.7000001,0.06041666,-0.666,0.2479167,0.39,0.17,1.26,273.9073,0,-94.48888,148,-126.6022
0.7500001,0.05666667,-0.6651667,0.2155833,0.14,0.28,0.87,274.1443,0,-107.0796,148,-125.9073
0.8000001,0.011,-0.6733334,0.23225,-0.03,-0.18,0.74,273.6629,0,-119.694,148,-126.1443
0.8500002,0.03891666,-0.6747499,0.2008333,-0.01,-0.17,0.78,273.0354,0,-119.694,148,-126.1443
0.9000002,-0.008500001,-0.6801667,0.2530833,0.19,0.63,0.54,271.1736,0,-132.1976,148,-125.0354
0.9500002,0.03558333,-0.6704166,0.2491667,0.29,1.21,0.88,271.8744,0,-132.1976,148,-125.0354
1.0,0.05291667,-0.6604167,0.2376667,0.14,0.24,1.48,272.3011,0,-144.585,148,-123.8744
1.05,-0.01641667,-0.6625,0.2330833,-0.43,-1.26,0.66,272.0666,0,-157.0151,148,-124.3011
1.1,-0.01725,-0.676,0.2393333,0.31,0.7,1.0,270.5666,0,-157.0151,148,-124.3011
1.15,0.01225,-0.6455833,0.2229167,-0.15,-0.76,0.98,269.4019,0,-169.2718,148,-122.5666
1.2,-0.01058333,-0.67725,0.2343333,0.0,0.12,1.2,269.5767,0,-169.2718,148,-122.5666
1.25,0.0001666667,-0.6635,0.22875,0.07,-0.41,0.53,270.0687,0,-181.4295,148,-121.5767
1.3,-0.02791667,-0.6651667,0.2858333,-0.19,-1.42,1.49,268.9053,0,-193.6363,148,-122.0687
1.35,-0.01266667,-0.6808333,0.2083333,0.25,1.2,1.07,268.8484,0,-193.6363,148,-122.0687
1.4,-0.00225,-0.6668334,0.2189167,-0.04,-0.17,0.46,268.7792,0,-205.7212,148,-120.8484
1.45,0.003916667,-0.6820833,0.2504167,-0.39,-0.64,0.73,269.6899,0,-205.7212,148,-120.8484
1.5,-0.016,-0.6695833,0.245,-0.3,-0.76,1.09,269.589,0,-217.8902,148,-121.6899
1.55,-0.0005833333,-0.6539166,0.236,0.12,0.18,1.05,269.6364,0,-230.0491,148,-121.589
1.6,0.016,-0.6708333,0.2135,0.26,1.08,0.66,269.9821,0,-230.0491,148,-121.589
1.65,0.01875,-0.6676667,0.251,0.16,1.03,0.4,270.9746,0,-242.2473,148,-121.9821
1.699999,0.0175,-0.676,0.2514167,0.0,0.76,0.43,271.486,0,-242.2473,148,-121.9821
1.749999,-0.008500001,-0.6868333,0.2508333,-0.04,0.61,0.46,270.7942,0,-254.5959,148,-123.486
1.799999,-0.003916667,-0.67375,0.2330833,0.04,0.11,1.27,270.1469,0,-266.8753,148,-122.7942
1.849999,0.04058333,-0.6833333,0.2568333,-0.06,-0.27,1.13,270.7856,0,-266.8753,148,-122.7942
1.899999,0.01558333,-0.6808333,0.24625,-0.14,-0.04,1.15,271.459,0,-279.1539,148,-122.7856
1.949999,0.002666667,-0.6530833,0.2616667,-0.2,-0.28,1.48,271.648,0,-279.1539,148,-122.7856
1.999999,0.03458333,-0.6764167,0.2164167,-0.21,-1.17,1.33,271.4906,0,-291.5187,148,-123.648
2.049999,-0.0175,-0.6733334,0.2155833,-0.34,-1.52,0.74,270.5573,0,-303.8677,148,-123.4906
2.099999,-0.001833333,-0.66725,0.2229167,-0.22,-0.73,0.61,270.4269,0,-303.8677,148,-123.4906
2.149999,0.01391667,-0.67125,0.225,0.22,0.03,0.8,269.8472,0,-316.1104,148,-122.4269
2.199999,-0.01183333,-0.67125,0.2058333,0.32,0.14,0.77,270.0068,0,-316.1104,148,-122.4269
2.249999,-0.02541667,-0.6841667,0.2225,0.22,0.92,0.79,269.3501,0,-328.3111,148,-122.0068
2.299999,-0.004333333,-0.6933333,0.2270833,-0.11,0.8,1.46,268.8348,0,-340.4461,148,-121.3501
2.349999,0.01475,-0.6816667,0.236,-0.02,-0.55,1.31,269.5846,0,-352.5296,148,-120.8348
2.399999,-0.001416667,-0.685,0.2475,-0.4,-0.57,0.73,270.2543,0,-352.5296,148,-120.8348
2.449999,0.03416667,-0.6680833,0.2270833,0.1,0.06,0.84,271.3496,0,-364.755,148,-122.2543
2.499999,-0.01475,-0.6664166,0.2114167,0.23,0.85,0.68,270.5137,0,-364.755,148,-122.2543
2.549999,0.00225,-0.6668334,0.22875,0.04,0.32,1.24,270.6177,0,-377.0064,148,-122.5137
2.599999,0.003916667,-0.6704166,0.2518333,-0.27,-1.54,1.27,269.7534,0,-389.2682,148,-122.6177
2.649999,0.03683333,-0.666,0.2491667,0.16,0.12,0.62,271.2312,0,-389.2682,148,-122.6177
2.699999,0.02583333,-0.6579166,0.2279167,0.28,0.56,1.14,271.9163,0,-401.5913,148,-123.2312
2.749999,0.005166667,-0.6651667,0.2229167,-0.38,-0.21,1.07,271.953,0,-401.5913,148,-123.2312
2.799999,0.001833333,-0.6829166,0.2479167,-0.17,-0.89,0.8,270.9492,0,-413.9866,148,-123.953
2.849998,0.03516667,-0.6616667,0.2339167,0.23,0.74,0.68,271.2137,0,-426.2815,148,-122.9492
2.899998,0.02583333,-0.66475,0.2404167,-0.12,0.29,1.5,271.8072,0,-426.2815,148,-122.9492
2.949998,0.008500001,-0.7033333,0.2641666,0.39,0.77,0.9,271.9867,0,-438.6622,148,-123.8072
2.999998,0.04016666,-0.6508333,0.2429167,-0.12,-0.54,1.14,272.1498,0,-451.0609,148,-123.9867
3.049998,0.02,-0.6689167,0.2593333,-0.26,-0.91,1.04,271.9789,0,-451.0609,148,-123.9867
3.099998,0.01875,-0.68725,0.26625,0.26,0.39,0.5,272.269,0,-463.4588,148,-123.9789
3.149998,0.04141667,-0.6816667,0.23725,0.12,0.47,1.21,272.2508,0,-463.4588,148,-123.9789
3.199998,0.03166667,-0.6680833,0.2633333,-0.34,-1.43,0.65,272.5845,0,-475.8839,148,-124.2508
3.249998,0.03083333,-0.6785,0.2330833,0.22,0.71,0.94,272.9309,0,-488.3423,148,-124.5845
3.299998,0.0435,-0.6664166,0.2658334,-0.19,0.04,1.12,273.0168,0,-488.3423,148,-124.5845
3.349998,0.03975,-0.6804166,0.2220833,-0.17,-0.94,1.05,273.2267,0,-500.844,148,-125.0168
3.399998,0.00975,-0.6755834,0.2393333,0.25,0.08,0.49,272.635,0,-500.844,148,-125.0168
3.449998,0.05875,-0.6880834,0.2380833,-0.07,-0.29,1.45,273.0168,0,-513.3075,148,-124.635
3.499998,0.0275,-0.6579166,0.24125,0.35,1.04,0.89,272.7002,0,-525.8092,148,-125.0168
3.549998,-0.002666667,-0.6716667,0.2105833,-0.26,-0.87,0.92,272.3487,0,-525.8092,148,-125.0168
3.599998,0.02791667,-0.6768333,0.2445833,0.18,-0.47,0.88,271.5093,0,-538.2441,148,-124.3487
3.649998,0.03208333,-0.6668334,0.2254167,0.13,0.91,0.9,271.6297,0,-538.2441,148,-124.3487
3.699998,0.00225,-0.6747499,0.2393333,-0.28,-0.74,1.35,271.7692,0,-550.6071,148,-123.6297
3.749998,0.05916667,-0.6725,0.2504167,0.11,-0.21,0.45,272.6578,0,-562.9839,148,-123.7692
3.799998,0.03041667,-0.6526667,0.1870833,0.17,0.56,1.3,272.6291,0,-562.9839,148,-123.7692
3.849998,0.0175,-0.6704166,0.22875,-0.46,-0.73,0.85,273.0638,0,-575.4468,148,-124.6291
3.899998,0.03333333,-0.6933333,0.2483333,0.32,-0.16,0.65,272.3054,0,-575.4468,148,-124.6291
3.949997,0.04183333,-0.6504167,0.2266667,-0.01,0.88,1.23,272.6426,0,-587.8774,148,-124.3054
3.999997,0.01391667,-0.6958333,0.27125,-0.3,-1.52,0.87,272.5261,0,-600.3416,148,-124.6426
4.049997,0.05291667,-0.6635,0.2416667,0.37,1.01,0.86,273.1286,0,-600.3416,148,-124.6426
4.099998,0.05225,-0.6595833,0.2576667,-0.12,-0.53,0.75,273.4117,0,-612.8545,148,-125.1286
4.149998,0.02541667,-0.65875,0.27225,0.27,0.64,0.86,273.7663,0,-612.8545,148,-125.1286
4.199998,0.06916667,-0.6508333,0.2445833,-0.35,-0.87,1.41,274.2684,0,-625.4311,148,-125.7663
4.249998,0.04683333,-0.6708333,0.2330833,0.03,0.04,0.44,274.0898,0,-638.0579,148,-126.2684
4.299998,0.03975,-0.6695833,0.2666667,-0.04,0.35,1.44,274.4857,0,-638.0579,148,-126.2684
4.349998,0.025,-0.6608334,0.23725,-0.33,-0.83,0.63,273.1858,0,-650.7065,148,-126.4857
