Time,Hx,Hy,Hz,Ax,Ay,Az,Heading,PID_Output,Integral,Setpoint
0,0.2909767,0.005062332,-0.2975591,-0.03,-0.07,0.94,9.332238,0,0,4,0
0.05,0.2970753,-0.0002159178,-0.2979811,-0.01,-0.09,1.01,129.3184,0,0,4,0
0.1,0.2548206,0.01120716,-0.2632061,0.03,0.01,0.9599999,130.1578,0,-12.53184,4,-125.3184
0.15,0.3192917,0.01136472,-0.2971371,-0.11,-0.13,0.91,130.505,0,-12.53184,4,-125.3184
0.2,0.2905411,0.01711565,-0.2735036,0.02,-0.03,1.0,11.64272,0,-25.18234,4,-126.505
0.25,0.2861849,0.01041936,-0.2864176,0.0,-0.01,1.01,11.49832,810.1805,-25.94661,4,-7.642717
0.3,0.3056134,0.001911137,-0.2910599,-0.14,-0.03,0.98,10.93825,0,-26.64044,4,-6.938252
0.35,0.2738134,0.02609655,-0.3286202,0.27,-0.03,1.03,11.62922,0,-26.64044,4,-6.938252
0.4,0.2786052,0.01750955,-0.2838855,-0.06,-0.11,0.68,12.13291,0,-27.40336,4,-7.629224
0.45,0.2385285,0.005062332,-0.2992472,-0.15,-0.15,0.74,12.41875,0,-27.40336,4,-7.629224
0.5,0.2465438,0.001517238,-0.3041427,0.18,-0.09,0.81,10.72152,0,-28.24524,4,-8.418751
0.5500001,0.2443657,-0.002973214,-0.3148622,0.37,0.15,1.05,129.2904,0,-40.77428,4,-125.2904
0.6000001,0.2953328,0.006874267,-0.296293,-0.06,0.03,0.78,129.3297,0,-40.77428,4,-125.2904
0.6500001,0.2604836,0.001911137,-0.3195045,-0.08,-0.38,1.13,129.3522,0,-53.30725,4,-125.3297
0.7000001,0.2319942,-0.0303886,-0.2471692,0.3,0.28,1.01,127.0971,0,-53.30725,4,-125.3297
0.7500001,0.2764271,-0.02424377,-0.3054088,0.03,0.24,0.79,244.9818,0,-65.61695,4,-123.0971
0.8000001,0.2574342,-0.001397617,-0.3144402,-0.23,0.08,0.77,364.738,0,-89.71513,4,-240.9818
0.8500002,0.2548206,-0.008330242,-0.2843075,-0.29,0.21,0.75,366.6014,0,-89.71513,4,-240.9818
0.9000002,0.2611805,-0.0006098188,-0.3096291,-0.19,0.19,0.79,368.2276,0,-125.9753,4,-362.6014
0.9500002,0.2461082,-0.01857163,-0.2881057,0.15,0.25,0.93,366.8928,0,-125.9753,4,-362.6014
1.0,0.2478507,-0.003367113,-0.2902159,0.4,0.03,1.06,367.2575,0,-162.2646,4,-362.8928
1.05,0.2668436,-0.0108512,-0.3009353,-0.25,-0.35,0.9599999,366.5259,0,-198.5903,4,-363.2575
1.1,0.2879274,-0.006754648,-0.3070969,-0.24,0.15,0.93,367.5164,0,-198.5903,4,-363.2575
1.15,0.2526425,-0.01935942,-0.2760358,-0.38,-0.33,0.95,366.3152,0,-234.9419,4,-363.5164
1.2,0.2853137,-0.001003718,-0.3315744,0.4,0.23,0.89,367.0242,0,-234.9419,4,-363.5164
1.25,0.2637942,-0.01620823,-0.2670044,-0.44,-0.45,1.04,366.3002,0,-271.2444,4,-363.0242
1.3,0.2552562,-0.009511944,-0.3121612,0.34,0.35,0.78,367.0494,0,-307.4744,4,-362.3002
1.35,0.2764271,-0.01439629,-0.2718155,-0.19,-0.35,0.9,366.1229,0,-307.4744,4,-362.3002
1.4,0.2759915,-0.02723741,-0.3207705,-0.16,-0.36,1.14,365.4161,0,-343.6866,4,-362.1229
1.45,0.274249,0.005456229,-0.3020326,0.25,0.58,0.9,246.5074,0,-343.6866,4,-362.1229
1.5,0.274249,0.005062332,-0.2699586,0.0,0.54,0.65,127.8537,0,-367.9374,4,-242.5074
1.55,0.2552562,-0.00454881,-0.2682705,-0.35,-0.27,0.85,129.3921,0,-380.3228,4,-123.8537
1.6,0.2616161,0.001517238,-0.2906379,-0.32,-0.52,1.23,129.123,0,-380.3228,4,-123.8537
1.65,0.2509,-0.003367113,-0.2941829,0.09,-0.71,1.21,248.5142,0,-392.8351,4,-125.123
1.699999,0.2478507,0.02105464,-0.2760358,0.09,-0.45,1.23,130.473,0,-392.8351,4,-125.123
1.749999,0.284878,-0.009511944,-0.3135961,-0.45,-0.55,0.88,249.7248,0,-405.4824,4,-126.473
1.799999,0.2901054,0.01530371,-0.3009353,-0.39,-0.13,0.9,130.9876,0,-430.0548,4,-245.7248
1.849999,0.2681504,0.01947904,-0.2648942,-0.38,-0.23,0.89,130.754,0,-430.0548,4,-245.7248
1.899999,0.288363,0.003486734,-0.3066749,-0.45,-0.34,1.03,11.62241,0,-442.7303,4,-126.754
1.949999,0.2751203,0.01869124,-0.280256,-0.55,-0.72,1.04,11.91139,0,-442.7303,4,-126.754
1.999999,0.2729422,0.01175862,-0.2979811,-0.57,-0.57,0.82,11.34873,657.1453,-443.5214,4,-7.911388
2.049999,0.3095339,0.01869124,-0.3108952,-0.29,0.25,1.24,12.26969,0,-444.2563,4,-7.348735
2.099999,0.2746846,-0.0006098188,-0.3127521,0.02,0.49,0.74,130.9318,0,-444.2563,4,-7.348735
2.149999,0.2707641,0.01136472,-0.3165503,0.32,1.35,0.9,130.9106,0,-456.9494,4,-126.9318
2.199999,0.2698929,0.01530371,-0.2881057,0.48,1.19,1.15,130.8405,0,-456.9494,4,-126.9318
2.249999,0.2746846,0.006480369,-0.3148622,0.32,-0.37,1.26,11.33343,0,-469.6335,4,-126.8405
2.299999,0.2456726,0.008055965,-0.2412608,-0.37,0.22,0.8,11.15833,667.8464,-470.3668,4,-7.333429
2.349999,0.2600479,0.02294536,-0.2730816,0.24,0.65,1.16,11.75735,0,-471.0826,4,-7.158325
2.399999,0.2901054,0.01987295,-0.2916507,0.43,0.27,0.98,12.61312,0,-471.0826,4,-7.158325
2.449999,0.2548206,-0.007936344,-0.2916507,-0.24,-0.58,0.92,131.3925,0,-471.9439,4,-8.61312
2.499999,0.2539493,-0.01857163,-0.2843075,-0.52,-0.9599999,0.98,248.3174,0,-471.9439,4,-8.61312
2.549999,0.2772983,0.008843764,-0.2619401,0.14,0.69,0.76,247.62,0,-496.3757,4,-244.3174
2.599999,0.3138901,0.01041936,-0.308363,0.44,-0.12,1.09,128.8484,0,-520.7377,4,-243.62
2.649999,0.2720709,0.007268167,-0.2885278,-0.23,-1.44,0.98,10.75271,0,-520.7377,4,-243.62
2.699999,0.2526425,0.01711565,-0.2751917,-0.45,0.73,0.67,11.4357,1300,-521.413,4,-6.752712
2.749999,0.2530781,-0.003367113,-0.2747697,0.26,0.56,1.12,130.5479,1300,-521.413,4,-6.752712
2.799999,0.2831356,-0.002579315,-0.2929168,0.46,0.87,1.03,249.8638,0,-534.0677,4,-126.5479
2.849998,0.2835712,-0.0132146,-0.296715,0.1,-0.45,0.99,367.6825,0,-558.6541,4,-245.8638
2.899998,0.2787794,-0.03866048,-0.3281982,-0.27,0.94,0.77,365.3049,0,-558.6541,4,-245.8638
2.949998,0.2513356,-0.0319642,-0.3195045,0.45,0.28,1.02,363.063,0,-594.7846,4,-361.3049
2.999998,0.2359148,-0.05244696,-0.2777238,0.17,-1.39,1.21,359.7744,0,-594.7846,4,-361.3049
3.049998,0.2439301,-0.04929577,-0.2739256,-0.48,-0.4,0.86,358.5978,0,-630.3621,4,-355.7744
3.099998,0.2624874,-0.05914325,-0.3070969,-0.26,0.72,0.77,356.7811,0,-665.8218,4,-354.5978
3.149998,0.2315586,-0.06268834,-0.3075189,0.46,0.21,1.18,355.9097,0,-665.8218,4,-354.5978
3.199998,0.2116946,-0.0819894,-0.296715,-0.24,-0.81,1.0,352.6609,0,-701.0128,4,-351.9097
3.249998,0.2204069,-0.0691483,-0.2789899,-0.52,0.55,0.7,351.0874,0,-701.0128,4,-351.9097
3.299998,0.2280737,-0.08805546,-0.3144402,0.36,0.47,1.03,349.0999,0,-735.7216,4,-347.0874
3.349998,0.2380929,-0.09081275,-0.3273542,0.13,-1.1,1.18,349.1978,0,-770.2316,4,-345.0999
3.399998,0.1988874,-0.09616978,-0.2929168,-0.6,-0.24,0.74,346.402,0,-770.2316,4,-345.0999
3.449998,0.245237,-0.08726765,-0.296293,0.28,-0.18,1.0,346.9095,0,-804.4717,4,-342.402
3.499998,0.2263313,-0.09656368,-0.3096291,-0.58,-0.87,0.77,346.167,0,-838.7627,4,-342.9095
3.549998,0.1910464,-0.1154708,-0.2897938,0.37,0.61,1.14,344.3857,0,-838.7627,4,-342.9095
3.599998,0.2341723,-0.1154708,-0.3104731,-0.1,-0.82,0.99,342.1658,0,-872.8013,4,-340.3857
3.649998,0.2182288,-0.1170464,-0.3334314,-0.48,0.26,0.78,340.4653,0,-872.8013,4,-340.3857
3.699998,0.2186644,-0.1112955,-0.3131741,0.48,0.23,1.25,341.8567,0,-906.4478,4,-336.4653
3.749998,0.245237,-0.09223079,-0.308363,-0.5,-0.77,0.91,343.7358,0,-940.2335,4,-337.8567
3.799998,0.2241532,-0.09750904,-0.3311524,0.23,1.24,0.84,345.3015,0,-940.2335,4,-337.8567
3.849998,0.2212781,-0.1089321,-0.3131741,0.21,-1.58,1.16,345.5564,0,-974.3636,4,-341.3015
3.899998,0.2280737,-0.1064112,-0.3265101,-0.39,0.5,0.77,344.0893,0,-974.3636,4,-341.3015
3.949997,0.2121302,-0.1105077,-0.3037207,0.43,0.25,0.99,342.7535,0,-1008.372,4,-340.0893
3.999997,0.2407066,-0.09750904,-0.3009353,-0.07,1.1,0.76,344.1394,0,-1042.248,4,-338.7535
4.049997,0.2151795,-0.1056234,-0.3342754,0.06,-1.21,1.08,343.7619,0,-1042.248,4,-338.7535
4.099998,0.2177932,-0.0843528,-0.2785679,-0.21,0.24,0.76,345.877,0,-1076.224,4,-339.7619
4.149998,0.2245888,-0.0843528,-0.3199265,0.33,-0.14,1.01,346.366,0,-1076.224,4,-339.7619
4.199998,0.2237175,-0.0851406,-0.2924948,-0.37,-0.45,0.85,348.1357,0,-1110.461,4,-342.366
4.249998,0.2333011,-0.07938967,-0.2992472,0.51,1.02,1.3,348.9287,0,-1144.874,4,-344.1357
4.299998,0.2346079,-0.07017242,-0.3480335,-0.62,-0.8,0.74,350.2398,0,-1144.874,4,-344.1357
4.349998,0.2258956,-0.0675727,-0.2975591,0.39,0.42,1.02,351.6338,0,-1179.498,4,-346.2398
4.399999,0.2407066,-0.06717879,-0.3286202,-0.35,-1.3,0.99,352.7001,0,-1179.498,4,-346.2398
4.449999,0.2443657,-0.06520929,-0.2946049,0.04,1.58,0.85,353.2704,0,-1214.368,4,-348.7001
4.499999,0.2574342,-0.04929577,-0.3017794,-0.26,-1.6,0.92,355.2082,0,-1249.295,4,-349.2704
4.549999,0.2319942,-0.05693741,-0.3017794,0.18,0.9,0.91,355.8097,0,-1249.295,4,-349.2704
4.599999,0.2469794,-0.05284086,-0.3045647,0.21,0.54,0.89,356.7647,0,-1284.476,4,-351.8097
4.65,0.2328655,-0.04787773,-0.3190825,0.01,-1.5,1.13,356.5054,0,-1319.753,4,-352.7647
4.7,0.2439301,-0.05536181,-0.2805092,0.11,1.21,0.75,356.8394,0,-1319.753,4,-352.7647
