Time,Hx,Hy,Hz,Ax,Ay,Az,Heading,PID_Output,Integral,Setpoint
0,-0.05541667,-0.6604167,0.3108333,-0.03,-0.08,0.95,-31.59885,0,0,238
0.05,-0.04516667,-0.6630833,0.3239167,0.06,0.19,1.2,-62.89776,0,0,238
0.1,-0.05458333,-0.6808333,0.3708333,-0.09,0.09,0.98,-94.42565,1000,30.08978,238
0.15,-0.10975,-0.6893333,0.3580833,-0.26,-0.05,0.93,-95.84222,1000,30.08978,238
0.2,-0.1805833,-0.6483333,0.3239167,-0.13,-0.19,0.98,-99.73142,1000,63.474,238
0.25,-0.24975,-0.5695834,0.3491667,-0.11,-0.23,0.86,-106.0957,1000,97.24715,238
0.3,-0.34,-0.381,0.28875,-0.09,-0.36,0.91,-116.9954,1000,132.7467,238
0.35,-0.296,-0.2664167,0.3466667,-0.1,-0.27,0.94,-127.8109,1000,132.7467,238
0.4,-0.1839167,-0.145,0.36875,-0.22,-0.25,0.84,-137.168,1000,169.3278,238
0.45,-0.04433333,-0.1180833,0.3576667,0.02,-0.51,0.99,-130.1123,1000,169.3278,238
0.5,0.065,-0.1651667,0.381,-0.21,-0.23,0.82,-106.9481,1000,206.139,238
0.5500001,0.2118333,-0.25225,0.386,-0.27,-0.23,0.93,-76.35792,1000,206.139,238
0.6000001,0.2264167,-0.4104167,0.3830833,-0.2,-0.29,0.9700001,-59.87038,1000,237.5748,238
0.6500001,0.15475,-0.5514167,0.3508333,-0.14,-0.37,0.87,-61.80552,1000,267.3618,238
0.7000001,0.004333333,-0.6439167,0.3389167,0.13,-0.55,0.91,-75.0179,1000,267.3618,238
0.7500001,-0.1105833,-0.6755834,0.3185,-0.12,-0.29,0.94,-87.74473,1000,298.6636,238
0.8000001,-0.23375,-0.5885,0.3555833,-0.13,-0.39,0.99,-100.1911,1000,332.4827,238
0.8500002,-0.3201667,-0.4516666,0.2951667,-0.13,-0.13,0.89,-112.0967,1000,332.4827,238
