Time,Hx,Hy,Hz,Ax,Ay,Az,PID_Output,Integral,Setpoint,XY-Heading,YZ-Heading,ZX-Heading
2.249999,-0.03725,-0.16225,-0.4179167,-0.48,-0.41,1.01,-318.9158,360.2841,291,-60.87024,356.0699,248.782,185.0935
2.299999,-0.02875,-0.17475,-0.4091667,0.2,0.17,0.9700001,-407.5613,349.4825,291,-65.06989,359.6573,246.8733,184.0193
2.349999,-0.01266667,-0.1775,-0.4055833,-0.01,-0.66,1.2,-407.5613,349.4825,291,-65.06989,364.9182,246.3638,181.7888
2.399999,0.002666667,-0.1779167,-0.38475,-0.46,-0.41,0.9700001,-407.5613,349.4825,291,-65.06989,9.858711,245.1832,179.6029
2.449999,0.008500001,-0.1830833,-0.44225,0.42,0.33,1.06,900,396.1519,291,281.1413,11.65816,247.5114,178.8989
2.499999,-0.003083333,-0.1855833,-0.4026667,0.31,-0.09,1.14,-900,383.3619,291,-77.04816,368.0482,245.2557,180.4387
2.549999,0.07016667,-0.1670833,-0.4329167,0.03,-0.14,1.0,-900,383.3619,291,-77.04816,31.77998,248.896,170.7936
2.599999,0.07058334,-0.1791667,-0.39375,0.25,-0.0,0.87,900,426.3925,291,259.22,30.50214,245.5332,169.8371
2.649999,0.04683333,-0.1851667,-0.401,-0.33,-0.1,0.65,900,469.6351,291,260.4979,23.19389,245.2143,173.3385
2.699999,0.05916667,-0.1880833,-0.3976667,0.12,0.34,0.6,900,513.5483,291,264.5376,26.46237,244.6874,171.5374
2.749999,0.03,-0.1791667,-0.4030833,-0.5,-0.5,0.9700001,900,513.5483,291,264.5376,18.50554,246.0353,175.7435
2.799999,0.003916667,-0.1751667,-0.4001667,0.24,-0.41,1.22,900,558.7824,291,272.4944,10.28091,246.3594,179.4392
2.849998,-0.02041667,-0.1539167,-0.4295834,-0.2,-0.24,0.94,900,605.3818,291,280.7191,361.444,250.2878,182.721
2.899998,-0.06166667,-0.1514167,-0.4170833,-0.29,0.13,0.66,-900,596.1122,291,-55.84067,346.8407,250.0472,188.4104
2.949998,-0.0735,-0.1501667,-0.3993333,-0.01,-0.61,1.03,-900,596.1122,291,-55.84067,342.9203,249.3916,190.429
2.999998,-0.04391666,-0.13625,-0.45625,-0.42,-0.42,0.79,-60.8702,587.4935,291,-51.92029,351.1346,253.3728,185.4981
3.049998,-0.08516666,-0.1380833,-0.4304167,0.02,0.45,0.69,-60.8702,587.4935,291,-51.92029,337.3347,252.2131,191.1926
3.099998,-0.09375,-0.1401667,-0.4154167,0.23,0.4,1.12,-3.258827,579.8019,291,-46.33466,335.2235,251.355,192.7173
3.149998,-0.06625,-0.1466667,-0.40475,-0.26,-0.47,1.09,-3.258827,579.8019,291,-46.33466,344.6911,250.0813,189.2958
3.199998,-0.05141666,-0.1366667,-0.4091667,-0.29,-0.16,1.04,-3.258827,579.8019,291,-46.33466,348.3827,251.5301,187.1624
3.249998,-0.05016666,-0.1325,-0.4345833,0.25,-0.2,0.9700001,-196.0358,570.2764,291,-57.38272,348.2625,253.0441,186.5849
3.299998,-0.05016666,-0.151,-0.43375,-0.48,-0.53,0.8,-196.0358,570.2764,291,-57.38272,350.622,250.8056,186.5974
3.349998,-0.05333333,-0.1675,-0.4189167,0.13,0.36,0.79,-196.0358,570.2764,291,-57.38272,351.3381,248.2065,187.2554
3.399998,-0.04433333,-0.151,-0.3851667,0.2,-0.1,1.0,-196.5389,560.2603,291,-60.33813,352.6379,248.5929,186.566
3.449998,-0.005166667,-0.1535,-0.4325,-0.63,-0.4,0.73,-196.5389,560.2603,291,-60.33813,367.0722,250.4596,180.6844
3.499998,-0.02833333,-0.1825,-0.4393333,0.16,0.55,0.76,-196.5389,560.2603,291,-60.33813,360.1752,247.4419,183.69
3.549998,-0.01141667,-0.1820833,-0.4068333,0.06,-0.36,1.04,-320.096,548.7772,291,-69.17523,365.4122,245.8885,181.6074
3.599998,0.0,-0.1735,-0.4068333,-0.49,0.06,0.67,-320.096,548.7772,291,-69.17523,9.0,246.9035,180.0
3.649998,0.02291667,-0.1708333,-0.4055833,-0.1,-0.31,1.1,900,595.5892,291,282.0,16.64041,247.159,176.7661
3.699998,-0.0005833333,-0.1718333,-0.3985,-0.19,0.18,0.89,900,641.1329,291,274.3596,368.8055,246.6743,180.0839
3.749998,0.0175,-0.1691667,-0.3855834,0.34,0.1,0.94,900,686.9645,291,276.0938,14.90615,246.3115,177.4014
3.799998,-0.02291667,-0.17125,-0.4354167,-0.55,-0.26,0.92,900,686.9645,291,276.0938,361.378,248.5302,183.0128
3.849998,-0.03041667,-0.1530833,-0.3945833,0.55,-0.08,1.02,-900,675.2818,291,-70.37796,357.7621,248.7957,184.408
3.899998,-0.001,-0.1445833,-0.4205833,-0.23,-0.55,0.95,-311.8842,662.3996,291,-77.60373,368.6037,251.0287,180.1362
3.949997,-0.01558333,-0.1433333,-0.4375,-0.08,0.32,0.65,-311.8842,662.3996,291,-77.60373,362.7951,251.8602,182.04
3.999997,-0.02583333,-0.1630833,-0.4379167,0.23,0.33,1.01,-311.8842,662.3996,291,-77.60373,359.9988,249.5743,183.3761
4.049997,-0.03683333,-0.1485,-0.3976667,-0.51,-0.37,0.93,-162.9011,650.9458,291,-68.99881,355.0697,249.5229,185.2919
4.099998,0.005166667,-0.1575,-0.4383333,0.14,0.42,0.93,-162.9011,650.9458,291,-68.99881,10.87888,250.2359,179.3247
4.149998,-0.036,-0.17,-0.4205833,-0.41,-0.58,1.06,-162.9011,650.9458,291,-68.99881,357.0434,247.9914,184.8923
4.199998,-0.0385,-0.18475,-0.4125,0.46,0.08,0.99,-167.0947,639.9826,291,-66.04343,357.2286,245.8734,185.3322
4.249998,0.006,-0.1670833,-0.4158333,-0.21,-0.57,1.04,-167.0947,639.9826,291,-66.04343,11.05663,248.1096,179.1733
4.299998,-0.01266667,-0.1718333,-0.4354167,-0.14,-0.11,1.02,-167.0947,639.9826,291,-66.04343,364.7841,248.4638,181.6663
4.349998,-0.01558333,-0.1795833,-0.4268333,0.44,-0.16,1.06,-302.0129,627.7344,291,-73.78409,364.0406,247.1819,182.0909
4.399999,0.0225,-0.16475,-0.40875,-0.36,-0.61,1.13,-302.0129,627.7344,291,-73.78409,16.77681,248.0477,176.8493
