Time,Hx,Hy,Hz,Ax,Ay,Az,Heading,PID_Output,Integral,Setpoint
0,0.3047421,0.02948409,-0.31233,-0.04,-0.07,0.9599999,10.84207,0,0,210,0
0.01,0.3029997,0.03263528,-0.3144402,-0.04,-0.07,0.9599999,12.89123,1400,3.983159,210,199.1579
0.02,0.3219054,0.0544573,-0.2929168,-0.03,-0.05,0.94,16.09187,1400,7.925334,210,197.1088
0.03,0.306049,0.0548512,-0.308785,-0.07,0.05,0.71,17.63676,1400,11.8035,210,193.9081
0.04,0.3012572,0.06454113,-0.2834634,-0.29,-0.09,1.04,19.61834,1400,15.65076,210,192.3633
0.05,0.2787794,0.04957295,-0.3062529,-0.16,0.02,1.06,19.7787,1400,19.4584,210,190.3817
0.06,0.2918479,0.0005718804,-0.2805092,-0.16,-0.14,0.9,16.42917,1400,30.87167,210,190.2213
0.06999999,0.2517712,-0.002185414,-0.2864176,-0.3,-0.06,0.95,132.2327,1400,34.74309,210,193.5708
0.07999999,0.2461082,-0.04141778,-0.3005133,-0.38,-0.2,1.02,245.6874,0,36.29844,210,77.76733
0.08999998,0.2337367,-0.08356501,-0.3144402,-0.13,-0.17,0.98,359.0923,0,35.58469,210,-35.68736
0.09999999,0.2421877,-0.08963105,-0.3157062,-0.1,-0.27,0.89,352.4884,0,32.60284,210,-149.0923
0.11,0.2064672,-0.10326,-0.3182384,-0.11,-0.32,0.9,346.8158,0,29.75307,210,-142.4884
0.12,0.1698754,-0.1333539,-0.3178164,-0.12,-0.23,1.01,340.6626,0,27.01676,210,-136.8158
0.13,0.1376398,-0.1514732,-0.3543639,-0.11,-0.22,0.98,331.5192,0,24.40351,210,-130.6626
0.14,0.08780537,-0.1615571,-0.3054088,-0.09,-0.29,0.93,319.8841,0,21.97312,210,-121.5192
0.15,0.07952867,-0.1465889,-0.3173944,-0.12,-0.32,0.9,312.0885,0,19.77544,210,-109.8841
0.16,0.01854243,-0.1534427,-0.3324185,-0.12,-0.26,0.9700001,300.2984,0,17.73367,210,-102.0885
0.17,-0.03216327,-0.1510793,-0.3315744,-0.04,-0.26,0.99,286.7844,0,15.9277,210,-90.29843
0.18,-0.06439885,-0.1325661,-0.3239779,-0.01,-0.34,0.93,268.6541,0,14.39201,210,-76.78442
0.19,-0.02824273,-0.109326,-0.3211926,-0.12,-0.18,0.9700001,261.5291,0,13.21893,210,-58.65408
0.2,-0.1147561,-0.09672124,-0.3244,-0.11,-0.35,0.91,248.9103,0,12.18835,210,-51.52905
0.21,-0.1234684,-0.09711514,-0.3075189,-0.02,-0.19,0.93,240.276,0,11.41015,210,-38.91032
0.22,-0.1680754,-0.06268834,-0.3368076,-0.01,-0.18,0.99,221.9224,0,10.80463,210,-30.27599
0.23,-0.1746097,-0.03905439,-0.3203485,0.03,-0.17,0.94,212.7497,563.7072,10.56618,210,-11.92238
0.24,-0.1284344,0.0005718804,-0.3514097,0.11,-0.25,0.95,199.9357,379.8186,10.51118,210,-2.749741
0.25,-0.1754809,-0.0112451,-0.2007463,0.02,-0.1,0.92,194.3397,946.3841,10.71247,210,10.06435
0.26,-0.1879395,0.01829735,-0.2834634,0.11,-0.2,1.02,188.2836,958.3079,11.46001,210,21.71638
0.27,-0.166333,0.03854377,-0.296293,-0.12,-0.09,0.88,184.0197,996.7952,11.97961,210,25.98027
