Time,Hx,Hy,Hz,Ax,Ay,Az,PID_Output,Integral,Setpoint,XY-Heading,YZ-Heading,ZX-Heading
0,0.14475,-0.16625,-0.39975,-0.04,-0.15,0.94,0,0,0,0,221.0453,247.4183,160.0946
0.05,0.1555833,-0.1518333,-0.3970833,-0.03,-0.14,0.95,0,0,276,0,234.6989,249.0746,158.604
0.1,0.226,-0.1254167,-0.4476667,0.02,-0.07,0.9599999,621.1688,4.130112,276,41.30112,249.9723,254.3495,153.2135
0.15,0.12375,-0.1830833,-0.3695833,0.03,-0.18,0.98,621.1688,4.130112,276,41.30112,223.0556,243.6472,161.4876
0.2,0.08875,-0.1539167,-0.4754167,0.01,-0.19,0.93,591.43,9.42455,276,52.94438,218.9682,252.0606,169.4258
0.25,0.1189167,-0.1558333,-0.3605833,-0.06,-0.12,0.94,596.806,15.12773,276,57.03178,226.3473,246.6274,161.748
0.3,0.09458333,-0.16475,-0.4141666,0.05,-0.09,1.0,467.6685,20.093,276,49.65268,218.8602,248.308,167.136
0.35,0.07308333,-0.1683333,-0.4304167,0.04,-0.16,0.9700001,467.6685,20.093,276,49.65268,212.4685,248.6398,170.3633
0.4,0.1033333,-0.1618333,-0.421,0.07,-0.18,0.98,715.2879,26.44615,276,63.53152,221.5589,248.9731,166.2095
0.45,0.1008333,-0.1779167,-0.4418334,0.13,-0.08,1.15,715.2879,26.44615,276,63.53152,218.5422,248.0664,167.1443
0.5,0.09833334,-0.155,-0.4120833,-0.2,-0.27,0.84,557.0865,32.19193,276,57.45782,221.3914,249.3868,166.5788
0.5500001,0.09958333,-0.1614167,-0.4030833,0.11,-0.02,1.01,546.9011,37.65279,276,54.60861,220.6718,248.1761,166.1227
0.6000001,0.09666666,-0.16,-0.4239167,-0.22,-0.31,0.87,546.9011,37.65279,276,54.60861,220.139,249.3219,167.1543
0.6500001,0.1,-0.1526667,-0.43125,0.1,-0.12,1.12,582.1678,43.2389,276,55.86102,222.2257,250.5056,166.9447
0.7000001,0.111,-0.1726667,-0.4235,0.2,-0.08,1.01,582.1678,43.2389,276,55.86102,221.7352,247.8186,165.313
0.7500001,0.09708333,-0.1666667,-0.4401667,-0.0,-0.18,0.83,554.1326,48.66537,276,54.26477,219.2208,249.2611,167.562
0.8000001,0.08141666,-0.1670833,-0.446,-0.02,-0.24,0.77,602.1016,54.34329,276,56.77921,214.9791,249.4627,169.6546
0.8500002,0.07433333,-0.1691667,-0.4264167,-0.0,-0.18,0.77,602.1016,54.34329,276,56.77921,212.7211,248.3609,170.1115
0.9000002,0.08433333,-0.1575,-0.4175,0.15,0.02,0.9700001,689.5557,60.67118,276,63.27888,217.1668,249.3313,168.5801
0.9500002,0.08308333,-0.1718333,-0.3839167,-0.06,-0.36,0.99,689.5557,60.67118,276,63.27888,214.8043,245.8877,167.7889
1.0,0.08833333,-0.16225,-0.39,-0.23,-0.08,0.73,628.2575,66.79075,276,61.19571,217.5651,247.4114,167.2381
1.05,0.07808333,-0.1726667,-0.3805833,0.29,-0.02,1.1,599.599,72.63424,276,58.43492,213.3334,245.5967,168.4057
1.1,0.116,-0.1714167,-0.4370833,-0.29,-0.27,1.01,599.599,72.63424,276,58.43492,223.0868,248.5857,165.1366
1.15,0.08791667,-0.1658333,-0.4205833,0.2,-0.11,0.86,532.6942,77.92556,276,52.91324,216.9303,248.481,168.1932
1.2,0.1345833,-0.1605833,-0.4205833,-0.2,-0.37,1.01,473.9946,82.62895,276,47.03395,228.966,249.1026,162.2557
1.25,0.10125,-0.1591667,-0.3875,0.2,0.23,0.99,473.9946,82.62895,276,47.03395,221.4615,247.6695,165.3566
1.3,0.1055833,-0.17125,-0.42225,-0.33,-0.36,0.75,618.1411,88.0828,276,54.53851,220.6557,247.9242,165.9611
1.35,0.1118333,-0.1704167,-0.3980833,0.07,-0.26,1.12,618.1411,88.0828,276,54.53851,222.2743,246.8246,164.3084
1.4,0.1135,-0.1666667,-0.4329167,0.28,-0.09,1.13,570.5754,93.45538,276,53.72572,223.2549,248.944,165.3091
1.45,0.1180833,-0.1558333,-0.4129167,0.29,0.01,0.9599999,562.0403,98.72989,276,52.74513,226.1532,249.3237,164.0408
1.5,0.1295833,-0.16475,-0.3966667,-0.23,-0.16,0.82,562.0403,98.72989,276,52.74513,227.1867,247.4451,161.9088
1.55,0.10375,-0.151,-0.421,-0.34,-0.44,0.92,509.9189,103.6112,276,48.81334,223.4924,250.2686,166.156
1.6,0.1189167,-0.1630833,-0.4166667,-0.16,-0.44,1.13,509.9189,103.6112,276,48.81334,225.0987,248.6246,164.0712
