Time,Hx,Hy,Hz,Ax,Ay,Az,Heading,PID_Output,Integral,Setpoint
0,0.245,0.1601667,0.5935,0.07,-0.14,0.95,11.0581,0,0,0
0.05,0.2468333,0.1493333,0.5991667,0.03,-0.05,0.94,21.44937,0,0,0
0.1,0.42,0.1708333,0.6993333,0.14,-0.18,1.04,28.82731,0,-2.144937,0
0.15,0.41375,0.161,0.61475,0.17,-0.17,1.06,24.85661,0,-2.144937,0
0.2,0.3708333,0.1229167,0.56125,0.07,-0.09,0.9700001,20.57812,0,-4.630597,0
0.25,0.3433333,0.1168333,0.5808333,0.09,-0.09,1.02,19.46451,0,-6.688409,0
0.3,0.375,0.1143333,0.5804167,0.07,-0.21,0.94,18.02907,0,-6.688409,0
0.35,0.39975,0.1358333,0.5995833,-0.03,-0.22,0.82,18.17214,0,-8.491316,0
0.4,0.3255833,0.1389167,0.5705833,0.15,-0.09,0.92,19.60997,0,-10.30853,0
0.45,0.345,0.14375,0.5939167,-0.05,-0.04,1.04,21.49796,0,-10.30853,0
0.5,0.32725,0.14225,0.5905833,0.23,-0.19,0.83,23.07337,0,-12.45833,0
0.5500001,0.3379167,0.16875,0.5754167,-0.1,-0.24,0.89,24.2168,0,-14.88001,0
0.6000001,0.3293333,0.1666667,0.6020833,-0.05,-0.12,1.18,25.62443,0,-14.88001,0
0.6500001,0.30875,0.1429167,0.596,0.03,0.01,1.25,26.07279,0,-17.44245,0
0.7000001,0.3214167,0.1579167,0.58725,-0.17,-0.33,0.87,25.94905,0,-17.44245,0
0.7500001,0.27875,0.1626667,0.5758333,0.02,-0.27,0.64,27.09014,0,-20.03735,0
0.8000001,0.2468333,0.1714167,0.60725,0.41,-0.04,0.83,30.40338,0,-23.07769,0
0.8500002,0.2391667,0.16475,0.57225,-0.02,0.04,1.21,33.20186,0,-23.07769,0
0.9000002,0.26225,0.1804167,0.5633333,-0.06,-0.28,0.77,34.62195,0,-26.39788,0
0.9500002,0.2108333,0.1779167,0.591,0.33,0.14,1.06,36.41581,0,-26.39788,0
1.0,0.2264167,0.1904167,0.5541667,-0.23,-0.39,0.83,38.2501,0,-30.03946,0
1.05,0.216,0.20725,0.60725,0.03,0.06,1.32,41.34655,0,-30.03946,0
1.1,0.2033333,0.1955833,0.6126667,0.45,0.14,0.91,42.58885,0,-34.17411,0
1.15,0.2045833,0.1876667,0.5791667,-0.38,-0.21,0.67,43.41107,0,-38.433,0
1.2,0.21725,0.2145833,0.57475,-0.2,-0.19,1.12,43.68791,0,-38.433,0
1.25,0.22875,0.206,0.5641666,0.38,-0.04,1.13,43.06041,0,-42.80179,0
1.3,0.1966667,0.2068333,0.58125,0.47,0.09,1.04,44.36467,0,-42.80179,0
1.35,0.2020833,0.1943333,0.5833333,0.43,0.15,0.84,44.10928,0,-47.23825,0
1.4,0.2118333,0.1941667,0.6054167,0.31,-0.03,1.26,44.27724,0,-51.64918,0
1.45,0.2395833,0.19975,0.5939167,0.22,-0.23,1.35,42.06923,0,-51.64918,0
1.5,0.24375,0.2045833,0.5918334,0.19,-0.29,1.23,40.77832,0,-55.85611,0
1.55,0.2493333,0.2116667,0.5735,-0.27,-0.21,1.08,40.05183,0,-55.85611,0
1.6,0.2185,0.1920833,0.5476666,-0.46,-0.23,1.15,40.55164,0,-59.86129,0
1.65,0.21975,0.1808333,0.5539167,-0.34,-0.12,1.21,40.36625,0,-63.91645,0
1.699999,0.2226667,0.1895833,0.5918334,-0.28,-0.47,0.86,40.39388,0,-63.91645,0
1.749999,0.24,0.1976667,0.6135,0.08,0.08,0.56,39.77939,0,-67.95584,0
1.799999,0.2458333,0.1880833,0.5664167,0.51,0.01,1.21,39.10203,0,-71.86604,0
1.849999,0.2058333,0.1764167,0.5951667,-0.33,-0.37,1.03,39.16456,0,-71.86604,0
1.899999,0.23625,0.1864167,0.5770833,-0.22,0.01,0.68,38.76472,0,-75.7825,0
1.949999,0.2280833,0.1839167,0.56975,0.6,0.04,1.09,39.25212,0,-75.7825,0
1.999999,0.2308333,0.1708333,0.571,-0.4,-0.31,1.16,37.88702,0,-79.70771,0
2.049999,0.2589167,0.1825,0.5451667,0.19,0.04,0.65,36.8546,0,-79.70771,0
2.099999,0.2118333,0.1691667,0.6420834,-0.28,-0.53,0.71,36.76429,0,-83.39317,0
2.149999,0.2670834,0.1943333,0.5676666,0.44,0.19,1.06,36.60963,0,-87.0696,0
2.199999,0.2325,0.1795833,0.6151667,-0.32,-0.44,1.02,37.44432,0,-87.0696,0
2.249999,0.2518333,0.1804167,0.5633333,0.37,-0.03,0.91,36.44699,0,-90.81403,0
2.299999,0.24,0.1579167,0.56125,-0.34,-0.25,1.11,35.5484,0,-90.81403,0
2.349999,0.2489167,0.186,0.5451667,0.43,0.23,0.81,35.24371,0,-94.36887,0
2.399999,0.2295833,0.1779167,0.5970833,-0.3,-0.41,1.16,35.9623,0,-97.89324,0
2.449999,0.25475,0.1855833,0.546,0.39,0.38,0.91,36.87186,0,-97.89324,0
2.499999,0.2804167,0.1880833,0.5885,-0.31,-0.57,0.85,35.89932,0,-101.5804,0
2.549999,0.2375,0.1908333,0.58375,0.43,0.08,1.22,36.23536,0,-101.5804,0
2.599999,0.2425,0.2058333,0.5416667,-0.28,0.12,0.91,37.65252,0,-105.204,0
2.649999,0.2243333,0.2033333,0.5930833,-0.01,-0.08,1.13,40.43184,0,-108.9692,0
2.699999,0.2358333,0.1916667,0.5608334,0.45,0.31,0.74,40.53827,0,-108.9692,0
2.749999,0.25725,0.2105833,0.5689167,-0.28,-0.56,0.88,40.19795,0,-113.023,0
2.799999,0.24,0.19375,0.5893333,0.05,-0.64,1.13,39.10622,0,-117.0428,0
2.849998,0.2276667,0.2029167,0.5970833,0.47,0.03,1.07,39.97581,0,-117.0428,0
2.899998,0.2729167,0.2004167,0.586,-0.15,-0.02,0.85,38.97188,0,-121.0404,0
2.949998,0.2304167,0.1775,0.57875,-0.29,-0.65,1.24,38.53687,0,-124.8941,0
2.999998,0.221,0.1880833,0.5625,0.22,0.32,1.2,38.1,0,-124.8941,0
3.049998,0.2420833,0.196,0.5633333,0.1,0.41,0.55,39.00107,0,-128.7041,0
3.099998,0.2514167,0.1779167,0.5979167,-0.37,-0.26,0.75,38.22666,0,-128.7041,0
3.149998,0.22875,0.1808333,0.5975,0.2,-0.27,1.09,37.5359,0,-132.5268,0
3.199998,0.2530833,0.1714167,0.5595833,0.41,0.17,0.78,35.90768,0,-136.1175,0
3.249998,0.2383333,0.18875,0.57225,-0.18,-0.16,0.77,36.93847,0,-136.1175,0
3.299998,0.2695833,0.1743333,0.5880833,-0.31,-0.79,1.15,35.12596,0,-139.8114,0
3.349998,0.2468333,0.1714167,0.5901667,0.47,-0.33,1.28,35.34871,0,-139.8114,0
3.399998,0.2135,0.18125,0.5751667,0.33,0.29,1.0,35.99928,0,-143.3463,0
3.449998,0.23375,0.1658333,0.5676666,-0.3,-0.12,0.9,36.82057,0,-143.3463,0
3.499998,0.2830833,0.2033333,0.5680833,-0.05,-0.02,0.73,37.12404,0,-147.0283,0
3.549998,0.2551667,0.1726667,0.58975,-0.37,-0.76,0.98,35.04272,0,-150.7407,0
3.599998,0.25475,0.1876667,0.57625,0.3,-0.62,1.33,35.38414,0,-150.7407,0
3.649998,0.24375,0.1985,0.54475,0.52,0.05,1.17,36.54047,0,-154.2791,0
3.699998,0.2445833,0.2054167,0.5664167,0.06,0.03,0.82,38.52053,0,-158.1312,0
3.749998,0.246,0.2058333,0.5655833,-0.11,-0.35,0.75,39.70119,0,-158.1312,0
3.799998,0.2416667,0.17475,0.58,-0.28,-0.77,1.18,38.60547,0,-162.1013,0
3.849998,0.2476667,0.1775,0.56725,0.2,-0.48,1.35,37.13983,0,-162.1013,0
3.899998,0.2316667,0.1816667,0.5420833,0.41,-0.07,1.13,36.53405,0,-165.8153,0
3.949997,0.24975,0.18875,0.5783333,0.25,0.08,0.86,36.93723,0,-165.8153,0
3.999997,0.2514167,0.1908333,0.55225,-0.15,-0.34,0.76,37.46087,0,-169.509,0
4.049997,0.2564167,0.18475,0.5730834,-0.29,-0.78,1.16,36.68435,0,-173.2551,0
4.099998,0.221,0.1941667,0.6076667,0.09,-0.55,1.33,38.09155,0,-173.2551,0
4.149998,0.2180833,0.1683333,0.5735,-0.21,-0.48,1.04,38.24622,0,-177.0643,0
4.199998,0.2325,0.196,0.585,0.15,-0.26,1.02,39.69896,0,-177.0643,0
4.249998,0.2420833,0.1816667,0.5668333,0.43,0.19,0.88,38.22687,0,-181.0341,0
4.299998,0.2420833,0.1816667,0.5554166,0.23,0.38,0.54,37.96753,0,-184.8568,0
4.349998,0.25975,0.2008333,0.5893333,-0.13,0.1,0.62,37.1606,0,-184.8568,0
4.399999,0.2404167,0.1795833,0.5889167,-0.39,-0.06,0.92,37.11821,0,-188.5729,0
4.449999,0.2408333,0.1830833,0.58125,-0.16,-0.24,1.11,37.23711,0,-188.5729,0
4.499999,0.2235,0.1751667,0.5751667,0.21,0.26,1.16,37.36274,0,-192.2966,0
4.549999,0.2345833,0.1779167,0.56125,0.41,0.58,0.78,37.50258,0,-196.0329,0
4.599999,0.25225,0.1718333,0.5629167,0.26,0.54,0.62,36.50938,0,-196.0329,0
4.65,0.2695833,0.19475,0.5514167,-0.35,-0.23,0.74,35.76186,0,-199.6838,0
4.7,0.2576667,0.2068333,0.56975,-0.43,-0.61,1.02,36.28738,0,-199.6838,0
4.75,0.235,0.16475,0.6139167,-0.07,-0.4,1.26,36.54408,0,-203.3126,0
4.8,0.2555833,0.1614167,0.59475,0.2,0.4,1.24,35.35415,0,-206.967,0
4.85,0.2489167,0.1916667,0.58725,0.28,-0.53,1.26,34.96807,0,-206.967,0
4.900001,0.2316667,0.1768333,0.5779167,0.56,-0.14,1.1,35.74205,0,-210.4638,0
4.950001,0.24725,0.1964167,0.5493333,0.55,0.45,0.8,37.80501,0,-210.4638,0
