x,y,z,heading1,heading2,heading3
0.2514167,-0.04975,0.3776667,101.193,-7.504361,56.34787,0.7999995
0.2420833,-0.04083333,0.3708333,99.57422,-6.283659,56.86314,0.8099996
0.2489167,-0.05291667,0.3725,102.0017,-8.085235,56.24786,0.8199995
0.2476667,-0.0485,0.3576667,101.0799,-7.72227,55.29929,0.8299995
0.2514167,-0.071,0.3754167,105.7697,-10.70947,56.18976,0.8399995
0.2404167,-0.07458334,0.36625,107.2352,-11.51035,56.71799,0.8499995
0.2404167,-0.07916666,0.3741667,108.2262,-11.94653,57.27767,0.8599995
0.2341667,-0.07833333,0.3618333,108.4961,-12.21546,57.09037,0.8699995
0.2291667,-0.08558333,0.3716667,110.4784,-12.9674,58.34235,0.8799994
0.2304167,-0.07916666,0.3589167,108.9617,-12.43863,57.30042,0.8899995
0.2358333,-0.096,0.3666667,112.1496,-14.67175,57.25161,0.8999994
0.2445833,-0.09708333,0.37375,111.6498,-14.56105,56.79911,0.9099995
0.2433333,-0.09833334,0.3729167,112.0041,-14.77192,56.87499,0.9199994
0.23625,-0.10125,0.3666667,113.1986,-15.43676,57.20558,0.9299994
0.2383333,-0.09708333,0.36625,112.1632,-14.84618,56.94636,0.9399994
0.2243333,-0.1116667,0.356,116.4628,-17.4151,57.78292,0.9499994
0.2243333,-0.116,0.3593333,117.3429,-17.89112,58.02329,0.9599994
0.2180833,-0.106,0.36875,115.9222,-16.0377,59.3994,0.9699994
0.226,-0.1016667,0.3651667,114.2207,-15.55782,58.24682,0.9799994
0.21225,-0.116,0.3725,118.6577,-17.29708,60.32557,0.9899994
0.21225,-0.11125,0.3745833,117.6611,-16.54124,60.46283,0.9999993
0.211,-0.10725,0.3666667,116.944,-16.3042,60.08153,1.009999
0.2025,-0.1120833,0.3870833,118.9644,-16.14883,62.38399,1.019999
0.19625,-0.1104167,0.3835,119.3635,-16.06208,62.89962,1.029999
0.1926667,-0.1133333,0.3916667,120.4655,-16.13842,63.80674,1.039999
0.19375,-0.11475,0.3729167,120.6365,-17.10363,62.54573,1.049999
0.1591667,-0.1280833,0.37125,128.8241,-19.03472,66.79365,1.059999
0.1658333,-0.1220833,0.3793334,126.3598,-17.84007,66.38647,1.069999
0.1568333,-0.1276667,0.3908334,129.1465,-18.08975,68.13542,1.079999
0.14225,-0.1151667,0.37625,128.9939,-17.01887,69.28974,1.089999
0.1279167,-0.1314167,0.3925,135.7732,-18.51155,71.94909,1.099999
0.105,-0.1666667,0.3864167,147.7891,-23.33118,74.79821,1.109999
0.10725,-0.1543333,0.3843333,145.2036,-21.87848,74.408,1.119999
0.086,-0.1570833,0.3830833,151.3002,-22.29608,77.3472,1.129999
0.06625,-0.1479167,0.38225,155.873,-21.1546,80.1674,1.139999
0.05583333,-0.1670833,0.3954167,161.5222,-22.90649,81.96289,1.149999
0.03641667,-0.1764167,0.3716667,168.3366,-25.39199,84.4039,1.159999
0.03558333,-0.17475,0.3725,168.4905,-25.13256,84.54333,1.169999
0.016,-0.186,0.3626667,175.0834,-27.15182,87.47388,1.179999
