Time,Hx,Hy,Hz,Ax,Ay,Az,Heading,PID_Output,Integral,Setpoint
0,0.12875,-0.1764167,0.3254167,-0.04,-0.11,0.9599999,102.0407,0,0,0,0
0.05,0.186,-0.13375,0.27975,-0.0,0.03,1.15,210.1343,0,0,148,0
0.1,0.08725,-0.1829167,0.341,-0.03,-0.09,1.12,308.6346,0,-6.213428,148,-62.13428
0.15,0.23,-0.16625,0.3266666,0.04,-0.04,0.95,314.6404,0,-6.213428,148,-62.13428
0.2,0.1608333,-0.1783333,0.33475,0.15,-0.07,1.0,310.5623,0,-22.87746,148,-166.6404
0.25,0.1501667,-0.1770833,0.3670833,0.02,-0.18,0.84,315.4946,0,-39.13369,148,-162.5623
0.3,0.1404167,-0.18475,0.3741667,-0.22,-0.02,1.09,309.8601,0,-55.88316,148,-167.4946
0.35,0.1616667,-0.1933333,0.3389167,0.11,0.03,0.74,309.1455,0,-55.88316,148,-167.4946
0.4,0.2114167,-0.1864167,0.3058333,-0.26,-0.59,1.07,311.9115,0,-71.99771,148,-161.1455
0.45,0.205,-0.2033333,0.3045833,-0.23,-0.63,1.06,314.5774,0,-71.99771,148,-161.1455
0.5,0.2020833,-0.2,0.3201667,-0.26,-0.62,0.95,316.3755,0,-88.65545,148,-166.5774
0.5500001,0.16875,-0.2089167,0.2985,-0.02,0.35,0.81,313.1533,0,-105.493,148,-168.3755
0.6000001,0.1780833,-0.2076667,0.32625,-0.36,-0.53,0.85,311.6135,0,-105.493,148,-168.3755
0.6500001,0.175,-0.2008333,0.3104167,0.28,0.22,1.08,310.2039,0,-121.8544,148,-163.6135
0.7000001,0.1975,-0.1891667,0.3295834,0.02,0.03,0.83,312.639,0,-121.8544,148,-163.6135
0.7500001,0.1855833,-0.2025,0.3108333,-0.28,-0.98,0.91,313.2688,0,-138.3183,148,-164.639
0.8000001,0.1679167,-0.206,0.3205833,-0.22,-0.98,1.16,312.6411,0,-154.8451,148,-165.2688
0.8500002,0.135,-0.2085,0.3443333,-0.11,-1.34,1.32,308.2036,0,-154.8451,148,-165.2688
0.9000002,0.17975,-0.19475,0.3333333,-0.13,-1.65,1.14,308.2711,0,-170.8655,148,-160.2036
