Time,Hx,Hy,Hz,Ax,Ay,Az,PID_Output,Integral,Setpoint,XY-Heading,YZ-Heading,ZX-Heading
0,-0.1020833,-0.08349999,-0.4451667,-0.01,-0.13,0.9599999,0,0,267,0,138.2818,259.3765,192.9155
0.05,-0.09958333,-0.10475,-0.4280833,-0.03,-0.19,0.99,0,0,267,0,145.4484,256.2502,193.0956
0.1,-0.1135,-0.08183333,-0.3830833,-0.1,-0.11,0.94,1000,12.15516,267,121.5516,134.7915,257.9419,196.5035
0.15,-0.16125,-0.04083333,-0.43,-0.2,-0.1,0.94,1000,12.15516,267,121.5516,113.2103,264.5754,200.556
0.2,-0.17725,0.02308333,-0.3643333,-0.11,-0.29,0.94,1000,27.53413,267,153.7897,91.58011,273.6253,205.9432
0.25,-0.14475,0.18,-0.3839167,-0.01,-0.42,0.91,1000,45.07612,267,175.4199,47.80508,295.1196,200.6582
0.3,0.003916667,0.2504167,-0.345,-0.15,-0.24,0.98,1000,66.99561,267,219.1949,8.103928,305.9738,179.3496
0.35,0.1008333,0.2768333,-0.35375,-0.03,-0.43,0.92,1000,66.99561,267,219.1949,-11.01357,308.0456,164.0903
0.4,0.216,0.2129167,-0.3258333,0.0,-0.43,0.83,1000,94.79697,267,278.0136,-36.41188,303.1627,146.459
0.45,0.2720833,0.1264167,-0.34225,-0.08,-0.27,0.86,1000,94.79697,267,278.0136,-56.07925,290.2727,141.5159
0.5,0.2733333,-0.03558333,-0.356,-0.04,-0.54,0.98,1000,127.1049,267,323.0793,271.5828,264.2921,142.4833
0.5500001,0.2029167,-0.1289167,-0.38875,-0.16,-0.18,0.9,0,126.6466,267,-4.582794,246.5715,251.6535,152.4367
0.6000001,0.1033333,-0.17,-0.4129167,0.09,-0.57,0.9599999,0,126.6466,267,-4.582794,220.293,247.6228,165.9501
0.6500001,0.0005833333,-0.1739167,-0.4145833,0.01,-0.09,1.05,867.2972,131.3173,267,46.70697,189.1922,247.2421,179.9194
0.7000001,-0.05791667,-0.11375,-0.4439167,-0.1,-0.15,0.82,867.2972,131.3173,267,46.70697,162.0168,255.6277,187.4333
0.7500001,-0.135,-0.08225,-0.4076666,0.03,-0.37,1.05,1000,141.8156,267,104.9832,130.3522,258.5933,198.3224
0.8000001,-0.18725,-0.016,-0.435,-0.03,-0.23,1.05,1000,155.4804,267,136.6478,103.8839,267.8935,203.2899
0.8500002,-0.1405833,0.0775,-0.3980833,-0.19,-0.13,0.94,1000,155.4804,267,136.6478,70.13318,281.0167,199.4507
0.9000002,-0.13875,0.1501667,-0.3679167,-0.12,-0.08,1.02,1000,175.1671,267,196.8668,51.73711,292.203,200.6626
0.9500002,-0.09291667,0.21375,-0.3754167,0.08,-0.46,0.9599999,1000,175.1671,267,196.8668,32.49448,299.6558,193.9015
1.0,-0.01225,0.2704167,-0.3793334,-0.07,-0.2,0.85,1000,198.6176,267,234.5055,11.59375,305.4841,181.8496
1.05,0.1155833,0.2680833,-0.3585,-0.15,-0.26,0.98,1000,224.1583,267,255.4063,-14.32315,306.7888,162.1302
1.1,0.1633333,0.24225,-0.3533333,0.06,-0.47,1.01,1000,224.1583,267,255.4063,-24.98921,304.4351,155.1906
1.15,0.2325,0.1683333,-0.3525,-0.13,-0.1,0.95,1000,253.3572,267,291.9892,-45.09492,295.5264,146.5922
1.2,0.2758333,0.06333333,-0.3520833,-0.04,-0.38,0.94,1000,286.864,267,335.0686,-68.06861,280.1974,141.9237
1.25,0.24725,-0.0425,-0.3768333,0.02,-0.5,1.08,1000,286.864,267,335.0686,269.2467,263.5653,146.7301
1.3,0.2283333,-0.1120833,-0.3993333,-0.14,-0.04,0.82,0,286.6394,267,-2.246704,252.8547,254.3218,150.2397
1.35,0.1205833,-0.1675,-0.426,-0.02,-0.41,0.92,0,286.6394,267,-2.246704,224.7501,248.5356,164.1953
1.4,0.03766667,-0.1908333,-0.4030833,0.11,-0.37,1.15,807.4975,290.8643,267,42.24988,200.1655,244.6655,174.6614
1.45,-0.02125,-0.1501667,-0.4129167,-0.16,-0.5,1.01,1000,297.5478,267,66.83447,180.9456,250.015,182.946
1.5,-0.1041667,-0.09041667,-0.4214167,-0.26,0.03,0.74,1000,297.5478,267,66.83447,139.958,257.8906,193.8842
1.55,-0.1675,-0.02808333,-0.426,0.01,-0.46,0.77,1000,310.252,267,127.042,108.5178,266.2283,201.4644
1.6,-0.1645833,0.04766666,-0.3891666,0.15,-0.41,1.08,1000,310.252,267,127.042,82.84792,276.983,202.9241
1.65,-0.1405833,0.1333333,-0.3643333,0.13,0.04,1.15,1000,328.6672,267,184.1521,55.51613,290.1009,201.0999
1.699999,-0.09375,0.19475,-0.3729167,-0.01,0.12,1.04,1000,349.8156,267,211.4839,34.70553,297.5751,194.1115
1.749999,-0.0005833333,0.24875,-0.3470833,-0.15,0.05,0.88,1000,349.8156,267,211.4839,9.134354,305.6287,180.0963
1.799999,0.08183333,0.2583333,-0.36625,-0.25,-0.24,0.77,1000,375.6021,267,257.8657,-8.576866,305.1971,167.405
1.849999,0.1625,0.2535,-0.3533333,-0.27,-0.2,0.71,1000,375.6021,267,257.8657,-23.66091,305.6577,155.302
1.899999,0.2164167,0.1808333,-0.3835,-0.27,-0.31,0.71,1000,404.6682,267,290.6609,-41.11856,295.2455,150.5631
1.949999,0.2951667,0.05708333,-0.36225,-0.12,0.0,0.89,1000,435.4801,267,308.1186,-70.05449,278.955,140.8263
1.999999,0.2804167,-0.02208333,-0.3666667,-0.12,0.17,0.94,1000,469.1855,267,337.0545,274.4971,266.5534,142.5922
2.049999,0.2291667,-0.08708333,-0.3895833,-0.07,0.08,1.09,1000,469.1855,267,337.0545,258.1932,257.3998,149.5344
2.099999,0.18725,-0.1433333,-0.3855834,0.06,-0.29,1.2,0,470.0662,267,8.806793,241.5672,249.6083,154.0975
2.149999,0.09625,-0.1951667,-0.4205833,-0.1,-0.61,1.04,0,470.0662,267,8.806793,215.251,245.1069,167.1099
2.199999,0.01516667,-0.1666667,-0.415,-0.22,-0.68,0.77,989.5574,475.2411,267,51.74896,194.1996,248.1193,177.907
2.249999,-0.07058334,-0.14375,-0.4243333,0.2,-0.54,0.79,1000,482.5211,267,72.80042,162.8483,251.2853,189.4441
2.299999,-0.09166667,-0.1043333,-0.4095833,-0.14,-0.56,1.11,1000,482.5211,267,72.80042,147.6976,255.709,192.6152
2.349999,-0.156,-0.05291667,-0.4255833,-0.04,-0.63,0.84,1000,494.4514,267,119.3024,117.7374,262.9123,200.1307
2.399999,-0.1576667,0.04725,-0.4035,-0.23,-0.06,0.88,1000,494.4514,267,119.3024,82.31743,276.679,201.343
2.449999,-0.1830833,0.1076667,-0.3745833,-0.11,0.01,0.94,1000,512.9196,267,184.6826,68.54129,286.0363,206.0478
2.499999,-0.116,0.1885,-0.375,0.26,-0.17,1.17,1000,532.7655,267,198.4587,40.6075,296.6872,197.1886
2.549999,-0.06541667,0.2414167,-0.3954167,-0.04,-0.47,1.1,1000,532.7655,267,198.4587,24.16135,301.4056,189.3938
2.599999,0.01791667,0.2655833,-0.34875,-0.15,-0.56,0.68,1000,557.0494,267,242.8387,5.140579,307.2903,177.0591
2.649999,0.11225,0.2518333,-0.3329167,0.04,-0.08,0.63,1000,557.0494,267,242.8387,-15.02404,307.1055,161.3674
2.699999,0.1975,0.2125,-0.3033333,-0.04,-0.06,1.16,1000,585.2518,267,282.024,-33.90475,305.0132,146.9319
2.749999,0.2725,0.1575,-0.36225,-0.15,-0.39,1.16,1000,615.3422,267,300.9048,-50.97288,293.4986,143.0479
2.799999,0.2683333,0.03641667,-0.37,0.27,-0.31,0.86,1000,615.3422,267,300.9048,-73.27136,275.6212,144.0494
2.849998,0.2605834,-0.03375,-0.3716667,-0.22,0.03,1.17,1000,649.3694,267,340.2714,271.6203,264.8114,144.9649
2.899998,0.2255833,-0.12,-0.3933333,-0.12,-0.73,0.83,0,648.9073,267,-4.6203,250.9891,253.0339,150.165
2.949998,0.12875,-0.16,-0.43875,-0.05,-0.22,0.66,0,648.9073,267,-4.6203,227.8232,249.9645,163.6458
2.999998,0.02375,-0.176,-0.43975,0.05,-0.03,1.25,810.0364,652.825,267,39.17679,196.6852,248.1874,176.9086
3.049998,-0.05058333,-0.1658333,-0.4435,-0.17,-0.26,1.06,810.0364,652.825,267,39.17679,172.037,249.4983,186.5068
