Time,Hx,Hy,Hz,Ax,Ay,Az,Heading,PID_Output,Integral,Setpoint
0,0.046,-0.1635,0.5591667,-0.02,-0.16,0.95,95.23791,0,0,270,0
0.05,0.03933333,-0.1583333,0.5676666,-0.02,-0.16,0.88,189.8883,0,0,270,0
0.1,0.07933333,-0.1695833,0.6076667,-0.31,0.01,0.85,288.2452,1500,8.011174,270,80.11174
0.15,0.07641666,-0.211,0.5476666,-0.21,-0.13,0.94,289.6435,1500,8.011174,270,80.11174
0.2,0.17975,-0.1916667,0.5608334,0.02,-0.21,0.88,299.3806,0,6.046828,270,-19.64346
0.25,0.15725,-0.256,0.6130834,0.0,-0.13,1.17,301.5439,0,3.108769,270,-29.38058
0.3,0.1576667,-0.2833333,0.5705833,0.18,-0.11,0.78,304.6059,0,-0.04561615,270,-31.54385
0.35,0.1591667,-0.3066667,0.6080833,-0.03,-0.22,0.7,299.3619,0,-0.04561615,270,-31.54385
0.4,0.1551667,-0.3166667,0.5545833,0.02,-0.27,0.81,297.5433,0,-2.981804,270,-29.36188
0.45,0.16125,-0.336,0.5783333,0.29,0.01,0.75,296.3907,0,-2.981804,270,-29.36188
0.5,0.1835,-0.3291667,0.5693333,-0.06,-0.3,1.27,296.96,0,-5.62087,270,-26.39066
0.5500001,0.186,-0.35975,0.5833333,0.23,-0.06,0.84,297.3717,0,-8.316869,270,-26.95999
0.6000001,0.1780833,-0.33875,0.5751667,0.28,-0.05,0.73,298.0699,0,-8.316869,270,-26.95999
0.6500001,0.1591667,-0.356,0.5914166,-0.02,-0.01,0.65,296.3869,0,-11.12385,270,-28.06985
0.7000001,0.1991667,-0.3668333,0.55225,-0.07,0.17,0.64,296.7732,0,-11.12385,270,-28.06985
0.7500001,0.1780833,-0.3604167,0.5820833,0.31,0.07,1.01,296.2942,0,-13.80117,270,-26.77319
0.8000001,0.17725,-0.37725,0.5754167,0.22,0.04,1.06,296.6532,0,-16.43059,270,-26.29416
0.8500002,0.2291667,-0.36125,0.5579166,-0.4,-0.66,0.94,297.9502,0,-16.43059,270,-26.29416
0.9000002,0.1633333,-0.3733333,0.5991667,0.24,0.37,0.84,297.0619,0,-19.22561,270,-27.95016
0.9500002,0.186,-0.39625,0.5975,-0.39,-0.44,0.84,297.0549,0,-19.22561,270,-27.95016
1.0,0.19225,-0.395,0.5726666,0.29,0.03,1.17,294.9091,0,-21.9311,270,-27.0549
1.05,0.1918333,-0.3883333,0.5629167,-0.3,-0.1,0.86,295.7957,0,-24.42201,270,-24.90915
1.1,0.2164167,-0.3616667,0.5825,-0.36,-1.02,1.03,297.7124,0,-24.42201,270,-24.90915
1.15,0.216,-0.37375,0.59475,0.03,-0.62,1.45,299.0698,0,-27.19326,270,-27.71243
1.2,0.20125,-0.3701667,0.5893333,-0.35,-0.39,0.91,299.8174,0,-27.19326,270,-27.71243
1.25,0.18725,-0.4,0.5943334,-0.32,-0.22,0.99,297.8806,0,-30.175,270,-29.81741
1.3,0.1755833,-0.3829167,0.59875,-0.37,-0.7,1.04,296.0835,0,-32.96306,270,-27.88065
1.35,0.1876667,-0.3805833,0.6076667,-0.33,-1.19,1.03,295.3223,0,-32.96306,270,-27.88065
1.4,0.2205833,-0.4,0.5539167,-0.35,-1.29,0.52,296.5854,0,-35.49529,270,-25.3223
1.45,0.1918333,-0.36975,0.6114166,-0.31,0.21,0.51,297.5147,0,-35.49529,270,-25.3223
1.5,0.2143333,-0.38225,0.54475,0.3,0.36,0.88,298.5254,0,-38.24676,270,-27.51468
1.55,0.19625,-0.391,0.5583333,0.19,0.25,1.21,297.7847,0,-41.0993,270,-28.52536
1.6,0.1789167,-0.37375,0.5983334,-0.17,-0.77,1.4,297.1712,0,-41.0993,270,-28.52536
1.65,0.195,-0.38375,0.5816667,-0.31,-0.35,0.43,296.3902,0,-43.81642,270,-27.17123
1.699999,0.2033333,-0.38225,0.5575,0.36,1.05,1.08,296.8427,0,-43.81642,270,-27.17123
1.749999,0.1855833,-0.3918333,0.5943334,-0.17,-0.54,1.34,296.7636,0,-46.50069,270,-26.84268
1.799999,0.2255833,-0.3905833,0.5468333,0.29,0.45,0.88,297.7875,0,-49.17706,270,-26.76364
1.849999,0.16375,-0.3664167,0.5885,-0.26,-0.85,1.28,296.4773,0,-49.17706,270,-26.76364
1.899999,0.1918333,-0.3658333,0.5595833,0.11,0.83,0.35,297.2533,0,-51.82479,270,-26.47733
1.949999,0.17125,-0.385,0.5705833,-0.13,-0.7,1.55,295.2436,0,-54.34914,270,-25.24356
1.999999,0.1805833,-0.3543334,0.5918334,0.38,0.64,0.67,296.2188,0,-54.34914,270,-25.24356
2.049999,0.1864167,-0.3645833,0.5743333,-0.36,-0.81,0.84,296.0221,0,-56.97102,270,-26.21878
2.099999,0.1768333,-0.3508333,0.5889167,0.27,0.59,0.79,296.9455,0,-56.97102,270,-26.21878
