x,y,z,heading1,heading2,heading3
-0.1496053,-0.01778383,-0.4465344,263.221,182.2807,251.4773,0.7999995
-0.1474272,-0.02920691,-0.4663697,258.7942,183.5835,252.4574,0.8099996
-0.1728672,-0.01557799,-0.4663697,264.8507,181.9131,249.662,0.8199995
-0.134533,-0.003761012,-0.4697459,268.3987,180.4587,254.0185,0.8299995
-0.1513478,0.02333926,-0.4613053,278.7665,177.1036,251.8361,0.8399995
-0.1539615,0.02452096,-0.4543841,279.0493,176.911,251.2818,0.8499995
-0.1628481,0.02909019,-0.4435802,280.1281,176.2479,249.8407,0.8599995
-0.1535259,0.03673183,-0.4646816,283.4554,175.4803,251.717,0.8699995
-0.1423741,0.05918408,-0.4705899,292.5724,172.8318,253.1671,0.8799994
-0.1526546,0.06454113,-0.4646816,292.9182,172.0926,251.8139,0.8899995
-0.1478629,0.06375332,-0.4655256,293.324,172.2019,252.3788,0.8999994
-0.1393248,0.07281301,-0.4494886,297.5922,170.7985,252.7785,0.9099995
-0.1435067,0.08266048,-0.4478005,299.9421,169.5414,252.2309,0.9199994
-0.138018,0.0759642,-0.4629935,298.8281,170.6824,253.4007,0.9299994
-0.1419385,0.08045465,-0.4617274,299.5458,170.1156,252.9122,0.9399994
-0.1388892,0.09565917,-0.4613053,304.5569,168.2848,253.2441,0.9499994
-0.1371467,0.1009374,-0.4625714,306.3524,167.6905,253.4856,0.9599994
-0.1362755,0.1084215,-0.4560722,308.506,166.6274,253.3637,0.9699994
-0.1496053,0.1051127,-0.4427362,305.0919,166.6443,251.3293,0.9799994
-0.1570108,0.1074761,-0.452696,304.3922,166.6445,250.8717,0.9899994
-0.1552683,0.115748,-0.4510079,306.7035,165.6061,251.003,0.9999993
-0.1509122,0.1115727,-0.4518519,306.4763,166.1298,251.5314,1.009999
-0.1650261,0.1099971,-0.4349709,303.6852,165.8083,249.2235,1.019999
-0.1570108,0.1084215,-0.4621494,304.6264,166.797,251.2353,1.029999
-0.1600601,0.1051127,-0.4659477,303.2932,167.2875,251.0416,1.039999
-0.1879395,0.103931,-0.4423141,298.9427,166.777,246.9793,1.049999
-0.1844546,0.09447747,-0.435815,297.1215,167.7685,247.06,1.059999
-0.1861971,0.1051127,-0.4444243,299.4458,166.6932,247.2682,1.069999
-0.1870683,0.1005435,-0.4435802,298.2567,167.2289,247.1337,1.079999
-0.2029247,0.1021191,-0.4444243,296.7132,167.0593,245.4585,1.089999
-0.1883752,0.09187773,-0.4440022,296.0002,168.3087,247.0101,1.099999
-0.1892464,0.08581168,-0.4311727,294.3914,168.7441,246.3028,1.109999
-0.1949094,0.0568207,-0.4461124,286.2527,172.7414,246.3992,1.119999
-0.2085877,0.06903157,-0.4482225,288.3118,171.2446,245.0443,1.129999
-0.2072809,0.06060212,-0.4461124,286.2972,172.264,245.0786,1.139999
-0.2090234,0.05918408,-0.439782,285.8093,172.3354,244.5788,1.149999
-0.2345505,0.04815492,-0.4435802,281.602,173.8042,242.1316,1.159999
-0.2133795,0.03436844,-0.4414701,279.1499,175.5485,244.2037,1.169999
-0.2138151,0.02688435,-0.4328608,277.1666,176.446,243.7126,1.179999
-0.2280162,0.006874267,-0.4328608,271.7268,179.0901,242.2213,1.189999
-0.2146864,0.001517238,-0.43936,270.4049,179.8021,243.9583,1.199999
-0.2120727,-0.03944829,-0.4345489,259.4627,185.1871,243.9863,1.209999
-0.2103302,-0.05362866,-0.4315947,255.6959,187.0831,244.0185,1.219999
-0.1966519,-0.07545068,-0.435815,249.0094,189.822,245.7138,1.229999
-0.1857615,-0.1056234,-0.4250111,240.3776,193.9564,246.3911,1.239999
-0.177659,-0.1036539,-0.4271212,239.7389,193.6409,247.4154,1.249999
-0.146556,-0.1280756,-0.4391912,228.8497,196.2576,251.5464,1.259999
-0.1628481,-0.1317783,-0.4307507,231.0199,197.0103,249.2906,1.269999
-0.1332262,-0.1518671,-0.4290625,221.259,199.4915,252.7502,1.279999
-0.1169341,-0.1607692,-0.4172458,216.03,201.0722,254.3444,1.289999
-0.08922896,-0.1833791,-0.4294846,205.9467,203.1213,258.2633,1.299999
-0.06875501,-0.1792825,-0.4288093,200.9819,202.6895,260.8908,1.309999
-0.05699338,-0.1914934,-0.4345489,196.5744,203.7817,262.528,1.319999
-0.03172765,-0.1869242,-0.4379251,189.6333,203.1148,265.8562,1.329999
-0.015,-0.1938568,-0.4303286,184.4245,204.2509,268.0037,1.339999
0.01244381,-0.2040982,-0.4207908,176.511,205.875,271.6939,1.349999
0.05252047,-0.1987411,-0.4266992,165.1971,204.9744,277.017,1.359999
0.05469856,-0.1914934,-0.4220569,164.0584,204.4045,277.3844,1.369999
0.1080179,-0.187712,-0.4315947,150.0819,203.5055,284.0511,1.379999
0.1415604,-0.1853486,-0.4262772,142.6291,203.4998,288.3706,1.389999
0.1575039,-0.1660475,-0.4307507,136.5126,201.0809,290.0849,1.399999
0.1923532,-0.1572242,-0.422479,129.2616,200.4126,294.4796,1.409999
0.187997,-0.1451709,-0.4155577,127.6752,199.2564,294.3419,1.419999
0.2164863,-0.1239003,-0.4254331,119.7835,196.2373,296.9698,1.429999
0.2221493,-0.1158647,-0.4212129,117.5448,195.3802,297.8073,1.439999
0.2225849,-0.08726765,-0.4176678,111.4084,191.8016,298.0542,1.449999
0.2328655,-0.06387004,-0.4104934,105.3378,188.8439,299.5655,1.459999
0.2587411,-0.05457402,-0.4250111,101.9103,187.3171,301.3325,1.469999
0.2633586,-0.0303886,-0.4092273,96.58217,184.2469,302.7633,1.479999
0.2522069,-0.01479019,-0.4104934,93.35616,182.0635,301.5665,1.489999
0.2835712,0.01333422,-0.4172458,87.30779,178.1696,304.201,1.499999
0.2844424,0.04327056,-0.4172458,81.35024,174.0793,304.2828,1.509999
0.2909767,0.04815492,-0.4258552,80.60306,173.5485,304.3439,1.519999
0.2729422,0.08581168,-0.4212129,72.5471,168.485,302.9429,1.529999
0.2677148,0.08266048,-0.407286,72.84123,168.5274,303.3175,1.539999
0.247415,0.1135422,-0.4121815,65.34895,164.5989,300.9746,1.549999
