Time,Hx,Hy,Hz,Ax,Ay,Az,Heading,PID_Output,Integral,Setpoint
0,0.2333011,0.2388021,-0.3359635,-0.03,-0.02,0.9700001,15.22253,0,0,0,0
0.05,0.2768627,0.23959,-0.2889498,0.27,-0.08,1.02,-17.15344,0,0,169,0
0.1,0.1906107,0.2335239,-0.2992472,-0.03,0.09,1.15,-0.2276344,1300,18.61535,169,186.1534
0.15,0.2443657,0.2354934,-0.3239779,-0.3,0.05,0.93,-0.8032532,1300,18.61535,169,186.1534
0.2,0.2866205,0.1214202,-0.3328405,-0.17,-0.2,0.98,-6.774334,1300,35.59567,169,169.8033
0.25,0.3301821,-0.008724142,-0.3100511,-0.15,-0.27,1.06,95.79535,1300,53.17311,169,175.7743
0.3,0.185122,-0.1967716,-0.3642393,-0.09,-0.27,0.9599999,185.566,0,51.51651,169,-16.56602
0.35,0.01984928,-0.2249748,-0.3737771,0.06,-0.4,0.94,269.5938,0,51.51651,169,-16.56602
0.4,-0.09271389,-0.1865303,-0.3931903,0.07,-0.28,1.06,231.2885,0,41.45713,169,-100.5938
0.45,-0.1741741,-0.1298088,-0.3463454,-0.08,-0.3,1.0,199.1031,0,41.45713,169,-100.5938
0.5,-0.2120727,-0.03747879,-0.3965665,-0.1,-0.38,0.92,170.7631,0,38.44682,169,-30.10307
0.5500001,-0.2464863,0.03854377,-0.3566428,-0.01,-0.03,1.04,146.6104,1187.504,40.68579,169,22.38963
0.6000001,-0.2395165,0.1017252,-0.3769001,0.03,-0.06,0.94,126.7077,1187.504,40.68579,169,22.38963
0.6500001,-0.1439423,0.1879891,-0.3566428,-0.05,0.09,1.03,105.8474,1300,44.91502,169,42.29228
0.7000001,-0.112578,0.23959,-0.3579089,0.05,0.24,1.1,87.19914,1300,44.91502,169,42.29228
0.7500001,-0.03765203,0.2825249,-0.3334314,0.26,-0.12,1.17,67.39997,1300,53.0951,169,81.80086
0.8000001,0.06184266,0.2848884,-0.3389177,0.16,0.04,1.03,50.83709,1300,63.2551,169,101.6
0.8500002,0.1781521,0.2469165,-0.3604411,-0.15,-0.47,0.83,30.51092,1300,63.2551,169,101.6
0.9000002,0.2786052,0.1844441,-0.3384957,-0.29,-0.53,0.83,9.149105,1300,77.10401,169,138.4891
0.9500002,0.3580615,0.06454113,-0.3530978,0.05,-0.18,1.01,-13.3624,1300,77.10401,169,138.4891
1.0,0.2995148,-0.0675727,-0.3054088,0.17,-0.24,0.84,84.33669,1300,95.34026,169,182.3624
1.05,0.2090809,-0.1857425,-0.3699789,-0.38,-0.01,0.79,179.2958,1300,103.8066,169,84.66331
1.1,0.07909305,-0.2207995,-0.3737771,-0.03,-0.52,1.18,272.4592,1300,103.8066,169,84.66331
1.15,-0.1191122,-0.2050435,-0.3307304,0.22,-0.27,1.24,236.6461,0,93.46067,169,-103.4592
1.2,-0.1789659,-0.09947854,-0.3868599,0.01,-0.34,0.74,200.2076,0,93.46067,169,-103.4592
1.25,-0.234986,0.006480369,-0.3944564,-0.11,-0.17,0.81,163.1117,0,90.3399,169,-31.20764
1.3,-0.2072809,0.1229958,-0.3936123,0.14,-0.53,0.88,132.9346,507.0425,90.92873,169,5.888306
1.35,-0.166333,0.2260398,-0.3638173,0.29,0.29,1.24,105.3614,507.0425,90.92873,169,5.888306
1.4,-0.0341671,0.2935542,-0.3629732,-0.51,-0.21,0.93,78.10089,1300,97.29259,169,63.63863
