Time,Hx,Hy,Hz,Ax,Ay,Az,Heading,PID_Output,Integral,Setpoint
2.799999,0.2201667,-0.2829167,0.3018333,-0.13,-0.41,1.08,307.397,0,-526.8141,148,-158.8222
2.849998,0.2091667,-0.2980833,0.30625,-0.52,-0.79,1.07,307.3995,0,-542.7538,148,-159.397
2.899998,0.2104167,-0.2858333,0.35,0.41,0.09,0.62,306.4355,0,-542.7538,148,-159.397
2.949998,0.2143333,-0.2941667,0.3304167,0.08,0.78,1.0,305.8313,0,-558.5974,148,-158.4355
2.999998,0.2139167,-0.2720833,0.301,0.13,0.26,0.63,306.8704,0,-574.4844,148,-158.8704
3.049998,0.20875,-0.2780833,0.3125,0.01,0.54,1.28,307.0491,0,-574.4844,148,-158.8704
3.099998,0.2226667,-0.2793333,0.3364167,-0.54,-0.98,0.85,307.8764,0,-590.3893,148,-159.0491
3.149998,0.2283333,-0.2858333,0.3205833,0.39,-0.01,0.87,308.0244,0,-590.3893,148,-159.0491
3.199998,0.2251667,-0.2868333,0.2968333,0.04,0.55,0.9599999,308.437,0,-606.3917,148,-160.0244
3.249998,0.1983333,-0.2741667,0.3405833,-0.45,-0.9700001,1.22,307.5445,0,-622.4354,148,-160.437
3.299998,0.2345833,-0.27125,0.3185,0.3,0.24,0.44,308.2895,0,-622.4354,148,-160.437
3.349998,0.2025,-0.2868333,0.3155833,0.06,0.74,1.17,307.3192,0,-638.4644,148,-160.2895
3.399998,0.21725,-0.2755833,0.3564167,-0.46,-1.01,0.9700001,308.1084,0,-638.4644,148,-160.2895
3.449998,0.19225,-0.2780833,0.3295834,0.24,-0.01,0.78,306.043,0,-654.4752,148,-160.1084
3.499998,0.22475,-0.2925,0.3201667,0.09,0.04,1.0,306.815,0,-670.3568,148,-158.815
3.549998,0.216,-0.25725,0.3630833,0.52,0.29,0.73,307.4046,0,-670.3568,148,-158.815
3.599998,0.1958333,-0.2716667,0.3143333,-0.47,0.04,1.37,307.7809,0,-686.2972,148,-159.4046
3.649998,0.2079167,-0.2655833,0.3218333,0.02,-0.86,0.56,307.9537,0,-686.2972,148,-159.4046
3.699998,0.2226667,-0.28125,0.3058333,0.3,0.87,1.06,307.4038,0,-702.2926,148,-159.9537
3.749998,0.221,-0.2535,0.3189167,-0.46,-0.69,1.07,309.1689,0,-718.233,148,-159.4038
3.799998,0.1793333,-0.266,0.2968333,0.13,-0.33,0.85,307.8126,0,-718.233,148,-159.4038
3.849998,0.21,-0.2655833,0.3401667,0.43,0.53,0.81,307.801,0,-734.2142,148,-159.8126
3.899998,0.2176667,-0.2483333,0.3041667,-0.54,-0.52,1.29,307.852,0,-734.2142,148,-159.8126
3.949997,0.1880833,-0.2608333,0.3325,0.14,-0.17,0.55,308.4546,0,-750.1995,148,-159.852
3.999997,0.2230833,-0.2483333,0.336,0.17,0.46,1.12,309.6546,0,-766.2449,148,-160.4546
4.049997,0.1970833,-0.26,0.2895833,-0.46,-1.09,0.99,308.2972,0,-766.2449,148,-160.4546
4.099998,0.1991667,-0.25875,0.3304167,0.28,0.03,0.82,308.8944,0,-782.2747,148,-160.2972
4.149998,0.2114167,-0.21975,0.3201667,-0.47,-0.69,0.9599999,309.5473,0,-782.2747,148,-160.2972
4.199998,0.1926667,-0.2583333,0.30625,0.46,0.52,0.64,309.3983,0,-798.4294,148,-161.5473
4.249998,0.1941667,-0.2479167,0.3279166,-0.4,-0.37,1.31,309.5588,0,-814.5692,148,-161.3983
4.299998,0.2,-0.23625,0.3376667,-0.04,-0.27,0.59,308.3445,0,-814.5692,148,-161.3983
4.349998,0.20125,-0.23625,0.30225,0.32,0.59,1.25,309.5813,0,-830.6036,148,-160.3445
4.399999,0.1814167,-0.2475,0.3576667,-0.53,-0.98,0.99,308.9724,0,-830.6036,148,-160.3445
4.449999,0.21225,-0.2439167,0.2980833,0.33,0.3,0.9,309.2321,0,-846.7009,148,-160.9724
4.499999,0.1966667,-0.2345833,0.3205833,-0.08,0.04,0.95,309.0819,0,-862.8241,148,-161.2321
4.549999,0.2201667,-0.2314167,0.3143333,-0.27,-0.87,0.8,311.5258,0,-862.8241,148,-161.2321
4.599999,0.1780833,-0.215,0.29725,0.27,0.79,0.71,311.061,0,-879.1767,148,-163.5258
4.65,0.1918333,-0.2275,0.3308333,-0.26,-0.82,1.32,311.1154,0,-879.1767,148,-163.5258
4.7,0.2029167,-0.2555833,0.32225,-0.15,0.04,0.58,309.4068,0,-895.4882,148,-163.1154
4.75,0.1880833,-0.21725,0.3393333,-0.64,-0.6,0.9700001,309.8233,0,-911.6289,148,-161.4068
4.8,0.18725,-0.2330833,0.3214167,0.51,0.02,0.63,309.3695,0,-927.8112,148,-161.8233
4.85,0.176,-0.2383333,0.3241667,-0.37,0.25,1.29,308.7019,0,-927.8112,148,-161.8233
4.900001,0.165,-0.2205833,0.2920833,-0.33,-0.9599999,0.99,307.3395,0,-943.8814,148,-160.7019
4.950001,0.1641667,-0.22375,0.3626667,0.3,0.86,0.84,306.5031,0,-943.8814,148,-160.7019
5.000001,0.2079167,-0.2193333,0.36625,-0.28,-0.22,1.21,308.8447,0,-959.7317,148,-158.5031
5.050001,0.1954167,-0.2045833,0.3235,-0.06,-0.05,0.87,311.1414,0,-975.8162,148,-160.8447
5.100001,0.1658333,-0.2141667,0.3214167,0.2,0.43,0.9,311.636,0,-975.8162,148,-160.8447
5.150002,0.17725,-0.2114167,0.3120833,-0.48,-1.0,1.25,310.4716,0,-992.1797,148,-163.636
5.200002,0.1518333,-0.2116667,0.3320833,0.18,-0.06,0.47,307.7934,0,-992.1797,148,-163.636
5.250002,0.1954167,-0.25,0.34625,-0.08,0.33,1.3,307.8808,0,-1008.159,148,-159.7934
5.300002,0.2189167,-0.2743333,0.3030833,0.49,0.66,0.98,307.4187,0,-1024.147,148,-159.8808
5.350002,0.2239167,-0.2945833,0.3283334,-0.56,-0.52,0.9700001,307.9474,0,-1024.147,148,-159.8808
5.400002,0.2354167,-0.336,0.3279166,0.12,-0.2,0.61,306.9485,0,-1040.142,148,-159.9474
5.450003,0.23625,-0.3720833,0.29125,0.09,0.52,1.26,304.8896,0,-1040.142,148,-159.9474
5.500003,0.2126667,-0.3958333,0.3205833,-0.38,-1.15,0.77,301.8925,0,-1055.831,148,-156.8896
5.550003,0.246,-0.43,0.3214167,0.43,0.67,0.98,300.1447,0,-1071.22,148,-153.8925
5.600003,0.2464167,-0.4679167,0.2870833,-0.08,-0.34,1.08,298.5978,0,-1071.22,148,-153.8925
5.650003,0.18725,-0.4935,0.32225,-0.26,-0.67,1.07,296.1081,0,-1086.28,148,-150.5978
5.700004,0.21725,-0.5201667,0.2854167,0.27,0.73,0.72,293.7396,0,-1086.28,148,-150.5978
5.750004,0.1885,-0.52975,0.2916667,-0.36,-0.94,1.33,291.0112,0,-1100.854,148,-145.7396
5.800004,0.1914167,-0.5679167,0.2695833,-0.01,0.27,0.53,290.2939,0,-1115.155,148,-143.0112
5.850004,0.14,-0.5751667,0.26875,0.21,0.07,1.17,287.2979,0,-1115.155,148,-143.0112
5.900004,0.1329167,-0.6166667,0.29,0.56,0.38,0.87,284.8234,0,-1129.085,148,-139.2979
5.950005,0.1370833,-0.6176667,0.2539167,-0.4,-0.22,1.23,282.7856,0,-1129.085,148,-139.2979
6.000005,0.1089167,-0.6305833,0.2318333,-0.02,-0.46,0.47,281.4921,0,-1142.563,148,-134.7856
6.050005,0.08141666,-0.6455833,0.2633333,-0.02,0.6,1.24,279.8336,0,-1155.913,148,-133.4921
6.100005,0.06833333,-0.6555833,0.2093333,-0.4,-1.14,0.79,277.646,0,-1155.913,148,-133.4921
6.150005,0.01016667,-0.6625,0.2279167,0.5,0.55,0.9700001,274.6725,0,-1168.877,148,-129.646
6.200006,-0.004333333,-0.6708333,0.2568333,-0.54,-0.23,0.98,272.1532,0,-1168.877,148,-129.646
6.250006,-0.0001666667,-0.666,0.20875,0.19,-0.1,0.85,270.1649,0,-1181.293,148,-124.1532
6.300006,-0.03458333,-0.6764167,0.2564167,0.02,0.37,1.04,268.8962,0,-1193.509,148,-122.1649
6.350006,-0.01833333,-0.6691667,0.2568333,-0.36,-1.03,1.03,268.4965,0,-1193.509,148,-122.1649
6.400006,-0.05583333,-0.6635,0.2295833,0.3,0.87,0.83,266.8979,0,-1205.559,148,-120.4965
6.450006,-0.05625,-0.6704166,0.2393333,-0.2,-0.07,0.71,266.2748,0,-1205.559,148,-120.4965
6.500007,-0.05791667,-0.63875,0.2195833,-0.02,0.34,1.06,265.071,0,-1217.386,148,-118.2748
6.550007,-0.0925,-0.6564167,0.2458333,-0.29,-0.71,1.07,264.0006,0,-1229.093,148,-117.071
6.600007,-0.07433333,-0.6579166,0.25,0.29,0.71,0.75,263.4506,0,-1229.093,148,-117.071
6.650007,-0.1093333,-0.6443334,0.24125,-0.41,-0.9599999,1.33,261.9674,0,-1240.638,148,-115.4506
6.700007,-0.1245833,-0.6439167,0.231,0.1,0.42,0.49,260.9911,0,-1240.638,148,-115.4506
6.750008,-0.1414167,-0.6305833,0.2254167,0.06,-0.18,1.26,258.9264,0,-1251.938,148,-112.9911
6.800008,-0.1480833,-0.6176667,0.2208333,-0.46,-0.53,0.76,257.6425,0,-1263.03,148,-110.9264
6.850008,-0.1679167,-0.6370833,0.23225,0.51,0.49,0.91,256.3707,0,-1263.03,148,-110.9264
6.900008,-0.1591667,-0.6418333,0.1816667,-0.6,-0.57,1.18,255.9415,0,-1273.867,148,-108.3707
6.950008,-0.15725,-0.6366667,0.2266667,0.33,0.05,0.53,255.811,0,-1273.867,148,-108.3707
7.000009,-0.1333333,-0.6451667,0.19875,-0.1,0.08,1.22,256.8406,0,-1284.648,148,-107.811
7.050009,-0.1279167,-0.6345834,0.2335,0.4,0.81,1.05,257.6843,0,-1295.532,148,-108.8406
7.100009,-0.1564167,-0.6426666,0.23975,-0.54,-0.9,0.9700001,257.7492,0,-1306.501,148,-109.6843
7.150009,-0.13625,-0.6326666,0.2143333,0.39,-0.15,0.91,257.5902,0,-1306.501,148,-109.6843
7.200009,-0.13125,-0.6430833,0.1808333,-0.18,0.44,0.98,257.544,0,-1317.46,148,-109.5902
7.25001,-0.1130833,-0.6470833,0.2225,-0.14,-1.02,0.9700001,258.7995,0,-1317.46,148,-109.5902
7.30001,-0.1054167,-0.6530833,0.1820833,0.21,0.73,0.92,259.7942,0,-1328.54,148,-110.7995
7.35001,-0.1185,-0.6491666,0.2254167,-0.36,-1.15,1.19,260.191,0,-1339.719,148,-111.7942
7.40001,-0.07933333,-0.656,0.2504167,0.16,0.59,0.66,261.1967,0,-1339.719,148,-111.7942
7.45001,-0.1135,-0.6418333,0.24375,-0.02,0.27,1.17,260.9104,0,-1351.039,148,-113.1967
7.50001,-0.0975,-0.6620833,0.22625,-0.32,-0.54,0.98,261.5663,0,-1351.039,148,-113.1967
7.550011,-0.09166667,-0.641,0.2143333,0.32,0.63,0.9599999,261.152,0,-1362.395,148,-113.5663
7.600011,-0.1085,-0.6708333,0.2220833,0.36,0.06,0.53,261.4323,0,-1373.711,148,-113.152
7.650011,-0.06166667,-0.6664166,0.1985,-0.29,-0.58,1.36,262.4625,0,-1373.711,148,-113.152
7.700011,-0.07183333,-0.6551667,0.20975,-0.11,-0.02,0.56,263.0896,0,-1385.157,148,-114.4625
7.750011,-0.05916667,-0.6691667,0.2143333,-0.02,0.29,1.25,264.4678,0,-1396.804,148,-116.4678
7.800012,-0.02166667,-0.6591667,0.18125,-0.35,-0.44,0.85,265.6025,0,-1396.804,148,-116.4678
7.850012,-0.03333333,-0.6751667,0.2079167,0.38,0.56,0.8,266.746,0,-1408.564,148,-117.6025
7.900012,-0.02083333,-0.6768333,0.2495833,-0.53,-0.8,1.31,267.8426,0,-1408.564,148,-117.6025
7.950012,-0.02625,-0.6616667,0.2155833,0.3,0.33,0.45,267.7129,0,-1420.548,148,-119.8426
8.000012,-0.02458333,-0.6691667,0.2580833,-0.08,-0.19,1.32,267.9537,0,-1432.543,148,-119.9537
8.050013,0.011,-0.66,0.2576667,-0.08,-0.5,0.58,268.8597,0,-1432.543,148,-119.9537
8.100013,0.003083333,-0.65125,0.2429167,0.23,0.11,1.11,269.7074,0,-1444.629,148,-120.8597
8.150013,0.008083333,-0.6530833,0.2429167,0.56,0.34,0.84,270.6451,0,-1444.629,148,-120.8597
8.200013,0.016,-0.65875,0.2445833,-0.55,-0.23,1.28,270.7906,0,-1456.894,148,-122.6451
8.250013,0.0135,-0.6820833,0.2429167,0.3,-0.34,0.45,271.0781,0,-1469.173,148,-122.7906
8.300014,0.05875,-0.6401667,0.205,-0.07,0.51,1.27,272.5896,0,-1469.173,148,-122.7906
8.350014,0.01725,-0.65225,0.2275,-0.38,-1.03,0.75,272.6308,0,-1481.632,148,-124.5896
8.400014,0.02208333,-0.6643333,0.2535,0.51,0.55,1.01,272.8875,0,-1481.632,148,-124.5896
8.450014,0.03933333,-0.67375,0.2135,-0.64,-0.55,1.02,272.2533,0,-1494.121,148,-124.8875
8.500014,0.03,-0.6676667,0.2176667,0.33,0.01,0.63,272.6059,0,-1506.546,148,-124.2533
8.550014,0.06083333,-0.6595833,0.2114167,-0.08,0.2,1.2,273.7278,0,-1506.546,148,-124.2533
8.600015,0.02625,-0.6685,0.18975,-0.32,-0.77,0.6,273.3636,0,-1519.119,148,-125.7278
8.650015,0.04016666,-0.6608334,0.2526667,0.3,0.78,1.15,273.6655,0,-1519.119,148,-125.7278
8.700015,0.06,-0.6729167,0.2045833,-0.62,-0.75,0.89,273.6074,0,-1531.685,148,-125.6655
8.750015,0.04516667,-0.6639166,0.2008333,-0.27,0.29,0.95,274.1551,0,-1544.246,148,-125.6074
8.800015,0.06041666,-0.6543334,0.2385,-0.08,-0.49,0.9,274.7542,0,-1544.246,148,-125.6074
8.850016,0.04266667,-0.64875,0.1889167,0.17,0.68,0.9700001,274.31,0,-1556.922,148,-126.7542
8.900016,0.02291667,-0.6575,0.2408333,-0.38,-1.14,1.09,273.6781,0,-1556.922,148,-126.7542
8.950016,0.05058333,-0.6841667,0.2305833,0.2,0.63,0.73,273.3291,0,-1569.489,148,-125.6781
9.000016,0.03083333,-0.6635,0.1991667,-0.07,-0.35,1.06,272.9618,0,-1582.022,148,-125.3291
9.050016,0.04141667,-0.6635,0.2208333,-0.23,-0.58,1.04,273.487,0,-1582.022,148,-125.3291
9.100017,0.06375,-0.6508333,0.2425,0.25,0.69,1.05,273.9423,0,-1594.571,148,-125.487
9.150017,0.04475,-0.6676667,0.2564167,-0.4,-1.05,1.23,274.3336,0,-1594.571,148,-125.487
9.200017,0.09125,-0.65,0.2433333,0.13,0.53,0.55,275.8067,0,-1607.204,148,-126.3336
9.250017,0.06375,-0.6651667,0.2475,0.03,-0.3,1.24,275.7668,0,-1619.985,148,-127.8067
9.300017,0.04933333,-0.6551667,0.2964167,0.01,-0.49,0.86,275.924,0,-1619.985,148,-127.8067
9.350018,0.065,-0.6443334,0.29975,-0.33,-0.81,1.1,275.1804,0,-1632.777,148,-127.924
9.400018,0.04391666,-0.6383333,0.2564167,0.27,0.75,0.72,274.6674,0,-1645.495,148,-127.1804
9.450018,0.02875,-0.6620833,0.2508333,-0.32,-0.91,1.29,274.0609,0,-1645.495,148,-127.1804
9.500018,0.05541667,-0.65475,0.27975,-0.02,0.28,0.57,273.7533,0,-1658.101,148,-126.0609
9.550018,0.02958333,-0.6370833,0.2679167,0.18,0.02,1.15,273.3276,0,-1670.677,148,-125.7533
9.600019,0.04266667,-0.6530833,0.27725,-0.13,-0.75,1.0,273.7448,0,-1670.677,148,-125.7533
9.650019,0.07183333,-0.6270833,0.265,0.2,0.56,0.9,274.3105,0,-1683.251,148,-125.7448
9.700019,0.05291667,-0.6555833,0.225,-0.4,-0.57,1.21,274.9625,0,-1683.251,148,-125.7448
9.750019,0.03558333,-0.6555833,0.2739167,0.22,0.04,0.59,274.7521,0,-1695.948,148,-126.9625
9.800019,0.04391666,-0.6676667,0.2483333,-0.09,0.21,1.29,273.8283,0,-1708.623,148,-126.7521
9.850019,0.03808333,-0.6655833,0.2718333,-0.32,-0.29,0.77,273.3816,0,-1708.623,148,-126.7521
9.90002,0.065,-0.64625,0.22625,-0.67,-0.6,1.01,274.2605,0,-1721.161,148,-125.3816
9.95002,0.04641667,-0.64475,0.2330833,0.38,0.07,0.57,274.3787,0,-1721.161,148,-125.3816
10.00002,0.04391666,-0.6391666,0.2543334,-0.38,0.11,1.38,274.5973,0,-1733.799,148,-126.3787
10.05002,0.02375,-0.6551667,0.2266667,-0.03,-0.68,0.57,273.3748,0,-1746.458,148,-126.5973
10.10002,0.0225,-0.64,0.24125,0.25,0.28,1.19,272.6734,0,-1746.458,148,-126.5973
10.15002,0.06583333,-0.6495833,0.2475,-0.61,-0.74,0.87,273.2922,0,-1758.926,148,-124.6734
10.20002,0.03891666,-0.64225,0.2266667,0.67,0.37,0.82,273.756,0,-1758.926,148,-124.6734
10.25002,0.06875,-0.6655833,0.2641666,-0.26,-0.38,1.23,275.0506,0,-1771.501,148,-125.756
10.30002,0.12375,-0.6230834,0.2568333,0.2,-0.16,0.6,276.8661,0,-1784.206,148,-127.0506
