Time,Hx,Hy,Hz,Ax,Ay,Az,Heading,PID_Output,Integral,Setpoint
0,0.2746846,0.03224138,-0.2979811,-0.01,-0.04,0.9700001,11.23151,0,0,217,0
0.01,0.2857493,0.03791353,-0.2830414,-0.02,-0.04,0.9700001,13.75081,1300,4.11537,217,205.7685
0.02,0.2840068,0.03358064,-0.2726595,-0.03,-0.03,0.9599999,15.99857,1300,8.180353,217,203.2492
0.03,0.288363,0.03751963,-0.2910599,0.02,-0.02,0.86,16.23815,1300,12.20038,217,201.0014
0.04,0.316678,0.03751963,-0.2916507,-0.26,0.04,0.98,15.97112,1300,16.21562,217,200.7619
0.05,0.3356709,0.04130106,-0.2670044,-0.17,-0.1,0.93,16.06151,1300,20.23619,217,201.0289
0.06,0.245237,-0.02463767,-0.2864176,-0.06,-0.11,0.98,131.6781,1300,32.2925,217,200.9385
0.06999999,0.2892342,-0.0303886,-0.2881057,-0.23,-0.03,0.95,247.4266,1300,33.99894,217,85.3219
0.07999999,0.2522069,-0.04102388,-0.2691145,-0.31,-0.16,0.9599999,362.0088,0,33.39041,217,-30.42657
0.08999998,0.3663382,-0.05205307,-0.231723,0.1,-0.06,1.01,361.2255,0,30.49023,217,-145.0088
0.09999999,0.19366,-0.1473767,-0.2498701,0.16,-0.23,0.98,350.8009,0,27.60572,217,-144.2255
0.11,0.2241532,-0.1325661,-0.3265101,0.07,-0.05,0.93,343.6804,0,24.9297,217,-133.8009
0.12,0.1846864,-0.1424136,-0.3450793,0.02,-0.08,1.0,333.8307,0,22.3961,217,-126.6804
0.13,0.1544546,-0.1564364,-0.2838855,0.12,-0.07,0.9599999,331.1327,0,20.05948,217,-116.8307
0.14,0.1376398,-0.1755011,-0.3108952,0.13,-0.06,1.04,324.0349,0,17.77683,217,-114.1327
0.15,0.09129029,-0.1881059,-0.3092071,0.05,-0.01,0.99,315.2096,0,15.63613,217,-107.0349
0.16,0.1291889,-0.1731377,-0.3334314,0.14,-0.13,0.98,312.5743,0,13.67194,217,-98.20956
0.17,0.1014837,-0.1845608,-0.2756137,0.11,-0.15,0.95,309.4739,0,11.76045,217,-95.57428
0.18,0.1019193,-0.1755011,-0.3062529,0.02,-0.03,0.94,310.893,0,9.910976,217,-92.47391
0.19,0.07996428,-0.1766828,-0.3574869,0.15,-0.08,0.9599999,306.767,0,8.033116,217,-93.89301
0.2,0.0631495,-0.2097703,-0.3169723,0.22,-0.03,0.98,302.75,0,6.237776,217,-89.767
0.21,0.07011936,-0.193069,-0.3211926,0.15,0.1,1.08,299.355,0,4.522777,217,-85.75
0.22,0.07099059,-0.18913,-0.3216146,0.21,-0.03,1.14,298.096,0,2.875676,217,-82.35501
0.23,0.06489196,-0.1739255,-0.3117392,-0.31,-0.01,0.95,299.3315,0,1.253757,217,-81.09598
0.24,0.05121362,-0.1774706,-0.3311524,-0.14,-0.19,0.83,298.0438,0,-0.3928733,217,-82.33151
