Time,Hx,Hy,Hz,Ax,Ay,Az,PID_Output,Integral,Setpoint,XY-Heading,YZ-Heading,ZX-Heading
0,0.2683333,0.01516667,-0.3626667,-0.03,-0.16,0.9599999,0,0,281,0,102.235,272.3947,143.5026
0.05,0.2645833,0.01708333,-0.3614167,-0.04,-0.11,0.9599999,0,0,281,0,102.6943,272.7062,143.7932
0.1,0.2876667,-0.01791667,-0.3133333,-0.13,-0.09,0.82,1000,17.83057,281,178.3057,95.43607,266.7274,137.4454
0.15,0.27375,-0.036,-0.36875,-0.26,-0.12,0.94,1000,17.83057,281,178.3057,91.5082,264.4241,143.4108
0.2,0.211,-0.08708333,-0.42225,-0.13,-0.3,0.91,1000,36.77975,281,189.4918,76.57322,258.3469,153.4485
0.25,0.02958333,-0.17475,-0.4570833,-0.1,-0.36,0.92,1000,57.22243,281,204.4268,18.60848,249.0774,176.2969
0.3,-0.04266667,-0.1380833,-0.42875,-0.15,-0.31,0.89,1000,83.46158,281,262.3915,351.8293,252.1483,185.683
0.35,-0.1155833,-0.04725,-0.421,-0.18,-0.27,0.9700001,1000,83.46158,281,262.3915,301.2346,263.5963,195.352
0.4,-0.1143333,0.07225,-0.4835,0.27,-0.41,1.07,-500,81.43813,281,-20.23456,246.7102,278.4989,193.3044
0.45,-0.1329167,0.12725,-0.4379167,0.09,-0.33,0.84,-500,81.43813,281,-20.23456,235.2478,286.2028,196.8841
0.5,-0.1455833,0.17225,-0.3818333,-0.04,-0.26,0.88,913.3662,86.01335,281,45.75224,229.204,294.2808,200.8706
0.5500001,-0.106,0.1989167,-0.3651667,0.27,-0.13,1.04,688.2476,91.19295,281,51.79597,217.0526,298.5784,196.1869
0.6000001,-0.06083333,0.24225,-0.3304167,-0.1,-0.43,0.65,688.2476,91.19295,281,51.79597,203.0965,306.2476,190.432
0.6500001,-0.03416667,0.2405833,-0.34625,-0.22,-0.33,0.91,1000,98.9833,281,77.90349,197.0829,304.7926,185.6355
0.7000001,-0.05141666,0.2495833,-0.381,0.04,-0.14,1.26,1000,98.9833,281,77.90349,200.6406,303.2278,187.6857
0.7500001,-0.011,0.2466667,-0.3635,0.23,-0.27,1.09,1000,107.0192,281,80.35936,191.5534,304.1603,181.7333
0.8000001,0.036,0.2755833,-0.3491667,-0.15,-0.14,0.7,1000,115.9639,281,89.44662,181.5575,308.2826,174.1134
0.8500002,0.01833333,0.25725,-0.3266666,-0.19,-0.36,1.0,1000,115.9639,281,89.44662,184.9236,308.2204,176.7878
0.9000002,0.08225,0.2741667,-0.3683333,0.16,0.08,1.22,1000,125.5715,281,96.07639,172.3008,306.6619,167.4122
0.9500002,0.1241667,0.2575,-0.3580833,0.04,-0.11,1.09,1000,137.3459,281,117.7434,163.2566,305.7202,160.8758
1.0,0.1666667,0.26475,-0.34225,-0.25,-0.1,0.89,1000,137.3459,281,117.7434,156.8086,307.724,154.0351
1.05,0.1755833,0.2283333,-0.3320833,0.16,0.05,1.17,1000,149.765,281,124.1914,151.4405,304.5116,152.1331
1.1,0.2408333,0.206,-0.3401667,-0.24,-0.19,0.88,1000,149.765,281,124.1914,139.5425,301.1985,144.702
1.15,0.2379167,0.1675,-0.3643333,0.14,-0.33,1.12,1000,163.9108,281,141.4575,134.1466,294.6903,146.8547
1.2,0.286,0.11375,-0.3235,-0.24,-0.28,0.65,1000,178.5961,281,146.8534,120.6891,289.3728,138.5207
1.25,0.2770833,0.07058334,-0.375,0.17,-0.02,1.13,1000,178.5961,281,146.8534,113.2914,280.6596,143.5397
1.3,0.2618333,0.01475,-0.3483333,-0.13,-0.44,0.86,1000,195.367,281,167.7086,102.2243,272.4247,143.0687
1.35,0.2708333,-0.02166667,-0.3635,-0.03,-0.05,0.92,1000,195.367,281,167.7086,94.42608,266.5889,143.3113
1.4,0.25225,-0.0735,-0.3855834,-0.25,-0.42,0.68,1000,214.0244,281,186.5739,82.75506,259.2077,146.8071
1.45,0.1830833,-0.1155833,-0.4120833,0.12,-0.31,1.01,1000,233.8488,281,198.2449,66.73515,254.332,156.045
1.5,0.1930833,-0.14225,-0.4251667,-0.12,-0.09,1.06,1000,233.8488,281,198.2449,62.61987,251.5011,155.5755
1.55,0.1241667,-0.14625,-0.40475,-0.13,-0.03,0.84,1000,255.6869,281,218.3801,49.33136,250.1335,162.9454
1.6,0.051,-0.1630833,-0.3966667,0.09,-0.14,0.89,1000,255.6869,281,218.3801,26.3657,247.6508,172.6736
1.65,0.008500001,-0.1639167,-0.4083333,-0.04,-0.22,1.01,1000,281.1503,281,254.6343,11.96846,248.1281,178.8075
1.699999,-0.00225,-0.131,-0.4264167,-0.23,-0.41,0.85,1000,308.0535,281,269.0316,368.016,252.9225,180.3023
1.749999,-0.06416667,-0.12375,-0.4464167,-0.26,-0.58,0.64,1000,308.0535,281,269.0316,341.5924,254.5062,188.1795
1.799999,-0.09541666,-0.09125,-0.4426667,-0.02,-0.56,0.87,-500,301.9942,281,-60.59244,322.7213,258.3524,192.164
1.849999,-0.1354167,-0.04375,-0.37975,0.1,-0.33,1.06,152.7481,300.4038,281,-15.90445,296.9044,263.4281,199.6259
1.899999,-0.1675,-0.026,-0.4133333,0.33,-0.17,1.27,152.7481,300.4038,281,-15.90445,287.8233,266.4007,202.0599
1.949999,-0.13875,-0.005166667,-0.4226666,-0.05,0.13,1.24,83.41518,299.7214,281,-6.823273,281.1326,269.2997,198.1736
1.999999,-0.12625,-0.01225,-0.4083333,-0.36,-0.59,0.83,151.746,299.7082,281,-0.1325684,284.5421,268.2816,197.1808
2.049999,-0.1279167,-0.01708333,-0.4401667,0.21,0.27,0.99,151.746,299.7082,281,-0.1325684,286.6069,267.7774,196.2044
2.099999,-0.16,-0.03433333,-0.3875,-0.08,-0.7,0.91,25.005,299.1475,281,-5.606873,291.1111,264.9367,202.4359
2.149999,-0.1201667,-0.05208333,-0.4320833,0.32,0.32,1.28,-217.5278,297.0042,281,-21.43317,302.4332,263.1267,195.5418
2.199999,-0.09625,-0.08958333,-0.3989167,0.12,-0.11,1.05,-217.5278,297.0042,281,-21.43317,321.9454,257.3433,193.565
2.249999,-0.09291667,-0.1245833,-0.3989167,-0.07,-0.22,0.66,-471.7427,292.9096,281,-40.94543,332.2837,252.6562,193.1117
