Time,Hx,Hy,Hz,Ax,Ay,Az,Heading,PID_Output,Integral,Setpoint
0,0.18475,-0.21375,0.3258333,-0.01,-0.12,0.9599999,103.6126,0,0,148,0
0.05,0.1864167,-0.22625,0.32625,-0.05,-0.13,0.86,206.7748,0,0,148,0
0.1,0.2033333,-0.20975,0.2735,-0.02,-0.18,0.98,311.4781,0,-5.877477,148,-58.77477
0.15,0.11975,-0.235,0.4316667,-0.11,-0.09,1.01,306.8663,0,-5.877477,148,-58.77477
0.2,0.21,-0.1951667,0.3508333,-0.14,-0.12,1.07,309.403,0,-21.7641,148,-158.8663
0.25,0.1733333,-0.196,0.3643333,0.22,-0.02,1.11,308.529,0,-37.9044,148,-161.403
0.3,0.1793333,-0.2041667,0.3475,-0.42,-0.2,0.99,313.2932,0,-54.43373,148,-165.2932
0.35,0.1654167,-0.2133333,0.3626667,0.38,0.04,0.9,310.1909,0,-54.43373,148,-165.2932
0.4,0.1716667,-0.2504167,0.3443333,-0.15,-0.28,0.92,307.8387,0,-70.65282,148,-162.1909
0.45,0.2008333,-0.2129167,0.3275,-0.3,-0.36,0.98,308.5161,0,-70.65282,148,-162.1909
0.5,0.1958333,-0.2289167,0.3414166,-0.04,-0.35,0.79,309.435,0,-86.70444,148,-160.5161
0.5500001,0.1945833,-0.2379167,0.3439167,0.26,0.44,0.86,311.0507,0,-103.0095,148,-163.0507
0.6000001,0.1768333,-0.231,0.3483333,-0.25,0.01,0.69,309.0864,0,-103.0095,148,-163.0507
0.6500001,0.1970833,-0.2629167,0.3466667,0.19,-0.52,1.32,307.8561,0,-119.1181,148,-161.0864
0.7000001,0.18725,-0.22625,0.33975,0.17,0.34,0.92,307.9673,0,-119.1181,148,-161.0864
0.7500001,0.2020833,-0.2318333,0.3189167,-0.13,-0.08,0.62,309.1817,0,-135.1149,148,-159.9673
0.8000001,0.2168333,-0.2370833,0.3070833,-0.36,-0.24,0.8,311.0451,0,-151.2331,148,-161.1817
0.8500002,0.2070833,-0.25475,0.3058333,-0.31,-0.15,0.8,310.8769,0,-151.2331,148,-161.1817
0.9000002,0.21475,-0.2401667,0.31975,-0.16,-0.44,0.72,311.1183,0,-167.5208,148,-162.8769
0.9500002,0.2016667,-0.27725,0.3066667,0.17,0.13,0.62,308.9803,0,-167.5208,148,-162.8769
1.0,0.2025,-0.28,0.3266666,0.3,1.23,1.18,307.9029,0,-183.6188,148,-160.9803
1.05,0.25975,-0.2833333,0.3266666,-0.19,-1.31,1.23,308.14,0,-199.6091,148,-159.9029
1.1,0.2205833,-0.2729167,0.3193333,0.01,0.34,0.52,309.1117,0,-199.6091,148,-159.9029
1.15,0.2230833,-0.27475,0.3095833,-0.0,-0.35,1.3,310.1784,0,-215.7202,148,-161.1117
1.2,0.2379167,-0.2804167,0.2939167,0.32,0.5,1.11,309.4447,0,-215.7202,148,-161.1117
1.25,0.216,-0.295,0.3475,-0.32,-1.2,0.78,308.5331,0,-231.8647,148,-161.4447
1.3,0.2118333,-0.2868333,0.3133333,0.11,0.86,1.45,307.657,0,-247.918,148,-160.5331
1.35,0.2601667,-0.2945833,0.3364167,-0.15,0.48,0.43,308.0362,0,-247.918,148,-160.5331
1.4,0.2395833,-0.3154167,0.3214167,-0.3,-1.51,1.05,308.3721,0,-263.9216,148,-160.0362
1.45,0.2576667,-0.311,0.3226667,0.14,-0.55,1.37,309.4372,0,-263.9216,148,-160.0362
1.5,0.2539167,-0.2966666,0.3133333,0.33,0.52,1.0,309.1406,0,-280.0653,148,-161.4372
1.55,0.2304167,-0.3205833,0.3643333,0.05,-0.58,0.61,308.6362,0,-296.1794,148,-161.1406
1.6,0.2468333,-0.32875,0.3279166,-0.26,-1.66,0.82,307.7222,0,-296.1794,148,-161.1406
1.65,0.235,-0.33125,0.3091667,-0.32,-1.43,1.11,305.9866,0,-312.1516,148,-159.7222
1.699999,0.2325,-0.3576667,0.3045833,-0.31,-0.94,1.26,305.093,0,-312.1516,148,-159.7222
1.749999,0.2489167,-0.3335,0.3185,-0.29,-0.48,1.22,305.0386,0,-327.8609,148,-157.093
1.799999,0.2708333,-0.3585,0.2883333,-0.3,-0.94,0.89,305.6107,0,-343.5648,148,-157.0386
1.849999,0.23125,-0.3416667,0.30375,-0.23,-1.53,0.95,305.9659,0,-343.5648,148,-157.0386
1.899999,0.251,-0.3705833,0.3283334,-0.29,-1.71,0.66,305.0904,0,-359.3614,148,-157.9659
1.949999,0.2366667,-0.3793334,0.3030833,-0.36,-1.43,0.54,303.3872,0,-359.3614,148,-157.9659
1.999999,0.25475,-0.3801667,0.3193333,-0.23,-0.72,0.64,303.2988,0,-374.9001,148,-155.3872
2.049999,0.245,-0.3858333,0.3018333,0.08,-0.36,0.81,302.7338,0,-390.43,148,-155.2988
2.099999,0.2308333,-0.3845833,0.3414166,0.17,-0.61,0.55,302.4047,0,-390.43,148,-155.2988
2.149999,0.2333333,-0.3975,0.3125,0.02,0.38,0.35,301.267,0,-405.8704,148,-154.4047
2.199999,0.2420833,-0.40475,0.33125,0.22,1.23,0.65,300.7566,0,-405.8704,148,-154.4047
2.249999,0.2535,-0.3845833,0.32225,0.42,0.67,1.09,301.5627,0,-421.1461,148,-152.7566
2.299999,0.2679167,-0.3829167,0.341,0.17,0.52,1.14,303.0848,0,-436.5023,148,-153.5627
2.349999,0.2783333,-0.3741667,0.30875,-0.21,0.22,1.32,305.0051,0,-436.5023,148,-153.5627
2.399999,0.2601667,-0.4239167,0.3205833,0.36,0.8,1.32,304.3875,0,-452.2029,148,-157.0051
2.449999,0.2791667,-0.4204166,0.31125,0.02,-0.5,1.29,303.9227,0,-467.8416,148,-156.3875
2.499999,0.2370833,-0.416,0.3018333,-0.39,-0.99,0.8,301.6009,0,-467.8416,148,-156.3875
2.549999,0.2539167,-0.4239167,0.2943333,0.02,-0.69,0.82,301.395,0,-483.2017,148,-153.6009
2.599999,0.2379167,-0.4404167,0.25725,0.21,0.41,0.64,299.6594,0,-483.2017,148,-153.6009
2.649999,0.2543334,-0.4516666,0.3079167,0.21,0.18,1.31,299.5609,0,-498.3677,148,-151.6594
2.699999,0.2593333,-0.4485,0.3201667,-0.31,-1.26,1.16,299.2666,0,-513.5237,148,-151.5609
2.749999,0.2416667,-0.4389166,0.29,-0.27,-0.45,0.74,299.4195,0,-513.5237,148,-151.5609
2.799999,0.2530833,-0.44125,0.2955833,0.29,0.42,0.64,299.5705,0,-528.6657,148,-151.4195
2.849998,0.2585,-0.4605833,0.31125,0.28,0.67,1.06,299.3257,0,-543.7983,148,-151.3257
2.899998,0.2404167,-0.4541667,0.3329167,-0.32,-1.23,1.02,299.0116,0,-543.7983,148,-151.3257
2.949998,0.2514167,-0.45625,0.3095833,0.46,0.72,1.23,298.685,0,-558.8994,148,-151.0116
2.999998,0.2420833,-0.4618333,0.2645833,-0.36,-0.46,1.09,298.1382,0,-558.8994,148,-151.0116
3.049998,0.2395833,-0.4618333,0.3139167,-0.19,-1.26,0.87,297.9794,0,-573.9132,148,-150.1382
3.099998,0.2379167,-0.4545834,0.33125,0.2,1.18,0.59,297.5692,0,-588.8701,148,-149.5692
3.149998,0.2485,-0.4726667,0.2730833,0.07,-0.27,1.42,297.5926,0,-588.8701,148,-149.5692
3.199998,0.2518333,-0.47225,0.2993333,-0.43,-1.1,0.85,297.8095,0,-603.8294,148,-149.5926
3.249998,0.2433333,-0.4879167,0.3218333,0.21,-0.28,0.81,297.4361,0,-603.8294,148,-149.5926
3.299998,0.2543334,-0.4795833,0.3083333,0.24,1.0,0.98,297.5045,0,-618.773,148,-149.4361
3.349998,0.2320833,-0.49,0.2875,-0.07,-0.4,1.46,296.5962,0,-633.6326,148,-148.5962
3.399998,0.23375,-0.5039167,0.3235,-0.23,-0.94,0.53,296.0557,0,-633.6326,148,-148.5962
3.449998,0.2185,-0.4916667,0.2866667,0.45,0.68,1.03,294.7299,0,-648.4382,148,-148.0557
3.499998,0.2383333,-0.5068333,0.2814167,-0.19,0.15,1.15,294.6768,0,-648.4382,148,-148.0557
3.549998,0.2320833,-0.4955833,0.2968333,0.21,0.56,0.68,294.7464,0,-663.1058,148,-146.6768
3.599998,0.2568333,-0.49725,0.3041667,-0.08,-0.63,1.51,295.8651,0,-677.7805,148,-146.7464
3.649998,0.2304167,-0.4975,0.2704167,-0.15,-0.63,0.57,295.7539,0,-677.7805,148,-146.7464
3.699998,0.1966667,-0.5076666,0.2755833,0.42,0.56,1.02,294.448,0,-692.5558,148,-147.7539
3.749998,0.2395833,-0.5141666,0.3030833,-0.24,0.02,1.35,293.6703,0,-692.5558,148,-147.7539
3.799998,0.24,-0.4951667,0.2625,-0.2,-1.38,0.65,294.0062,0,-707.1229,148,-145.6703
3.849998,0.24125,-0.5216666,0.2829167,0.4,1.0,0.93,295.2204,0,-721.7235,148,-146.0062
3.899998,0.2304167,-0.5085,0.3026667,-0.21,-0.15,1.22,295.0181,0,-721.7235,148,-146.0062
3.949997,0.2304167,-0.51375,0.3083333,-0.33,-0.99,1.01,294.4505,0,-736.4253,148,-147.0181
3.999997,0.2205833,-0.52725,0.2916667,0.19,0.38,0.46,293.7452,0,-736.4253,148,-147.0181
4.049997,0.235,-0.5145833,0.3125,0.26,0.29,1.26,293.8014,0,-750.9998,148,-145.7452
4.099998,0.2243333,-0.50475,0.28875,-0.36,-1.23,0.67,293.7368,0,-765.58,148,-145.8014
4.149998,0.2180833,-0.5145833,0.2716667,0.07,-0.04,1.15,293.8251,0,-765.58,148,-145.8014
4.199998,0.2143333,-0.51375,0.29,-0.23,-0.85,0.88,293.1919,0,-780.1625,148,-145.8251
4.249998,0.226,-0.5314167,0.316,0.2,1.21,0.64,292.884,0,-780.1625,148,-145.8251
4.299998,0.21975,-0.4939167,0.2825,-0.12,0.07,1.45,293.2232,0,-794.6509,148,-144.884
4.349998,0.21975,-0.5370833,0.3168334,-0.32,-0.9700001,0.7,293.092,0,-809.1732,148,-145.2232
4.399999,0.2379167,-0.5141666,0.31475,0.36,0.37,0.81,293.6894,0,-809.1732,148,-145.2232
4.449999,0.2379167,-0.5164166,0.2589167,-0.11,0.38,1.37,293.9397,0,-823.7421,148,-145.6894
4.499999,0.2143333,-0.5129167,0.32225,-0.31,-1.48,0.69,294.0818,0,-823.7421,148,-145.6894
4.549999,0.246,-0.5064167,0.28375,0.17,0.85,0.64,294.4411,0,-838.3503,148,-146.0818
4.599999,0.176,-0.5095834,0.2980833,0.1,-0.03,1.2,292.5471,0,-852.9944,148,-146.4411
4.65,0.1830833,-0.54375,0.2858333,-0.27,-1.21,1.12,291.1905,0,-852.9944,148,-146.4411
4.7,0.2445833,-0.5108333,0.2925,0.11,0.17,1.28,291.0824,0,-867.3135,148,-143.1905
4.75,0.2268333,-0.5176666,0.2730833,0.42,0.44,1.2,292.6186,0,-881.6217,148,-143.0824
4.8,0.2095833,-0.5208333,0.2920833,-0.39,-0.88,1.06,293.7223,0,-881.6217,148,-143.0824
4.85,0.2118333,-0.5389166,0.3120833,0.03,-0.07,0.68,292.3469,0,-896.1939,148,-145.7223
4.900001,0.2168333,-0.5164166,0.26875,0.33,0.79,1.05,292.0516,0,-910.6286,148,-144.3469
4.950001,0.2235,-0.51725,0.2670834,-0.35,-1.41,1.14,292.5346,0,-910.6286,148,-144.3469
5.000001,0.2243333,-0.5245833,0.3041667,0.1,-0.22,0.7,293.0996,0,-925.082,148,-144.5346
5.050001,0.2251667,-0.51375,0.2704167,0.32,0.67,1.09,293.3964,0,-925.082,148,-144.5346
5.100001,0.2291667,-0.531,0.2641666,-0.22,-0.62,1.48,293.3881,0,-939.6217,148,-145.3964
