Time,Hx,Hy,Hz,Ax,Ay,Az,PID_Output,Integral,Setpoint,XY-Heading,YZ-Heading,ZX-Heading
0,0.14125,0.12725,-0.2355833,-0.02,-0.05,0.9599999,0,0,0,0,42.01521,298.3756,149.0541
0.05,0.1408333,0.1535,-0.2305833,-0.12,-0.05,0.91,0,0,240,-42.01521,56.4642,303.6518,148.5847
0.1,0.1519167,0.1264167,-0.20125,-0.12,-0.08,0.99,1300,11.01215,240,183.5358,48.76535,302.1353,142.9521
0.15,0.204,0.1489167,-0.2101667,-0.25,-0.1,0.95,1300,22.48623,240,191.2346,45.12883,305.32,135.853
0.2,0.2610833,0.102,-0.2420833,-0.2,-0.31,0.94,1300,34.1785,240,194.8712,30.33958,292.8478,132.8375
0.25,0.39375,-0.11,-0.225,-0.19,-0.36,1.04,1300,55.14453,240,209.6604,353.3915,243.9465,119.7449
0.3,0.3435833,-0.2604167,-0.1943333,0.13,-0.36,0.88,0,48.34104,240,-113.3915,331.8399,216.7318,119.4928
0.35,0.21875,-0.30625,-0.32625,-0.04,-0.44,1.0,0,42.83064,240,-91.83994,314.5377,226.8111,146.1582
0.4,0.1704167,-0.3019166,-0.30625,-0.21,0.06,0.91,0,38.35838,240,-74.53769,308.4425,225.4082,150.9057
0.45,0.07941666,-0.2941667,-0.3066667,-0.16,-0.36,0.71,0,34.25183,240,-68.44254,294.1081,226.1918,165.4812
0.5,-0.00908333,-0.2881666,-0.2926667,0.05,0.06,0.92,0,31.00535,240,-54.10806,277.1946,225.4439,181.7777
0.5500001,-0.0145,-0.229,-0.30625,0.16,-0.34,0.88,0,28.77368,240,-37.19458,275.377,233.2125,182.7108
0.6000001,-0.04325,-0.1820833,-0.2708333,-0.15,-0.36,0.9700001,0,26.65106,240,-35.37695,265.6382,236.0868,189.0731
0.6500001,-0.0195,-0.15275,-0.2964167,-0.24,-0.17,0.9700001,0,25.11277,240,-25.63824,271.725,242.737,183.7638
0.7000001,-0.07866666,-0.1258333,-0.2585,0.08,0.2,1.03,0,23.20927,240,-31.72501,246.9878,244.044,196.926
0.7500001,-0.05283334,-0.08175,-0.25725,0.17,0.19,1.11,0,22.79,240,-6.987793,246.1263,252.3706,191.6059
0.8000001,-0.05700001,-0.05925,-0.2879167,-0.36,0.03,0.92,0,22.42243,240,-6.126251,235.1088,258.3715,191.1983
0.8500002,-0.06141666,-0.03674999,-0.24625,0.13,0.36,1.07,127.9583,22.7159,240,4.891174,219.8951,261.5119,194.0043
0.9000002,-0.07183333,-0.029,-0.2564167,-0.01,0.42,1.02,508.6024,23.92219,240,20.10487,210.9845,263.5474,195.6499
0.9500002,-0.05033333,0.0001666695,-0.29125,0.31,0.06,0.88,1300,26.68691,240,51.18973,188.8103,270.0328,189.8049
1.0,-0.03600001,0.01225001,-0.2785,0.06,0.41,0.68,1300,30.13035,240,69.79231,170.2077,272.5186,187.3654
1.05,-0.03183333,0.005333334,-0.2514167,-0.2,0.08,1.1,1300,34.13226,240,60.51097,179.489,271.2152,187.2162
1.1,-0.03183333,0.03558333,-0.2841667,-0.27,-0.33,0.88,1300,38.53638,240,99.18376,140.8162,277.1374,186.3918
1.15,0.001916669,0.06225,-0.24875,0.27,-0.34,1.12,1300,45.359,240,142.7636,97.23642,284.0498,179.5585
1.2,-0.01908334,0.08908333,-0.25725,-0.05,-0.37,1.04,1300,53.64772,240,128.9089,111.0911,289.1005,184.2426
1.25,0.04841667,0.1115833,-0.2491667,-0.04,-0.67,1.24,1300,61.38226,240,128.9089,75.54369,294.1241,169.0036
1.3,0.04633333,0.1236667,-0.251,0.01,-0.24,0.82,1300,71.24963,240,164.4563,78.46088,296.2293,169.5412
1.35,0.10875,0.141,-0.2168333,-0.15,0.02,0.9599999,1300,80.94197,240,161.5391,61.35784,303.0347,153.3645
1.4,0.1833333,0.1428333,-0.2530833,-0.02,-0.28,0.99,1300,91.66051,240,178.6422,46.92183,299.4392,144.0805
1.45,0.2010833,0.1285,-0.2343333,0.12,0.11,1.14,1300,103.2452,240,193.0782,41.58014,298.7388,139.3668
1.5,0.2715,0.1349167,-0.2083333,-0.42,-0.33,0.83,1300,115.1504,240,198.4199,35.42419,302.9271,127.5005
1.55,0.3225,0.07700001,-0.24875,0.11,-0.09,0.98,1300,127.4249,240,204.5758,22.42852,287.1998,127.6436
1.6,0.35375,-0.000500001,-0.25225,0.18,0.38,0.9700001,1300,140.4792,240,217.5715,368.919,269.8864,125.4917
1.65,0.3941667,-0.06008333,-0.2245833,0.06,-0.05,0.9599999,0,132.7441,240,-128.919,360.333,255.0223,119.6731
1.699999,0.3660834,-0.09941667,-0.245,-0.23,-0.52,1.03,0,125.5241,240,-120.333,353.8067,247.9136,123.7923
1.749999,0.3644166,-0.1445833,-0.2343333,0.25,0.42,0.94,0,118.6957,240,-113.8067,347.3592,238.3255,122.7425
1.799999,0.3545834,-0.1998333,-0.2645833,-0.39,-0.51,0.81,0,112.2541,240,-107.3592,339.5956,232.9371,126.7296
1.849999,0.3756667,-0.2125,-0.2625,0.13,-0.29,1.13,0,106.2784,240,-99.59561,339.5049,231.009,124.9442
1.899999,0.3285833,-0.2435833,-0.2601667,0.19,0.08,0.91,0,100.3081,240,-99.50485,332.45,226.8855,128.3716
1.949999,0.3141667,-0.2556667,-0.2695833,0.15,-0.01,1.03,0,91.0631,240,-92.44995,329.8615,226.5177,130.6326
1.999999,0.3348333,-0.2595833,-0.2739167,-0.47,-0.29,0.82,0,85.6714,240,-89.86154,331.215,226.539,129.2855
2.049999,0.31125,-0.2575,-0.2551667,-0.07,0.24,0.9700001,0,80.19849,240,-91.21497,329.3987,224.7392,129.3453
2.099999,0.3154167,-0.2660833,-0.2645833,0.38,0.02,0.98,0,74.83458,240,-89.39874,328.8492,224.838,129.9912
2.149999,0.339,-0.2604167,-0.29,-0.2,-0.08,0.91,0,69.50362,240,-88.84924,331.4689,228.0765,130.5456
2.199999,0.3410833,-0.2669167,-0.2951667,-0.45,0.01,0.94,0,62.1964,240,-90.95483,330.9548,227.8772,130.8723
2.249999,0.34275,-0.2466667,-0.2539167,0.46,0.11,1.1,0,56.69304,240,-93.25861,333.2586,225.8298,126.5318
2.299999,0.3545834,-0.22875,-0.28375,-0.45,-0.85,0.9700001,0,51.03923,240,-96.173,336.173,231.1254,128.668
2.349999,0.3625,-0.2323333,-0.276,0.46,0.16,0.78,0,45.26544,240,-96.34338,336.3434,229.9097,127.2849
2.399999,0.37775,-0.1929167,-0.2829167,0.27,0.9,1.04,0,39.48483,240,-96.34338,341.9466,235.7105,126.8314
2.449999,0.38375,-0.1816667,-0.2580833,-0.45,-0.78,1.11,0,33.36803,240,-101.9466,343.6672,234.858,123.922
2.499999,0.3794167,-0.1410833,-0.2883333,0.5,-0.44,1.06,0,27.148,240,-103.6672,348.6027,243.9272,127.2326
2.549999,0.40025,-0.1216667,-0.2479167,0.04,0.66,1.07,0,20.63184,240,-108.6027,352.0919,243.8602,121.7743
2.599999,0.3669167,-0.08733333,-0.2539167,-0.43,-1.07,1.04,0,13.90633,240,-112.0919,355.6116,251.0196,124.6843
2.649999,0.38625,-0.04108333,-0.2585,0.15,-0.31,1.11,0,6.96963,240,-115.6116,362.9286,260.9695,123.7926
2.699999,0.3858334,-0.01066666,-0.2318333,0.53,0.93,1.19,0,-0.4060845,240,-122.9286,367.4164,267.3657,121.0001
2.749999,0.374,0.01700001,-0.2454167,-0.05,0.76,0.87,0,-8.051069,240,-127.4164,11.60256,273.9626,123.2727
2.799999,0.3298333,0.04933333,-0.2208333,-0.33,-0.22,0.9,1300,5.652776,240,228.3974,17.50669,282.5929,123.8035
2.849998,0.3125,0.06616667,-0.2564167,-0.4,-0.77,0.98,1300,19.00237,240,222.4933,20.95486,284.4692,129.37
2.899998,0.3069167,0.08266666,-0.2208333,-0.34,-0.86,0.78,1300,32.14508,240,219.0451,24.07462,290.5229,125.7359
2.949998,0.294,0.09141666,-0.2708333,0.28,0.93,0.86,1300,45.10061,240,215.9254,26.27261,288.6515,132.6513
2.999998,0.3183333,0.09783334,-0.2376667,-0.39,-0.95,0.99,1300,57.92425,240,213.7274,26.08376,292.3741,126.7449
3.049998,0.2960833,0.08433333,-0.2625,0.31,0.65,0.8,1300,70.75922,240,213.9162,24.89853,287.8106,131.5594
3.099998,0.2879167,0.08016666,-0.2185,-0.03,-0.69,1.05,1300,83.66532,240,215.1015,24.55917,290.1479,127.1949
3.149998,0.31375,0.08433333,-0.2220833,-0.22,-0.26,1.05,1300,96.59177,240,215.4408,24.04502,290.7936,125.2922
3.199998,0.3410833,0.09225,-0.245,0.08,0.3,0.72,1300,109.5491,240,215.955,24.13423,290.6329,125.6897
3.249998,0.355,0.06849999,-0.2654166,0.12,0.18,0.88,1300,122.501,240,215.8658,19.92144,284.4714,126.7837
3.299998,0.3508333,0.04241666,-0.2433333,0.34,0.16,1.02,1300,135.7057,240,220.0786,15.89375,279.8882,124.7447
3.349998,0.38875,0.01991667,-0.2726667,-0.26,-0.17,0.95,1300,149.1521,240,224.1062,11.93285,274.1777,125.0456
3.399998,0.4010834,-0.03275,-0.2433333,-0.27,-0.18,0.98,1300,162.8361,240,228.0672,364.3319,262.3347,121.2448
3.449998,0.4081667,-0.073,-0.2389167,-0.21,0.09,0.98,0,155.3762,240,-124.3319,358.86,253.0097,120.3422
3.499998,0.3875,-0.1046667,-0.2433333,-0.31,-0.09,0.9700001,0,145.9669,240,-113.8847,353.8847,246.7257,122.1271
3.549998,0.3908334,-0.1370833,-0.2258333,-0.4,-0.25,0.94,0,139.2181,240,-109.6719,349.6719,238.7418,120.0204
3.599998,0.4035833,-0.15875,-0.24875,-0.27,0.09,0.95,0,132.6807,240,-107.5277,347.5277,237.4544,121.6477
3.649998,0.3748333,-0.16525,-0.2768333,0.39,0.18,0.98,0,126.2754,240,-105.2091,345.2091,239.1658,126.4477
3.699998,0.3566667,-0.18525,-0.2483333,-0.09,-0.27,1.0,0,120.036,240,-101.553,341.553,233.2781,124.848
3.749998,0.3673334,-0.21025,-0.2726667,-0.41,0.27,0.81,0,113.9896,240,-99.21454,339.2145,232.3646,126.586
3.799998,0.379,-0.2041667,-0.2629167,0.43,-0.3,1.0,0,108.0072,240,-100.6887,340.6887,232.1691,124.7495
3.849998,0.344,-0.2106667,-0.2601667,0.44,0.52,1.06,0,98.0018,240,-97.51657,337.5166,231.0016,127.1002
3.899998,0.3406667,-0.2110833,-0.2433333,-0.54,-0.44,0.87,0,92.1568,240,-97.21689,337.2169,229.0595,125.5377
3.949997,0.3373333,-0.2266667,-0.2776667,0.25,-0.3,1.08,0,86.3661,240,-95.10141,335.1014,230.7743,129.4586
3.999997,0.355,-0.2431667,-0.261,0.09,0.94,0.91,0,80.67024,240,-94.58978,334.5898,227.0258,126.3237
4.049997,0.3241667,-0.219,-0.2666667,-0.41,-0.24,0.98,0,74.9875,240,-94.95789,334.9579,230.6055,129.4415
4.099998,0.36125,-0.2054167,-0.281,0.02,-0.99,0.77,0,69.20167,240,-99.37625,339.3763,233.8325,127.8777
4.149998,0.3608334,-0.1948333,-0.2568333,0.34,0.14,0.93,0,63.23909,240,-99.37625,340.633,232.8161,125.4424
4.199998,0.35,-0.1981667,-0.251,0.49,1.03,1.18,0,57.20111,240,-100.633,339.4819,231.7086,125.6459
4.249998,0.3694167,-0.1916667,-0.2955833,0.08,0.51,1.04,0,51.23219,240,-99.48187,341.5781,237.0392,128.6645
4.299998,0.3656667,-0.1704167,-0.2755833,-0.27,-0.25,0.84,0,45.1375,240,-101.5781,344.0124,238.268,127.0034
4.349998,0.3933333,-0.1535833,-0.2625,0.17,0.95,0.99,0,38.89676,240,-104.0124,347.6711,239.669,123.7181
4.399999,0.3829167,-0.1454167,-0.2670834,-0.08,0.51,0.98,0,32.4365,240,-107.6711,348.2052,241.4334,124.8957
4.449999,0.3804167,-0.12025,-0.2318333,0.06,0.1,1.02,0,25.94418,240,-108.2052,351.4582,242.5846,121.3589
4.499999,0.3985834,-0.10275,-0.2670834,-0.11,0.21,0.98,0,19.25669,240,-111.4582,354.5446,248.9577,123.8253
4.549999,0.37525,-0.10025,-0.2176667,-0.24,0.05,0.9700001,0,12.38402,240,-114.5446,354.0424,245.2708,120.1162
4.599999,0.3820833,-0.05841666,-0.2233333,-0.05,-0.04,0.9,0,5.541469,240,-114.0424,360.3074,255.3417,120.3069
4.65,0.3715,-0.028,-0.2126667,-0.0,0.37,0.94,0,-1.676974,240,-120.3074,364.6898,262.4995,119.7891
4.7,0.34275,-0.01216666,-0.2118333,0.26,0.44,0.98,0,-9.15836,240,-124.6898,366.967,266.7128,121.7177
4.75,0.36525,0.01350001,-0.2229167,0.36,0.59,1.07,0,-16.77638,240,-126.967,11.11674,273.4656,121.3962
4.8,0.3406667,0.03558333,-0.22,-0.06,-0.65,0.89,1300,-3.043386,240,228.8833,14.96304,279.1876,122.8541
4.85,0.3204167,0.04558334,-0.2241667,-0.2,-0.37,0.9599999,1300,10.45883,240,225.037,17.09672,281.4941,124.977
4.900001,0.3233333,0.05575,-0.2335,0.36,0.54,1.15,1300,23.83303,240,222.9033,18.7829,283.4284,125.8355
4.950001,0.3423333,0.06741667,-0.2526667,0.43,0.75,1.08,1300,37.10606,240,221.2171,20.14085,284.9396,126.43
5.000001,0.3454167,0.061,-0.2654166,-0.51,0.29,0.88,1300,50.2976,240,219.8591,19.01508,282.9434,127.5385
5.050001,0.33775,0.05533333,-0.2208333,0.01,-0.9700001,1.1,1300,63.55669,240,220.9849,18.30407,284.0668,123.1781
5.100001,0.3710834,0.052,-0.2793333,0.3,0.71,0.9700001,1300,76.85846,240,221.6959,16.97693,280.5453,126.9706
5.150002,0.3648334,0.01391667,-0.2364167,-0.39,-0.85,0.79,1300,90.23985,240,223.0231,11.1845,273.3688,122.9438
5.200002,0.379,0.004750006,-0.2389167,0.25,0.35,0.91,1300,103.9688,240,228.8155,9.71805,271.139,122.2268
5.250002,0.3945833,-0.03883333,-0.2704167,0.25,-0.58,1.02,1300,117.7857,240,230.282,363.3793,261.8279,124.4237
5.300002,0.3883333,-0.07466667,-0.27225,0.13,0.48,0.91,0,108.0206,240,-118.1163,358.1163,254.6633,125.0332
5.350002,0.39125,-0.1034167,-0.2404167,0.21,-0.52,0.85,0,101.0121,240,-114.194,354.194,246.7248,121.57
